編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRPMLPKNHLGFCB38CC,中仁段,390.00,都市：住,,,,03790000
RPXRMLPKNHLGFCB56CC,大新段,82.00,都市：住,,,,06220004
RPOQMLKLNHLGFCB77CC,文山段,2234.00,都市：工,,,,01580000
RPRNMLLLNHLGFJB58CC,宜欣段,137.00,都市：住,,,,20460017
RPQNMLMLNHLGFKB68CC,忠和段,1004.00,都市：工,,,,10070001
RPQNMLMLNHLGFKB68CC,忠和段,1127.00,都市：工,,,,10080000
RPRNMLPLNHLGFCB28CC,惠安段,6.32,都市：商,,,,02230000
RPRPMLQLNHLGFBB48CC,文北段,13.67,都市：住,,,,00060000
RPPNMLTLNHLGFEB68CC,幼獅段,78.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,06940000
RPPNMLTLNHLGFEB68CC,幼獅段,83.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,06950000
RPRNMLSJOHLGFBB38CC,仁平段,517.17,都市：住,,,,04360000
RPQRMLSKOHLGFBB78CC,文北段,23.54,都市：住,,,,00060000
