編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLLKNHLGFJB28CC,坡道平面,0,35.79,地下二樓
RPOOMLMKNHLGFCB67CC,坡道平面,2500,,地下二樓
RPPOMLMKNHLGFCB77CC,坡道平面,1500,29.78,地下二樓
RPPOMLNKNHLGFBB77CC,坡道平面,3000,29.33,地下三樓
RPQOMLNKNHLGFBB87CC,坡道平面,4500,24.81,地下二樓
RPVNMLNKNHLGFCB38CC,坡道平面,0,26.45,地下三樓
RPVNMLNKNHLGFCB38CC,坡道平面,0,26.45,地下三樓
RPQRMLOKNHLGFBB28CC,坡道平面,2000,23.87,地下一樓
RPRNMLNKNHLGFFB28CC,坡道平面,1000,25.30,地下二樓
RPTNMLMKNHLGFFB38CC,坡道平面,2000,34.35,地下二樓
RPSSMLPKNHLGFCB78CC,坡道平面,2400,32.90,地下二樓
RPTSMLPKNHLGFCB88CC,坡道平面,0,29.61,地下一樓
RPPOMLPKNHLGFIB68CC,坡道平面,0,39.32,地下一樓
RPRNMLPKNHLGFAB97CC,坡道機械,0,8.80,地下二樓
RPRNMLPKNHLGFIB78CC,坡道平面,3000,24.76,地下三樓
RPVNMLPKNHLGFJB66CC,坡道平面,2500,31.22,地下一樓
RPPNMLQKNHLGFBB97CC,坡道平面,0,31.13,地下二樓
RPPNMLQKNHLGFIB68CC,坡道平面,0,24.76,地下三樓
RPSNMLQKNHLGFBB28CC,坡道平面,3000,34.66,地下二樓
RPQNMLSKNHLGFBB28CC,坡道機械,3000,9.29,地下一樓
RPRNMLSKNHLGFBB38CC,坡道平面,0,24.59,地下二樓
RPUNMLPKNHLGFFB78CC,坡道平面,500,24.88,地下一樓
RPPNMLSKNHLGFAB08CC,坡道平面,0,25.27,地下一樓
RPOQMLSKNHLGFBB38CC,坡道平面,2500,17.37,地下一樓
RPSQMLSKNHLGFBB78CC,坡道平面,3000,31.79,地下三樓
RPRQMLSKNHLGFBB68CC,坡道平面,3000,31.79,地下三樓
RPSNMLPKNHLGFDB38CC,坡道機械,1000,10.76,地下二樓
RPQOMLSKNHLGFAB28CC,坡道平面,5500,35.16,地下一樓
RPXOMLSKNHLGFAB98CC,坡道平面,4500,30.97,地下一樓
RPOQMLSKNHLGFCB48CC,升降平面,3500,57.44,地下一樓
