編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPXOMLMJOHLGFDC68DA,2,41.26,本建物共有部分項目為：無障礙電梯．無障礙樓梯．樓梯．梯廳．樓梯間．水箱．公共服務空間．電梯．垃圾儲放．機械室．停車空間．台電配電室．電信機房．緊急發電機房．機房．機電設備．消防機房．防空避難室兼停車空間等共１８項。,鋼筋混凝土造,113年1月19日,九層,,持分移轉
RPPNMLTJOHLGFDC48DA,51,9.34,住家用,加強磚造,64年10月21日,三層,三層,持分移轉
RPTNMLTJOHLGFDC88DA,,36.91,住家用,木造,,一層,一層,全筆移轉
RPUOMLLKNHLGFDC28DA,31,79.79,住家用,鋼筋混凝土造,84年3月16日,七層,七層 陽台 花台,全筆移轉
RPRNMLKKOHLGFDC87DA,9,133.33,集合住宅,鋼筋混凝土造,106年10月18日,十五層,六層 陽台 雨遮,全筆移轉
RPUOMLLKNHLGFDC28DA,31,19.87,共用部份,鋼筋混凝土造,84年3月16日,七層,,持分移轉
RPQNMLTJOHLGFDC58DA,51,19.30,住家用,加強磚造,64年10月21日,三層,二層,持分移轉
RPRNMLKKOHLGFDC87DA,9,61.74,本共有部分之項目有公設空間、門廳、防空避難室兼停車空間、停車空間、社區中心、機械室、游泳池及管委會辦公室等共八項,鋼筋混凝土造,106年10月18日,十五層,,持分移轉
RPPPMLMJOHLGFDC97DA,27,92.44,住家用,鋼筋混凝土造,88年1月14日,十六層,六層 陽台,全筆移轉
RPWNMLKKOHLGFDC38DA,47,98.69,住商用,加強磚造,68年10月26日,二層,一層 二層 陽台 平台 騎樓,全筆移轉
RPRNMLKKOHLGFDC87DA,9,21.28,本共有部分之項目有電梯間、樓梯間、蓄水池及水箱等共四項,鋼筋混凝土造,106年10月18日,十五層,,持分移轉
RPUNMLSJOHLGFDC88DA,45,112.34,商業用,鋼筋混凝土造,70年10月8日,四層,一層 騎樓,全筆移轉
RPPPMLMJOHLGFDC97DA,27,12.41,共用部份,鋼筋混凝土造,88年1月14日,十六層,,持分移轉
RPOOMLSJOHLGFDC38DA,,72.90,住家用,加強磚造,56年4月0日,二層,一層 二層,全筆移轉
RPRNMLKKOHLGFDC87DA,9,.58,本共有部分之項目有台電配電室共一項,鋼筋混凝土造,106年10月18日,十五層,,持分移轉
RPPPMLMJOHLGFDC97DA,27,1.11,共用部份,鋼筋混凝土造,88年1月14日,十六層,,持分移轉
RPUNMLSKNHLGFDC88DA,46,93.15,住家用,鋼筋混凝土造,69年7月17日,四層,二層,全筆移轉
RPVNMLTJOHLGFDC09DA,44,63.29,住家用,鋼筋混凝土造,71年2月23日,三層,一層 平台,全筆移轉
RPRNMLPLNHLGFDC38DA,39,88.45,住家用,鋼筋混凝土造,76年8月5日,五層,五層,全筆移轉
RPPPMLMJOHLGFDC97DA,27,3.30,共用部份,鋼筋混凝土造,88年1月14日,十六層,,持分移轉
RPPPMLMJOHLGFDC97DA,27,2.24,共用部份,鋼筋混凝土造,88年1月14日,十六層,,持分移轉
RPWNMLTJOHLGFDC56DA,49,64.41,住家用,鋼筋混凝土加強磚造,66年6月23日,四層,二層,全筆移轉
RPUNMLSJOHLGFDC88DA,45,3.15,共用部份,鋼筋混凝土造,70年10月8日,四層,,持分移轉
RPPPMLMJOHLGFDC97DA,27,1.09,共用部份,鋼筋混凝土造,88年1月14日,十六層,,持分移轉
RPTOMLRJNHLGFDC68DA,31,48.94,共用部份,鋼筋混凝土造,84年11月7日,三層,,持分移轉
RPWNMLSJOHLGFDC09DA,46,80.96,住家用,鋼筋混凝土造,69年1月30日,五層,五層,全筆移轉
RPWNMLMJOHLGFDC48DA,17,111.15,住家用,鋼筋混凝土造,98年6月24日,十四層,十四層 陽台,全筆移轉
RPPOMLSJOHLGFDC48DA,14,20.16,本共有部分之項目有停車空間及停車空間兼防空避難室共２項。,鋼筋混凝土造,101年6月26日,十三層,,持分移轉
RPWNMLMJOHLGFDC48DA,17,48.84,共用部份,鋼筋混凝土造,98年6月24日,十四層,,持分移轉
RPTNMLSJOHLGFDC78DA,29,34.17,共用部份,鋼筋混凝土造,86年11月21日,二十一層,,持分移轉
