編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPXOMLMJOHLGFDC68DA,坡道平面,1700000,41.26,地下三樓
RPPOMLSJOHLGFDC48DA,坡道機械,220000,20.16,地下二樓
RPTNMLSJOHLGFDC78DA,坡道平面,1800000,34.16,地下二樓
RPWNMLMJOHLGFDC48DA,坡道平面,0,28.62,地下四樓
RPRNMLKKOHLGFDC87DA,坡道平面,0,35.96,地下四樓
RPTOMLMKOHLGFDC38DA,坡道平面,0,,地下二樓
RPSOMLMKOHLGFDC28DA,坡道平面,0,17.88,地下三樓
RPRNMLPKOHLGFDC48EA,坡道平面,1100000,29.99,地下一樓
RPWOMLNJOHLGFDC68DA,坡道平面,0,,地下一樓
RPWNMLMKOHLGFDC58DA,坡道平面,0,31.21,地下三樓
RPQOMLPJOHLGFDC28DA,坡道平面,0,21.86,地下二樓
RPVNMLTLNHLGFDC56DA,坡道機械,1600000,17.04,地下四樓
RPOOMLTJOHLGFDC48DA,坡道平面,0,,地下二樓
RPPNMLLKOHLGFDC87EA,坡道平面,0,,地下一樓
RPVNMLMKNHLGFDC38DA,坡道機械,0,17.52,地下二樓
RPPNMLOJOHLGFDC97DA,坡道平面,0,,地下三樓
RPXNMLTJOHLGFDC66DA,坡道平面,0,,地下二樓
RPRNMLPKOHLGFDC38DA,坡道平面,1800000,15.87,地下五樓含以下
RPVNMLMLNHLGFDC48DA,坡道平面,0,25.77,地下二樓
RPQNMLKKOHLGFDC77DA,坡道平面,0,,地下一樓
RPQNMLKMMHLGFDC77DA,坡道平面,0,,地下一樓
RPRNMLOJOHLGFDC18DA,一樓平面,0,,一樓
RPWNMLOLKHLGFDC48DA,坡道平面,0,39.45,地下二樓
RPSNMLMJOHLGFDC08DA,其他,0,,一樓
RPRNMLPJOHLGFDC38EA,坡道平面,1500000,43.61,地下一樓
RPVNMLOLKHLGFDC38DA,坡道平面,0,39.45,地下二樓
RPTNMLKKMHLGFDC87DA,坡道平面,1700000,30.44,地下二樓
RPTNMLKKMHLGFDC87DA,坡道平面,1800000,37.88,地下二樓
RPPOMLNJOHLGFDC97DA,坡道平面,1000000,,地下一樓
