編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLKLNHLGFDC67CB,五堵段五堵北小段,14.81,都市：住,10000,372,持分移轉,08160000
RPPNMLKLNHLGFDC67CB,五堵段五堵北小段,14.81,都市：住,10000,372,持分移轉,08160001
RPVNMLTKNHLGFDC09CB,金華段,7.32,都市：住,1000000,1149,持分移轉,00200000
RPPNMLRLNHLGFDC38CB,溪頭段,.12,都市：住,1000000,3165,持分移轉,07480000
RPSNMLRLNHLGFDC68CB,溪頭段,.08,都市：住,1000000,2103,持分移轉,07480000
RPTNMLRLNHLGFDC78CB,溪頭段,.10,都市：住,1000000,2677,持分移轉,07480000
RPVNMLTKNHLGFDC09CB,金華段,.02,都市：住,1000000,1149,持分移轉,00210000
RPPNMLRLNHLGFDC38CB,溪頭段,23.10,都市：住,1000000,3165,持分移轉,07500000
RPTNMLRLNHLGFDC78CB,溪頭段,19.54,都市：住,1000000,2677,持分移轉,07500000
RPSNMLRLNHLGFDC68CB,溪頭段,15.35,都市：住,1000000,2103,持分移轉,07500000
RPPNMLRLNHLGFDC38CB,溪頭段,.04,都市：住,1000000,3165,持分移轉,07500001
RPTNMLRLNHLGFDC78CB,溪頭段,.04,都市：住,1000000,2677,持分移轉,07500001
RPSNMLRLNHLGFDC68CB,溪頭段,.03,都市：住,1000000,2103,持分移轉,07500001
RPPNMLRLNHLGFDC38CB,溪頭段,.31,都市：住,1000000,3165,持分移轉,07500002
RPTNMLRLNHLGFDC78CB,溪頭段,.26,都市：住,1000000,2677,持分移轉,07500002
RPSNMLRLNHLGFDC68CB,溪頭段,.21,都市：住,1000000,2103,持分移轉,07500002
RPTNMLRLNHLGFDC78CB,溪頭段,6.19,都市：住,1000000,2677,持分移轉,07530000
RPPNMLRLNHLGFDC38CB,溪頭段,7.31,都市：住,1000000,3165,持分移轉,07530000
RPSNMLRLNHLGFDC68CB,溪頭段,4.86,都市：住,1000000,2103,持分移轉,07530000
RPTNMLRLNHLGFDC78CB,溪頭段,.04,都市：住,1000000,2677,持分移轉,08620001
RPPNMLRLNHLGFDC38CB,溪頭段,.04,都市：住,1000000,3165,持分移轉,08620001
RPSNMLRLNHLGFDC68CB,溪頭段,.03,都市：住,1000000,2103,持分移轉,08620001
RPTNMLRLNHLGFDC78CB,溪頭段,.67,都市：住,1000000,2677,持分移轉,08630000
RPPNMLRLNHLGFDC38CB,溪頭段,.80,都市：住,1000000,3165,持分移轉,08630000
RPSNMLRLNHLGFDC68CB,溪頭段,.53,都市：住,1000000,2103,持分移轉,08630000
RPTNMLRLNHLGFDC78CB,溪頭段,.01,都市：住,1000000,2677,持分移轉,08660000
RPPNMLRLNHLGFDC38CB,溪頭段,.01,都市：住,1000000,3165,持分移轉,08660000
RPSNMLRLNHLGFDC68CB,溪頭段,.00,都市：住,1000000,2103,持分移轉,08660000
RPQNMLRLNHLGFDC48CB,溪頭段,.08,都市：住,1000000,2201,持分移轉,07480000
RPQNMLRLNHLGFDC48CB,溪頭段,16.07,都市：住,1000000,2201,持分移轉,07500000
RPQNMLRLNHLGFDC48CB,溪頭段,.03,都市：住,1000000,2201,持分移轉,07500001
RPQNMLRLNHLGFDC48CB,溪頭段,.22,都市：住,1000000,2201,持分移轉,07500002
RPQNMLRLNHLGFDC48CB,溪頭段,5.09,都市：住,1000000,2201,持分移轉,07530000
RPQNMLRLNHLGFDC48CB,溪頭段,.03,都市：住,1000000,2201,持分移轉,08620001
RPQNMLRLNHLGFDC48CB,溪頭段,.55,都市：住,1000000,2201,持分移轉,08630000
RPQNMLRLNHLGFDC48CB,溪頭段,.00,都市：住,1000000,2201,持分移轉,08660000
