鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
中西區,房地(土地+建物)+車位,臺南市中西區慶中街６號五樓,29.57,住,,,1150602,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0750808,161.25,3,2,2,有,有,12000000,74419,坡道平面,0.0,0,,RPUOMLOJOHLGFAD38DA,119.96,0.0,13.09,有,
中西區,房地(土地+建物),臺南市中西區大同路一段４６巷５０號二樓之８,4.54,商,,,1150604,土地2建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870706,16.36,1,1,1,有,無,2130000,130196,,0.0,0,,RPQNMLTJOHLGFAD38DA,10.95,0.0,1.07,有,001
新營區,房地(土地+建物),臺南市新營區王公里大勇街６３號,54.62,住,,,1150605,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0640405,79.2,3,2,2,有,無,5990000,75631,,0.0,0,未登記建物；,RPQNMLPJOHLGFDD28DA,79.2,0.0,0.0,無,002
東山區,土地,新枋子林段219地號,132.38,,鄉村區,乙種建築用地,1150607,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1000000,7554,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLKKOHLGFED28DA,0.0,0.0,0.0,無,
東山區,土地,大客段枋子林小段48-1地號,798.82,,山坡地保育區,農牧用地,1150607,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1000000,1252,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLKKOHLGFED38DA,0.0,0.0,0.0,無,
將軍區,土地,馬沙溝段1184地號,74.16,,鄉村區,乙種建築用地,1150602,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,726000,9790,,0.0,0,買賣移轉所需繳納的稅金、費用均由賣方負擔。,RPOOMLNJOHLGFGD28DA,0.0,0.0,0.0,無,
新營區,土地,武賢段180地號,30.05,都市：其他:道路用地,,,1150604,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,105000,3494,,0.0,0,本標的為未開闢道路用地且無法通行，雙方低於公告現值議價成交。親友、員工、共有人或其他特殊關係間之交易；包含公共設施保留地用地；,RPQNMLKKOHLGFDD97EA,0.0,0.0,0.0,無,
後壁區,土地,頂平段713地號,213.26,,鄉村區,乙種建築用地,1150602,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2300000,10785,,0.0,0,,RPPNMLLKOHLGFED08EA,0.0,0.0,0.0,無,
中西區,房地(土地+建物),臺南市中西區民族路二段５７巷１２號二樓之３,3.27,商,,,1150603,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790705,20.900000000000002,1,0,1,有,有,1680000,80383,,0.0,0,,RPSNMLKKOHLGFAD77DA,11.83,0.0,4.29,有,003
關廟區,房地(土地+建物)+車位,臺南市關廟區保東路８５巷７２號二樓之２,42.11,,一般農業區,甲種建築用地,1150601,土地1建物1車位1,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1150206,128.39999999999998,3,2,2,有,有,6800000,52960,一樓平面,21.52,0,,RPWNMLSJOHLGFID07DA,77.39,0.0,6.82,有,004
仁德區,房地(土地+建物),臺南市仁德區中正西路３６０巷２０弄４１號二樓之２６,5.02,住,,,1150601,土地2建物1車位0,二層,四層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,0960920,14.149999999999999,1,1,1,有,有,550000,38869,,0.0,0,夾層；,RPXNMLSJOHLGFID17DA,7.14,0.9,0.0,有,005
東山區,土地,頂窩段616地號,1876.0,,特定農業區,農牧用地,1150609,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1160000,618,,0.0,0,,RPPNMLMKOHLGFED18EA,0.0,0.0,0.0,無,
善化區,土地,慶安段823地號,1.57,商,,,1150604,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,142380,90688,,0.0,0,,RPPNMLKKOHLGFHD28EA,0.0,0.0,0.0,無,006
北區,車位,臺南市北區忠義路三段３９巷１４號地下層,5.39,商,,,1150602,土地2建物1車位1,地下層,五層,其他,住家用,鋼筋混凝土造,0790209,8.91,0,0,0,無,無,120000,,坡道平面,0.0,120000,僅車位交易；,RPRNMLKKOHLGFAD67DA,0.0,0.0,0.0,有,
東區,房地(土地+建物),臺南市東區裕豐街１６３巷１４號,54.25,住,,,1150601,土地4建物1車位0,全,二層,透天厝,住家用,加強磚造,0570620,69.98,2,2,1,有,無,3300000,47156,,0.0,0,其他增建；,RPTOMLTJOHLGFCD98DA,69.98,0.0,0.0,無,
東區,車位,臺南市東區崇善路７５７號等,0.0,,,,1150602,土地0建物1車位1,,,其他,,,,30.07,0,0,0,無,無,1500000,,坡道平面,30.07,1500000,建物坐落地號：竹篙厝段2860地號；僅車位交易；,RPOPMLTJOHLGFCD58DA,0.0,0.0,0.0,無,
東山區,土地,東安段815-3地號,125.1,都市：其他:道路用地,,,1150608,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2270000,18145,,0.0,0,未登記建物；,RPPNMLKKOHLGFED87DA,0.0,0.0,0.0,無,
後壁區,土地,白沙屯段2810地號,1184.0,,特定農業區,農牧用地,1150610,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1500000,1267,,0.0,0,地上有種植茄苳樹親友、員工、共有人或其他特殊關係間之交易；,RPPNMLMKOHLGFED08DA,0.0,0.0,0.0,無,
