編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLLKOHLGFED08EA,頂平段,56.27,非都市：鄉村區 ; 非都市編定：乙種建築用地,3,1,持分移轉,07120000
RPPNMLLKOHLGFED08EA,頂平段,156.99,非都市：鄉村區 ; 非都市編定：乙種建築用地,3,1,持分移轉,07130000
RPQNMLKKOHLGFDD97EA,武賢段,30.05,都市：其他:道路用地,1,1,全筆移轉,01800000
RPPNMLMKOHLGFED08DA,白沙屯段,1184.00,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,28100000
RPPNMLKKOHLGFED87DA,東安段,125.10,都市：其他:道路用地,1,1,全筆移轉,08150003
RPTNMLKKOHLGFED28DA,新枋子林段,132.38,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02190000
RPUNMLKKOHLGFED38DA,大客段枋子林小段,674.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,3,1,持分移轉,00480001
RPUNMLKKOHLGFED38DA,新枋子林段,124.82,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02180000
RPQNMLSJOHLGFFD78DA,二鎮段二鎮小段,101.00,都市：其他:住宅區,1,1,全筆移轉,04270000
RPTOMLTJOHLGFCD98DA,新東段,43.00,都市：其他:住宅區,1,1,全筆移轉,08900000
RPTOMLTJOHLGFCD98DA,新東段,7.75,都市：其他:住宅區,8,1,持分移轉,08910000
RPTOMLTJOHLGFCD98DA,新東段,3.38,都市：其他:細部計畫道路用地,8,1,持分移轉,08910001
RPTOMLTJOHLGFCD98DA,新東段,.12,都市：其他:住宅區,8,1,持分移轉,08910002
RPOOMLNJOHLGFGD28DA,馬沙溝段,74.16,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,11840000
RPPNMLMKOHLGFED18EA,頂窩段,1876.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06160000
RPPOMLLKOHLGFCD87DA,竹篙厝段,2.43,都市：其他:鄰里商業區,10000,217,持分移轉,39440006
RPPOMLLKOHLGFCD87DA,竹篙厝段,2.41,都市：其他:鄰里商業區,10000,217,持分移轉,39440007
RPPOMLLKOHLGFCD87DA,竹篙厝段,2.26,都市：其他:鄰里商業區,10000,217,持分移轉,39450000
RPQNMLMKOHLGFCD97DA,育樂段,48.50,都市：其他:住宅區,2,1,持分移轉,01420000
RPQNMLTJOHLGFKD76DA,富強段,8.50,都市：其他:住宅區,540,4,持分移轉,06740000
RPXNMLPJOHLGFKD07DA,永保段,31.06,都市：其他:住宅區,1,1,全筆移轉,00360001
RPQNMLPJOHLGFDD28DA,三德段,54.62,都市：其他:住宅區,1,1,全筆移轉,04080000
RPQNMLPKOHLGFFD58DA,義田段,118.75,都市：其他:農業區,1,1,全筆移轉,04890000
RPUNMLQKOHLGFFD09DA,麻工段,238.55,都市：其他:乙種工業區,16780,7216,持分移轉,00900000
RPSNMLQKOHLGFCD58DA,竹篙厝段,25.60,都市：其他:住宅區,5,2,持分移轉,14170000
RPWNMLPKOHLGFCD88DA,竹篙厝段,38.40,都市：其他:住宅區,5,3,持分移轉,14170000
RPQNMLLKOHLGFDD97DA,永生段,9.89,都市：其他:商業區,10000,204,持分移轉,02300000
RPPPMLSJOHLGFKD76DA,大灣段,100.50,都市：其他:商業區,2,1,持分移轉,60590000
RPPNMLRKOHLGFDD58EA,飯店段,2111.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,12980000
RPUOMLOJOHLGFAD38DA,郡王祠段,29.57,都市：其他:住宅區,10000,380,持分移轉,18300000
RPQNMLTJOHLGFAD38DA,郡王祠段,1.50,都市：其他:商業區,20000,180,持分移轉,00670000
RPSNMLKKOHLGFAD77DA,青年段,3.27,都市：其他:商業區,10000,215,持分移轉,01290000
RPRNMLKKOHLGFAD67DA,大銃段,.62,都市：其他:商業區,10000,218,持分移轉,14200000
RPQNMLTJOHLGFAD38DA,郡王祠段,3.04,都市：其他:商業區,20000,165,持分移轉,00680000
