鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
安南區,房地(土地+建物)+車位,臺南市安南區九份子大道與樂活路口,8.37,住,,,1150511,土地1建物1車位1,二十四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.17,2,2,1,有,無,11960000,113362,坡道平面,19.31,2000000,,RPUNMLMKNHLGFBD18CB,?讀耶魯,B棟03號,
善化區,房地(土地+建物)+車位,臺南市善化區龍目井路與陽光三路交叉口,18.87,住,,,1150512,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.22,2,2,2,有,無,10850000,104351,坡道平面,28.41,2000000,,RPQNMLPKNHLGFHD68CB,佳鋐科匯,A3棟0號,
東區,房地(土地+建物)+車位,臺南市東區裕和五街/裕誠街口,36.81,住,,,1150512,土地1建物1車位2,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,196.03,3,2,2,有,無,29000000,173193,坡道平面,52.26,4100000,,RPPNMLQKNHLGFCD18CB,日東昇Park626,A棟2號,
安南區,房地(土地+建物)+車位,臺南市安南區州南路與州南五街口,29.14,住,,,1150511,土地1建物1車位2,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,201.89,3,2,2,有,無,16780000,107235,坡道平面,74.32,3100000,,RPRNMLTKNHLGFBD58CB,硯青,E棟E1-10F號,
安南區,房地(土地+建物)+車位,臺南市安南區州南路與州南五街口,27.13,住,,,1150511,土地1建物1車位2,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,194.8,3,2,2,有,無,15800000,107072,坡道平面,74.32,2900000,,RPSNMLTKNHLGFBD68CB,硯青,A棟A5-8F號,
東區,房地(土地+建物)+車位,臺南市東區裕忠路與裕興街口,28.42,住,,,1150511,土地3建物1車位1,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.95,3,2,2,有,無,21200000,167004,坡道平面,39.18,2200000,,RPQNMLTKNHLGFCD58CB,宗大虎隱,B5棟4號,
東區,房地(土地+建物)+車位,臺南市東區裕忠路與裕興街口,20.59,住,,,1150511,土地3建物1車位1,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.0,2,2,2,有,無,15900000,165419,坡道平面,39.18,2200000,,RPRNMLTKNHLGFCD68CB,宗大虎隱,B6棟4號,
東區,房地(土地+建物)+車位,臺南市東區仁和路62號一樓旁,14.06,住,,,1150516,土地6建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.75,2,2,2,有,無,14190000,139870,坡道平面,29.24,1950000,,RPSNMLTKNHLGFCD78CB,宏福悅,B棟B2-3F號,
永康區,房地(土地+建物)+車位,臺南市永康區忠孝路與忠孝路76巷交叉口,10.88,商,,,1150516,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,94.31,3,2,2,有,無,11850000,129448,坡道機械,9.72,900000,,RPPNMLTKNHLGFKD66CB,聯上豐實,E棟3號,
