編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLTKNHLGFBD58CB,州南段,29.14,都市：住,10000,58,持分移轉,16490000
RPRNMLTKNHLGFCD68CB,裕東段,9.16,都市：住,10000,71,持分移轉,06730000
RPRNMLTKNHLGFCD68CB,裕東段,9.28,都市：住,10000,71,持分移轉,06740000
RPRNMLTKNHLGFCD68CB,裕東段,2.15,都市：住,10000,71,持分移轉,06750000
RPSNMLTKNHLGFBD68CB,州南段,27.13,都市：住,10000,54,持分移轉,16490000
RPPNMLKLNHLGFBD57CB,州南段,26.19,都市：住,10000,51,持分移轉,17500000
RPPNMLOLNHLGFCD08CB,平實段,10.85,都市：商,100000,123,持分移轉,00020000
RPPNMLOLNHLGFCD08CB,平實段,5.57,都市：住,100000,123,持分移轉,00030000
RPQNMLOLNHLGFCD18CB,平實段,11.74,都市：商,100000,133,持分移轉,00020000
RPQNMLOLNHLGFCD18CB,平實段,6.03,都市：住,100000,133,持分移轉,00030000
RPUNMLKLNHLGFBD08CB,州南段,30.30,都市：住,10000,59,持分移轉,17500000
RPUNMLMKNHLGFBD18CB,國安段,8.37,都市：住,100000,116,持分移轉,15610000
RPQNMLTKNHLGFCD58CB,裕東段,12.64,都市：住,10000,98,持分移轉,06730000
RPQNMLTKNHLGFCD58CB,裕東段,12.81,都市：住,10000,98,持分移轉,06740000
RPQNMLTKNHLGFCD58CB,裕東段,2.97,都市：住,10000,98,持分移轉,06750000
RPVNMLKLNHLGFBD18CB,州南段,30.30,都市：住,10000,59,持分移轉,17500000
RPWNMLKLNHLGFBD28CB,州南段,19.00,都市：住,10000,37,持分移轉,17500000
RPRNMLOLNHLGFCD28CB,平實段,11.74,都市：商,100000,133,持分移轉,00020000
RPPNMLPLNHLGFHD68CB,新音段,7.87,都市：住,100000,4240,持分移轉,08470000
RPRNMLOLNHLGFCD28CB,平實段,6.03,都市：住,100000,133,持分移轉,00030000
RPPNMLPLNHLGFHD68CB,新音段,22.03,都市：商,100000,4240,持分移轉,08480000
RPPNMLQKNHLGFCD18CB,裕東段,36.81,都市：住,1000000,17759,持分移轉,02340000
RPQNMLPKNHLGFHD68CB,善新段,18.87,都市：住,10000,55,持分移轉,01020000
RPQNMLPLNHLGFHD78CB,新音段,6.65,都市：住,100000,3585,持分移轉,08470000
RPQNMLPLNHLGFHD78CB,新音段,18.63,都市：商,100000,3585,持分移轉,08480000
RPPNMLOLNHLGFGD48CB,忠孝南段,30.85,都市：住,100000,2481,持分移轉,06560000
RPRNMLRLNHLGFKD76CB,平道段,14.15,都市：商,10000,52,持分移轉,02390000
RPQNMLRLNHLGFBD38CB,國安段,11.05,都市：住,10000,26,持分移轉,17660000
