編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLTKNHLGFBD58CB,坡道平面,1550000,37.16,地下一樓
RPRNMLTKNHLGFBD58CB,坡道平面,1550000,37.16,地下一樓
RPRNMLTKNHLGFCD68CB,坡道平面,2200000,39.18,地下三樓
RPSNMLTKNHLGFBD68CB,坡道平面,1450000,37.16,地下二樓
RPSNMLTKNHLGFBD68CB,坡道平面,1450000,37.16,地下二樓
RPPNMLKLNHLGFBD57CB,坡道平面,1550000,29.30,地下二樓
RPPNMLOLNHLGFCD08CB,坡道平面,1950000,25.73,地下三樓
RPQNMLOLNHLGFCD18CB,坡道平面,2000000,25.73,地下三樓
RPUNMLKLNHLGFBD08CB,坡道平面,1650000,29.30,地下一樓
RPUNMLKLNHLGFBD08CB,坡道平面,1650000,29.30,地下一樓
RPUNMLMKNHLGFBD18CB,坡道平面,2000000,19.31,地下四樓
RPQNMLTKNHLGFCD58CB,坡道平面,2200000,39.18,地下三樓
RPVNMLKLNHLGFBD18CB,坡道平面,1550000,29.30,地下二樓
RPVNMLKLNHLGFBD18CB,坡道平面,1550000,29.30,地下二樓
RPWNMLKLNHLGFBD28CB,坡道平面,1450000,29.30,地下三樓
RPRNMLOLNHLGFCD28CB,坡道平面,2250000,25.73,地下一樓
RPPNMLQKNHLGFCD18CB,坡道平面,2100000,26.13,地下一樓
RPPNMLQKNHLGFCD18CB,坡道平面,2000000,26.13,地下一樓
RPQNMLPKNHLGFHD68CB,坡道平面,2000000,28.41,地下一樓
RPRNMLRLNHLGFKD76CB,坡道平面,1800000,34.07,地下二樓
RPQNMLRLNHLGFBD38CB,坡道機械,1350000,23.04,地下四樓
RPPNMLRLNHLGFHD88CB,坡道平面,1900000,28.41,地下二樓
RPTNMLKMNHLGFBD08CB,坡道平面,2000000,19.31,地下四樓
RPPNMLSLNHLGFHD98CB,一樓平面,1200000,13.75,一樓
RPPNMLOLNHLGFKD88CB,坡道平面,1750000,24.86,地下三樓
RPPNMLTKNHLGFKD66CB,坡道機械,900000,9.72,地下四樓
RPQNMLQLNHLGFFD78DB,一樓平面,1300000,16.50,一樓
RPPNMLLJOHLGFCD67CB,坡道平面,1950000,39.18,地下三樓
RPRNMLLJOHLGFBD77CB,坡道平面,1720000,32.34,地下二樓
RPTNMLRLNHLGFFD09CB,一樓平面,1000000,16.52,一樓
RPQNMLLJOHLGFKD58CB,坡道平面,2000000,25.72,地下三樓
RPPNMLLJOHLGFKD48CB,坡道平面,1800000,33.91,地下三樓
RPTNMLLJOHLGFAD87CB,坡道平面,1850000,24.79,地下五樓含以下
RPXNMLLJOHLGFAD28CB,坡道平面,2150000,24.79,地下二樓
RPRNMLLJOHLGFAD67CB,坡道平面,2050000,24.79,地下三樓
RPPNMLLJOHLGFAD47CB,坡道平面,1750000,24.79,地下五樓含以下
RPPNMLLJOHLGFFD08DB,一樓平面,0,,一樓
RPWNMLLJOHLGFAD18CB,坡道平面,1950000,24.79,地下四樓
RPSNMLLJOHLGFKD78CB,坡道平面,1800000,25.72,地下三樓
RPSNMLLJOHLGFAD77CB,坡道平面,2250000,24.79,地下三樓
RPSNMLLJOHLGFAD77CB,坡道平面,2250000,24.79,地下三樓
RPQNMLLJOHLGFAD57CB,坡道平面,1750000,24.79,地下五樓含以下
RPUNMLLJOHLGFAD97CB,坡道平面,2050000,24.79,地下三樓
RPUNMLLJOHLGFAD97CB,坡道平面,1950000,24.79,地下三樓
RPVNMLLJOHLGFAD08CB,坡道平面,2250000,24.79,地下二樓
RPVNMLLJOHLGFAD08CB,坡道平面,2150000,24.79,地下二樓
RPSNMLOJOHLGFAD08CB,坡道平面,2150000,24.79,地下二樓
RPQNMLRJOHLGFBD28CB,坡道平面,2000000,19.31,地下四樓
RPPNMLPKOHLGFBD08CB,坡道平面,1900000,22.98,地下二樓
RPPNMLMJOHLGFGD18CB,坡道平面,1150000,22.13,地下一樓
RPQNMLRKOHLGFHD98CB,坡道平面,1700000,35.10,地下二樓
RPQNMLKKOHLGFHD28CB,其他,700000,13.22,一樓
RPQNMLNJOHLGFDD08CB,坡道平面,2900000,25.73,一樓
RPQNMLNJOHLGFDD08CB,坡道平面,0,25.73,一樓
RPTNMLNJOHLGFDD38CB,坡道平面,1250000,25.73,地下三樓
RPRNMLNJOHLGFDD18CB,坡道平面,1500000,27.03,地下一樓
RPPNMLNJOHLGFDD97CB,坡道平面,1450000,25.73,地下一樓
RPSNMLNJOHLGFDD28CB,坡道平面,1250000,25.73,地下三樓
RPSNMLTKNHLGFCD78CB,坡道平面,1950000,29.24,地下三樓
RPQNMLPLNHLGFID88CB,一樓平面,1550000,14.32,一樓
RPPNMLPLNHLGFID78CB,坡道平面,2000000,26.88,地下一樓
RPPNMLPLNHLGFID78CB,坡道平面,2000000,26.88,地下一樓
