編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLOKNHLGFHD58CC,一樓平面,2000,6.38,一樓
RPSNMLOKNHLGFFD68CC,一樓平面,0,19.32,一樓
RPQOMLPKNHLGFAD18CC,坡道平面,0,34.69,地下二樓
RPPOMLPKNHLGFHD78CC,一樓平面,500,13.75,一樓
RPRNMLQKNHLGFAD28CC,坡道平面,0,19.79,地下二樓
RPPNMLQKNHLGFHD78CC,其他,0,7.62,一樓
RPQNMLQKNHLGFHD88CC,其他,0,8.99,一樓
RPOOMLPKNHLGFKD98CC,坡道平面,0,27.31,地下二樓
RPPOMLPKNHLGFKD09CC,一樓平面,0,,一樓
RPXOMLPKNHLGFKD27CC,坡道平面,0,40.68,地下一樓
RPPOMLSKNHLGFKD76CC,坡道機械,2000,,地下二樓
RPPNMLTKNHLGFBD48CC,一樓平面,2000,17.25,一樓
RPOOMLTKNHLGFHD09CC,坡道平面,500,28.53,地下一樓
RPTNMLTKNHLGFID96CC,坡道平面,0,20.61,地下一樓
RPXNMLKLNHLGFAD38CC,坡道平面,0,31.47,地下二樓
RPXOMLKLNHLGFCD68CC,坡道平面,0,21.69,地下二樓
RPSNMLKLNHLGFDD18CC,坡道平面,0,26.66,地下二樓
RPPQMLKLNHLGFHD58CC,坡道平面,500,,地下一樓
RPVNMLLLNHLGFAD28CC,坡道平面,1000,30.55,地下二樓
RPQOMLLLNHLGFAD87CC,坡道平面,0,33.38,地下二樓
RPSNMLLLNHLGFCD18CC,坡道平面,0,,地下三樓
RPVOMLLLNHLGFCD58CC,坡道平面,1000,,地下一樓
RPOQMLLLNHLGFCD08CC,坡道平面,1000,15.13,地下三樓
RPRPMLLLNHLGFCD28CC,坡道平面,1000,,地下二樓
RPXPMLLLNHLGFCD88CC,坡道平面,1000,14.36,地下二樓
RPQNMLLLNHLGFDD08CC,坡道平面,0,,地下一樓
RPQPMLLLNHLGFKD98CC,坡道機械,1500,10.28,地下二樓
RPQOMLLLNHLGFKD88CC,一樓平面,500,,一樓
RPRPMLLLNHLGFKD09CC,坡道平面,200,,地下一樓
RPRPMLLLNHLGFKD09CC,坡道平面,50,,地下一樓
RPRNMLMLNHLGFCD18CC,坡道平面,0,,地下一樓
RPQNMLMLNHLGFHD58CC,坡道平面,0,39.60,地下三樓
RPPNMLNLNHLGFBD97CC,坡道平面,0,29.98,地下二樓
RPPNMLOLNHLGFBD08CC,坡道平面,0,26.22,地下一樓
RPUNMLOLNHLGFKD86CC,坡道平面,0,,地下一樓
RPSNMLOLNHLGFKD66CC,坡道機械,0,,地下三樓
RPUNMLPLNHLGFBD68CC,坡道平面,0,22.07,地下二樓
RPSOMLPLNHLGFAD48CC,坡道平面,0,31.89,地下五樓含以下
RPPNMLPLNHLGFID88CC,坡道平面,0,25.44,地下三樓
RPTNMLQLNHLGFCD78CC,坡道平面,0,,地下二樓
RPVPMLQLNHLGFKD37CC,坡道平面,0,,地下一樓
RPPOMLRLNHLGFAD38CC,一樓平面,0,15.59,一樓
RPPNMLSLNHLGFHD09CC,坡道平面,0,21.99,地下一樓
RPWOMLSLNHLGFAD56CC,坡道平面,3000,,地下二樓
RPSNMLTLNHLGFID96CC,坡道平面,2500,25.67,地下一樓
RPPNMLKMNHLGFKD68CC,一樓平面,0,,一樓
RPQNMLLMNHLGFID68CC,坡道平面,0,32.27,地下三樓
RPTNMLLJOHLGFBD08CC,坡道機械,0,37.64,地下四樓
RPUOMLLJOHLGFCD38CC,一樓平面,0,,一樓
RPPNMLLJOHLGFFD08CC,坡道平面,0,29.95,地下二樓
RPRNMLLJOHLGFID58CC,坡道平面,3000,20.61,地下二樓
RPPNMLNJOHLGFBD87CC,坡道機械,0,,地下一樓
RPRNMLOJOHLGFID88CC,坡道平面,0,25.44,地下三樓
RPPNMLOJOHLGFHD58CC,其他,0,9.92,一樓
RPPNMLRJOHLGFAD18CC,坡道平面,0,,地下一樓
RPTNMLTJOHLGFID96CC,坡道平面,0,16.89,地下三樓
RPTOMLTJOHLGFAD88CC,坡道機械,0,23.36,地下三樓
RPQOMLPKOHLGFHD98CC,坡道平面,0,38.18,地下二樓
RPRNMLPKOHLGFJD56CC,坡道平面,0,29.75,一樓
RPRPMLLKOHLGFAD08CC,坡道平面,0,27.92,地下四樓
