鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
大樹區,土地,興山段476地號,1340.45,農,,,1150603,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,26800000,19993,,0.0,0,未登記建物；,RPPNMLKKOHLGFGE18DA,0.0,0.0,0.0,無,
林園區,土地,潭頭段2955-5地號,52.0,住,,,1150601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,400000,7692,,0.0,0,,RPOOMLNJOHLGFLE88DA,0.0,0.0,0.0,無,
前鎮區,房地(土地+建物),高雄市前鎮區隆興街１７０號五樓,2.93,都市：其他:第二種特定商業專用區,,,1150603,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680612,9.96,4,2,1,有,無,300000,30120,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLSJOHLGFCE58EA,9.96,0.0,0.0,無,0001
仁武區,房地(土地+建物),高雄市仁武區澄新十街２１號,243.0,住,,,1150601,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土,1060807,424.53,5,2,6,有,無,47500000,111888,,0.0,0,,RPWNMLLJOHLGFIE09DA,408.04,0.0,16.49,無,0002
旗津區,房地(土地+建物),高雄市旗津區旗津三路８９２號五樓,31.74,住,,,1150603,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750624,106.03,3,2,2,有,無,2400000,22635,,0.0,0,,RPPNMLRJOHLGFAE18DA,80.63,0.0,13.18,無,
鳳山區,土地,七老爺段1006-4地號,101.0,農,,,1150606,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1800000,17822,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLQJOHLGFGE68DA,0.0,0.0,0.0,無,
大寮區,房地(土地+建物),高雄市大寮區永芳路４８之１６號,32.5,住,,,1150602,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0700901,43.15,3,2,2,有,無,599400,13891,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLLKOHLGFLE56DA,43.15,0.0,0.0,無,
苓雅區,房地(土地+建物),高雄市苓雅區江都街１號,47.0,住,,,1150604,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0640319,61.72,2,2,2,有,無,14000000,226831,,0.0,0,,RPPNMLTJOHLGFBE48DA,61.72,0.0,0.0,無,
楠梓區,房地(土地+建物),高雄市楠梓區興楠路３５５巷８３號八樓之８,1.79,商,,,1150608,土地1建物1車位0,八層,十三層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,0960604,15.11,1,1,1,有,有,1380000,91330,,0.0,0,夾層；,RPSPMLSJOHLGFEE56DA,8.33,0.37,0.0,有,
