編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTNMLPKOHLGFIE66DA,坡道平面,0,,地下二樓
RPTNMLPKOHLGFIE66DA,坡道平面,0,,地下二樓
RPQNMLPJOHLGFCE28DA,坡道機械,0,,地下一樓
RPQNMLPJOHLGFCE28DA,坡道機械,0,,地下一樓
RPWOMLSJOHLGFEE86DA,升降平面,0,,地下二樓
RPTQMLMJOHLGFEE78DA,坡道機械,0,12.65,地下二樓
RPQOMLMJOHLGFEE28DA,坡道平面,2000000,35.14,地下二樓
RPQPMLSJOHLGFEE98DA,坡道機械,900000,11.88,地下三樓
RPOOMLMJOHLGFBE77DA,坡道平面,2540000,12.65,地下一樓
RPROMLPJOHLGFBE38DA,坡道機械,1400000,,地下二樓
RPOOMLSJOHLGFGE88DA,坡道平面,1800000,23.76,地下二樓
RPWNMLSJOHLGFLE47DA,坡道平面,0,,地下一樓
RPQNMLMJOHLGFBE87DA,坡道平面,2700000,53.74,地下一樓
RPSNMLSJOHLGFCE78DA,坡道機械,0,10.84,地下二樓
RPTNMLMJOHLGFEE48DA,坡道平面,2300000,20.02,地下五樓含以下
RPVNMLOJOHLGFEE88DA,坡道平面,2000000,13.95,地下一樓
RPTNMLOJOHLGFEE68DA,坡道平面,1900000,13.95,地下一樓
RPWPMLOJNHLGFEE09DA,坡道平面,0,17.41,地下一樓
RPOOMLSJNHLGFEE58DA,坡道機械,0,18.12,地下四樓
RPWNMLLKNHLGFFE78DA,一樓平面,0,,一樓
RPTOMLLKNHLGFFE58DA,一樓平面,0,,一樓
RPUOMLSJOHLGFFE76DA,坡道機械,0,15.27,地下四樓
RPPOMLQLNHLGFGE88DA,坡道平面,0,18.97,地下一樓
RPUOMLOJOHLGFGE09DA,坡道平面,0,,地下一樓
RPVNMLPJOHLGFGE56DA,坡道平面,0,25.06,地下三樓
RPQNMLTJOHLGFGE09DA,坡道平面,0,19.82,地下二樓
RPWNMLKLNHLGFGE88DA,坡道平面,0,,地下一樓
RPRNMLKKOHLGFAE77DA,坡道平面,0,16.81,地下一樓
RPRNMLKKOHLGFAE77DA,坡道平面,0,16.81,地下一樓
RPRPMLLJOHLGFEE38DA,坡道平面,0,29.75,地下二樓
RPTPMLPKNHLGFEE98DA,坡道平面,2150000,20.31,地下一樓
RPQOMLPLNHLGFFE78DA,坡道平面,1800000,19.08,地下一樓
RPROMLPLNHLGFFE88DA,坡道平面,1800000,19.08,地下一樓
RPSNMLNJOHLGFCE28DA,坡道平面,0,26.32,地下一樓
RPROMLMKOHLGFEE48DA,坡道平面,0,28.72,地下二樓
RPUPMLKKOHLGFEE68DA,坡道機械,0,10.01,地下一樓
RPTNMLTJOHLGFIE96DA,坡道機械,0,9.62,地下二樓
RPTOMLSKNHLGFGE76DA,坡道平面,0,,地下一樓
RPTNMLLLNHLGFGE68DA,升降機械,0,,地下一樓
RPTNMLKKOHLGFLE09DA,坡道平面,0,21.25,地下一樓
RPVNMLKKOHLGFAE18DA,坡道平面,800000,20.02,地下一樓
RPXNMLPJOHLGFBE88DA,坡道平面,700000,12.65,地下三樓
RPTNMLSJOHLGFCE88DA,坡道平面,0,27.19,地下二樓
RPQOMLSKNHLGFDE78DA,坡道機械,0,11.11,地下二樓
RPQNMLSJNHLGFDE58DA,坡道平面,0,,地下二樓
RPOPMLTKNHLGFDE78DA,坡道平面,2300000,33.03,地下二樓
