鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
苓雅區,房地(土地+建物)+車位,高雄市苓雅區建國一路、正義路口,22.24,住,,,1150514,土地2建物1車位2,六層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,205.81,3,1,2,有,無,13200000,64382,坡道平面,56.7,3600000,,RPPNMLPKNHLGFBE18DB,京城舞極,D1棟6號,
苓雅區,房地(土地+建物)+車位,高雄市苓雅區建國一路、正義路口,15.76,住,,,1150514,土地2建物1車位1,四層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.77,3,1,2,有,無,9900000,62587,坡道平面,28.35,1800000,,RPQNMLPKNHLGFBE28DB,京城舞極,A3棟4號,
新興區,房地(土地+建物),高雄市新興區中山一路,3.04,商,,,1150518,土地16建物1車位0,十層,36,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,75.36,2,1,1,有,無,12600000,167197,,0.0,0,交易總價含下列非屬預售屋價格之費用:裝潢費；傢俱設備費100000元；,RPPNMLSKNHLGFBE38CB,中山鉑?,A棟2號,
路竹區,房地(土地+建物),高雄市路竹區民有路32-3號後面,25.79,,鄉村區,乙種建築用地,1150516,土地1建物1車位0,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,86.9,3,2,2,有,無,7780000,89528,,0.0,0,,RPPNMLSKNHLGFJE56CB,高路捷,A2棟11號,
林園區,房地(土地+建物)+車位,高雄市林園區田厝路75巷10弄與東林西路249巷 交叉口,17.0,商,,,1150514,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,160.79,3,2,2,有,無,12060000,75638,坡道平面,22.5,1600000,,RPPNMLSKNHLGFLE76CB,艾美藏,B棟2號,
三民區,房地(土地+建物)+車位,高雄市三民區明誠一路鼎山街202巷口,17.34,住,,,1150516,土地2建物1車位1,十五層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.11,3,2,2,有,無,24730000,158281,坡道平面,27.4,2300000,,RPPNMLTKNHLGFDE68CB,國泰明誠,A2棟15號,
三民區,房地(土地+建物)+車位,高雄市三民區灣華段301地號,17.8,住,,,1150512,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,194.58,4,2,2,有,無,25150000,140201,坡道平面,32.67,2450000,,RPPNMLKLNHLGFDE87CB,城揚TwinS,A1棟12號,
三民區,房地(土地+建物)+車位,高雄市三民區灣華段301地號,16.7,住,,,1150512,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.35,4,2,2,有,無,24050000,142405,坡道平面,32.67,2450000,,RPQNMLKLNHLGFDE97CB,城揚TwinS,A2棟12號,
楠梓區,房地(土地+建物),高雄市楠梓區大學西路,16.51,住,,,1150516,土地1建物1車位0,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,84.82,2,2,2,有,無,9990000,117779,,0.0,0,,RPTNMLKLNHLGFEE38CB,以學MDT,D5棟13號,
