編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLPLNHLGFEE48CB,坡道平面,2350000,23.34,地下三樓
RPPNMLSKNHLGFLE76CB,坡道平面,1600000,22.50,地下二樓
RPPNMLPKNHLGFBE18DB,坡道平面,1800000,28.35,地下四樓
RPPNMLPKNHLGFBE18DB,坡道平面,1800000,28.35,地下四樓
RPPNMLLLNHLGFBE87DB,坡道平面,1900000,28.35,地下三樓
RPRNMLLLNHLGFBE08DB,坡道平面,1700000,26.91,地下四樓
RPSNMLLLNHLGFBE18DB,坡道平面,1800000,28.35,地下四樓
RPSNMLLLNHLGFBE18DB,坡道平面,1800000,28.35,地下四樓
RPQNMLPKNHLGFBE28DB,坡道平面,1800000,28.35,地下四樓
RPPNMLKLNHLGFDE87CB,坡道平面,2450000,32.67,地下二樓
RPQNMLMLNHLGFDE18CB,坡道平面,2520000,24.85,地下一樓
RPTNMLLLNHLGFBE28DB,坡道平面,2000000,28.35,地下二樓
RPQNMLKLNHLGFDE97CB,坡道平面,2450000,32.67,地下二樓
RPPNMLLLNHLGFDE97CB,坡道平面,2250000,32.67,地下四樓
RPPNMLTKNHLGFDE68CB,坡道平面,2300000,27.40,地下三樓
RPPNMLPLNHLGFDE38CB,坡道平面,2250000,25.46,地下三樓
RPQNMLLLNHLGFBE97DB,坡道機械,1180000,4.84,地下五樓含以下
RPPNMLLLNHLGFJE68DB,一樓平面,1800000,15.00,一樓
RPPNMLRLNHLGFDE58CB,坡道平面,2650000,28.80,地下三樓
RPRNMLRLNHLGFAE48CB,坡道機械,1200000,14.73,地下五樓含以下
RPQNMLQLNHLGFIE09CB,坡道平面,1550000,35.38,地下二樓
RPQNMLTLNHLGFEE98CB,坡道機械,1460000,16.92,地下三樓
RPPNMLMJOHLGFEE08CB,坡道平面,2010000,24.67,地下二樓
RPPNMLLJOHLGFIE38CB,坡道平面,1650000,35.38,地下一樓
RPTNMLSJOHLGFEE09CB,坡道平面,2000000,25.51,地下三樓
RPPNMLQLNHLGFIE98CB,坡道平面,1550000,34.26,地下一樓
RPUNMLSJOHLGFEE56CB,坡道平面,2200000,25.51,地下二樓
RPPNMLQLNHLGFGE88DB,坡道平面,2000000,28.10,地下二樓
RPPNMLTJOHLGFIE56CB,坡道平面,2000000,18.16,地下一樓
RPWNMLMKOHLGFAE48CB,坡道平面,2800000,23.25,地下二樓
RPWNMLSJOHLGFEE76CB,坡道平面,2300000,16.25,地下二樓
RPQNMLKKOHLGFEE08CB,坡道平面,1950000,28.48,地下三樓
RPPNMLKKOHLGFEE97CB,坡道平面,2050000,28.48,地下三樓
RPPNMLMKOHLGFAE77CB,坡道平面,2800000,23.25,地下二樓
RPUNMLMKOHLGFAE28CB,坡道平面,2600000,23.25,地下四樓
RPTNMLMKOHLGFAE18CB,坡道平面,2700000,23.25,地下三樓
RPOOMLMKOHLGFAE77CB,坡道平面,2700000,23.25,地下三樓
RPSOMLMKOHLGFAE18CB,坡道平面,2500000,23.25,地下四樓
RPPOMLMKOHLGFAE87CB,坡道平面,2800000,23.25,地下二樓
RPQPMLMKOHLGFAE08CB,坡道平面,2800000,23.25,地下二樓
RPOPMLMKOHLGFAE87CB,坡道平面,2800000,23.25,地下二樓
RPRPMLMKOHLGFAE18CB,坡道平面,2500000,23.25,地下四樓
RPTPMLMKOHLGFAE38CB,坡道平面,2700000,23.25,地下三樓
RPWPMLMKOHLGFAE68CB,坡道平面,2600000,23.25,地下三樓
RPSPMLMKOHLGFAE28CB,坡道平面,2500000,23.25,地下四樓
RPWOMLMKOHLGFAE58CB,坡道平面,2700000,23.25,地下二樓
RPUPMLMKOHLGFAE48CB,坡道平面,2500000,23.25,地下四樓
RPXPMLMKOHLGFAE78CB,坡道平面,2800000,23.25,地下二樓
RPOQMLMKOHLGFAE97CB,坡道平面,2800000,23.25,地下二樓
RPPNMLLJOHLGFFE08CB,坡道平面,1400000,23.23,地下四樓
RPQNMLPJOHLGFBE18CB,坡道平面,3000000,28.27,地下一樓
