編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPVNMLOKNHLGFAE58CC,坡道平面,0,,地下四樓
RPRNMLOKNHLGFAE18CC,坡道平面,0,21.33,地下五樓含以下
RPROMLLKNHLGFEE38CC,坡道平面,0,27.65,地下四樓
RPOOMLMKNHLGFEE18CC,坡道機械,0,12.87,地下五樓含以下
RPPPMLOKNHLGFEE58CC,坡道平面,0,30.70,地下一樓
RPRPMLOKNHLGFEE78CC,坡道平面,0,19.92,地下一樓
RPWOMLOKNHLGFEE56CC,坡道平面,0,,地下二樓
RPRNMLPKNHLGFAE28CC,坡道機械,0,8.26,地下三樓
RPPOMLOKNHLGFGE68CC,坡道平面,0,36.36,地下二樓
RPVNMLOKNHLGFGE56CC,坡道平面,0,33.81,地下四樓
RPVNMLOKNHLGFGE56CC,其他,0,,地下一樓
RPQNMLPKNHLGFFE68CC,坡道平面,0,27.89,地下二樓
RPTNMLNKNHLGFFE78CC,坡道平面,0,17.21,地下三樓
RPRNMLSKNHLGFAE58CC,坡道平面,0,28.41,地下二樓
RPPPMLPKNHLGFEE68CC,坡道平面,0,15.81,地下三樓
RPTOMLSKNHLGFDE56CC,坡道平面,0,17.51,地下一樓
RPWNMLSKNHLGFBE56CC,坡道平面,0,12.65,地下五樓含以下
RPWNMLSKNHLGFEE86CC,坡道平面,0,22.50,地下三樓
RPVNMLSKNHLGFEE76CC,坡道平面,0,18.70,地下一樓
RPXNMLSKNHLGFFE07CC,坡道平面,0,21.22,地下二樓
RPPPMLTKNHLGFBE78CC,坡道機械,0,,地下五樓含以下
RPSOMLTKNHLGFBE98CC,塔式車位,3000,11.57,
RPOOMLTKNHLGFCE68CC,坡道機械,0,15.33,地下二樓
RPROMLTKNHLGFCE98CC,坡道機械,0,6.60,地下二樓
RPRNMLTKNHLGFDE98CC,坡道平面,0,45.81,地下一樓
RPVNMLTKNHLGFCE66CC,坡道平面,0,15.53,地下二樓
RPTOMLTKNHLGFDE66CC,坡道平面,0,4.83,地下一樓
RPTOMLTKNHLGFEE76CC,坡道機械,0,9.23,地下二樓
RPOPMLTKNHLGFEE98CC,坡道平面,0,15.19,地下二樓
RPQNMLTKNHLGFFE09CC,升降機械,0,7.65,地下四樓
RPXNMLTKNHLGFGE27CC,坡道平面,0,,地下一樓
RPRNMLKLNHLGFAE87CC,坡道機械,0,6.65,地下三樓
RPXNMLKLNHLGFCE68CC,坡道平面,1000,19.47,地下三樓
RPQPMLKLNHLGFCE18CC,坡道平面,0,15.13,地下一樓
RPPNMLKLNHLGFFE18CC,坡道機械,0,9.10,地下三樓
RPRNMLLLNHLGFCE18CC,坡道平面,2000,17.15,地下三樓
RPVNMLLLNHLGFDE68CC,一樓平面,0,15.94,一樓
RPSNMLLLNHLGFAE08CC,坡道機械,0,8.24,地下四樓
RPUNMLLLNHLGFAE28CC,坡道平面,0,19.34,地下三樓
RPQNMLLLNHLGFAE87CC,坡道平面,0,18.77,地下三樓
RPSOMLLLNHLGFEE58CC,坡道機械,0,10.44,地下二樓
RPUOMLLLNHLGFEE78CC,坡道平面,0,39.83,地下二樓
RPQOMLLLNHLGFEE38CC,坡道平面,0,21.56,地下三樓
RPQNMLMLNHLGFBE08CC,坡道平面,3000,32.30,地下五樓含以下
RPXNMLMLNHLGFDE98CC,坡道平面,2400,23.45,地下一樓
RPTNMLMLNHLGFDE58CC,坡道平面,0,9.98,地下五樓含以下
RPOPMLMLNHLGFDE28CC,坡道平面,0,24.97,地下二樓
RPQNMLMLNHLGFFE48CC,坡道機械,0,15.27,地下四樓
RPQNMLMLNHLGFGE58CC,坡道平面,0,28.40,地下三樓
RPXNMLMLNHLGFEE09CC,坡道平面,0,26.06,地下二樓
RPUNMLMLNHLGFEE78CC,坡道平面,0,,地下二樓
RPQOMLMLNHLGFEE48CC,坡道平面,0,26.14,地下一樓
RPUOMLMLNHLGFGE09CC,坡道平面,2000,17.51,地下二樓
RPSNMLMLNHLGFIE98CC,坡道平面,0,21.00,一樓
RPPNMLNLNHLGFFE48CC,坡道平面,2500,21.22,地下二樓
RPSOMLMLNHLGFGE88CC,坡道平面,0,7.96,地下三樓
RPPNMLPLNHLGFBE28CC,坡道平面,0,23.86,地下二樓
RPSNMLPLNHLGFBE58CC,坡道平面,2000,12.65,地下四樓
RPOOMLPLNHLGFCE38CC,坡道機械,0,7.57,地下三樓
RPUNMLPLNHLGFEE09CC,坡道機械,1500,10.85,地下三樓
RPOPMLQLNHLGFAE38CC,坡道平面,0,19.76,地下四樓
RPOPMLQLNHLGFAE38CC,坡道平面,0,19.76,地下四樓
RPXNMLQLNHLGFDE76CC,塔式車位,0,13.05,
RPUNMLQLNHLGFEE56CC,坡道平面,0,15.81,地下三樓
RPXNMLQLNHLGFGE07CC,坡道平面,0,33.81,地下四樓
RPQPMLQLNHLGFEE98CC,坡道平面,0,23.96,地下二樓
RPQOMLRLNHLGFDE88CC,坡道平面,0,15.64,地下四樓
RPPNMLRLNHLGFFE88CC,坡道機械,0,15.27,地下四樓
RPXNMLSLNHLGFAE66CC,坡道平面,0,27.14,地下四樓
RPXPMLSLNHLGFCE07CC,坡道平面,0,19.47,地下二樓
RPQOMLSLNHLGFDE98CC,坡道平面,0,24.10,地下二樓
RPXNMLSLNHLGFFE17CC,坡道平面,0,26.82,地下二樓
RPVNMLSLNHLGFGE07CC,坡道平面,0,25.31,地下二樓
RPPQMLSLNHLGFBE88CC,坡道平面,0,23.64,地下四樓
RPROMLTLNHLGFDE56CC,坡道平面,0,26.78,地下一樓
RPSNMLTLNHLGFCE09CC,坡道平面,2800,34.76,地下四樓
RPRPMLTLNHLGFDE66CC,坡道平面,0,,地下二樓
RPPNMLKMNHLGFDE08CC,坡道機械,0,15.08,地下三樓
RPPNMLKMNHLGFGE38CC,坡道平面,0,15.23,地下二樓
RPPNMLKMNHLGFCE97CC,坡道平面,0,29.60,地下三樓
RPXOMLTLNHLGFEE27CC,坡道平面,0,19.46,地下二樓
RPOPMLTLNHLGFEE09CC,坡道平面,0,27.18,地下一樓
RPQNMLMJOHLGFFE38CC,坡道平面,0,25.02,地下二樓
RPWNMLMJOHLGFGE09CC,坡道平面,0,28.40,地下二樓
RPRNMLMJOHLGFGE58CC,坡道平面,4000,,地下一樓
RPSNMLMJOHLGFIE88CC,坡道機械,0,6.57,地下二樓
RPXNMLNJOHLGFAE68CC,坡道平面,0,46.17,地下四樓
RPRNMLNJOHLGFCE28CC,坡道平面,0,26.32,地下三樓
RPUNMLNJOHLGFGE98CC,坡道平面,2700,30.80,地下二樓
RPUNMLOJOHLGFAE48CC,坡道平面,0,19.34,地下一樓
RPXNMLOJOHLGFCE98CC,坡道機械,0,7.57,地下三樓
RPQNMLOJOHLGFGE68CC,坡道平面,0,23.95,地下二樓
RPWNMLOJOHLGFGE66CC,坡道平面,2800,30.80,地下一樓
RPVQMLOJOHLGFEE66CC,坡道平面,0,40.99,地下四樓
RPXNMLPJOHLGFAE88CC,坡道平面,0,29.84,地下三樓
RPOOMLSJOHLGFBE48CC,坡道平面,0,29.28,地下二樓
RPPNMLSJOHLGFGE98CC,坡道平面,0,18.86,地下二樓
RPRNMLSJOHLGFEE98CC,坡道平面,0,21.48,地下二樓
RPUNMLTJOHLGFAE98CC,坡道平面,0,17.91,地下二樓
RPWNMLTJOHLGFCE76CC,坡道平面,0,24.87,地下二樓
RPWNMLTJOHLGFDE86CC,坡道平面,0,25.92,地下二樓
RPOOMLKKOHLGFDE97CC,坡道平面,0,34.14,地下三樓
RPXOMLKKOHLGFDE88CC,坡道平面,0,34.14,地下一樓
RPQPMLKKOHLGFEE38CC,坡道平面,0,24.46,地下三樓
RPQOMLLKOHLGFGE58CC,坡道平面,0,25.05,地下一樓
RPRNMLMKOHLGFCE28CC,坡道平面,0,32.16,地下三樓
RPVNMLPKOHLGFAE78CC,坡道平面,0,21.86,地下二樓
RPQPMLQKOHLGFBE68CC,坡道機械,0,14.85,地下五樓含以下
RPVPMLRKOHLGFEE96CC,坡道平面,0,19.46,地下二樓
RPQQMLSKOHLGFDE56CC,坡道平面,0,31.44,地下一樓
RPWNMLTJOHLGFFE07CC,坡道平面,0,34.57,地下一樓
