編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPVNMLSJOHLGFCF56DA,30,32.50,共有部分,鋼筋混凝土造,85年7月10日,十七層,,持分移轉
RPSNMLKKOHLGFCF18DA,30,.13,商業用,鋼筋混凝土造,85年11月16日,七層,一層,持分移轉
RPSNMLKKOHLGFCF18DA,30,.02,共有部分,鋼筋混凝土造,85年11月16日,七層,,持分移轉
RPSNMLKKOHLGFCF18DA,30,38.33,共有部分,鋼筋混凝土造,85年11月16日,七層,,持分移轉
RPRQMLKKOHLGFBF28DA,33,66.31,住家用,鋼筋混凝土造,82年6月23日,十一層,六層 陽台,全筆移轉
RPRQMLKKOHLGFBF28DA,33,7.67,共有部分,鋼筋混凝土造,82年6月23日,十一層,,持分移轉
RPRQMLKKOHLGFBF28DA,33,15.16,共有部分,鋼筋混凝土造,82年6月23日,十一層,,持分移轉
RPWQMLLKOHLGFBF88DA,29,84.39,住家用,鋼筋混凝土造,86年5月30日,七層,五層 陽台,全筆移轉
RPWQMLLKOHLGFBF88DA,29,9.53,共有部分,鋼筋混凝土造,86年5月30日,七層,,持分移轉
RPWQMLLKOHLGFBF88DA,29,2.47,共有部分,鋼筋混凝土造,86年5月30日,七層,,持分移轉
RPWQMLLKOHLGFBF88DA,29,31.15,共有部分,鋼筋混凝土造,86年5月30日,七層,,持分移轉
RPPNMLQKOHLGFDF68EA,42,99.40,,鋼筋混凝土造,73年1月7日,三層,一層 二層 三層 陽台 平台,全筆移轉
RPQOMLKKOHLGFEF38EA,59,14.50,住家用,加強磚造,56年6月1日,二層,一層 二層,持分移轉
RPWQMLQJNHLGFBF56DA,32,45.92,工業用,鋼筋混凝土造,83年2月4日,十層,四層 陽台,全筆移轉
RPWQMLQJNHLGFBF56DA,32,17.71,共有部分,鋼筋混凝土造,83年2月4日,十層,,持分移轉
RPXNMLKKOHLGFEF98EA,1,51.12,集合住宅,鋼筋混凝土造,114年3月14日,十四層,十三層 陽台 雨遮,全筆移轉
RPXNMLKKOHLGFEF98EA,1,54.27,本共有部分之項目有：梯廳、公共儲藏室、自行車停車位、受電箱室、緊急發電機室、台電配電室、機房、水箱、總受水箱、溫泉水箱、進氣機房、排氣機房、消防泵浦室、雨水過濾機房、電梯機房、昇降機、機械房、管委會空間、無障礙安全梯、機電設備空間、緊急升降梯無障礙電梯、引導設施、管委會使用空間、排煙室、消防水箱、特別安全梯、無障礙特別安全梯、垃圾儲藏空間、廁所、垃圾車停車位、水池、中繼消防機房、高層建築出入口緩衝空間、防災中心、陽台、安全梯、公共緊急發電機室、觀景池機房、電氣室、公共台電配電室、無障礙昇降梯、電信機房、女廁、男廁、汽車坡道等４５項,鋼筋混凝土構造、鋼構造,114年3月14日,二十三層,,持分移轉
RPXNMLSKNHLGFCF76DA,26,117.02,住家用,鋼筋混凝土造,89年2月25日,十六層,四層 陽台 花台,全筆移轉
RPXNMLSKNHLGFCF76DA,26,19.51,共有部分,鋼筋混凝土造,89年2月25日,十六層,,持分移轉
RPXNMLSKNHLGFCF76DA,26,51.64,共有部分,鋼筋混凝土造,89年2月25日,十六層,,持分移轉
RPXNMLSKNHLGFCF76DA,25,2.59,托兒所．辦公室．供社區使用．機房,鋼筋混凝土造,90年4月20日,四層,,持分移轉
RPVNMLQLNHLGFBF98DA,13,.03,辦公室,鋼筋混凝土造,102年9月24日,十八層,一層,持分移轉
RPVOMLLJOHLGFBF48DA,7,65.29,店舖,鋼筋混凝土造,108年11月1日,十八層,二層 陽台,全筆移轉
RPTPMLTLNHLGFBF66DA,4,45.26,集合住宅,鋼筋混凝土造,110年12月27日,十三層,十二層 陽台 雨遮,全筆移轉
RPVOMLLJOHLGFBF48DA,7,30.33,本共有部分之項目有梯廳、排煙室、緊急昇降機、無障礙升降機、無障礙樓梯、特安梯、走廊、廁所、水箱、梯間、丁２梯、噴灌機房、消防水箱、水錶牆、電梯機房、陽台計１６項。,鋼筋混凝土造,108年11月1日,十八層,,持分移轉
RPTPMLTLNHLGFBF66DA,4,26.11,本共有部分之項目有機車停車空間、陽臺、梯廳、安全梯Ａ、無障礙安全梯Ｂ、無障礙使用昇降機、防空避難室、電信機房、消防機房、樓梯間、機房、消防水箱、水箱、台電配電場所、緊急發電機房、無障礙安全梯、雨遮等１７項。,鋼筋混凝土造,110年12月27日,十三層,,持分移轉
RPVOMLLJOHLGFBF48DA,7,7.01,本共有部分之項目有門廳、梯廳、車道、排煙室、頂蓋型開放空間、出入口緩衝空間、防災中心、店舖、無障礙升降機、廁所、澆灌機房、消防水箱、消防機房、陽台計１４項。,鋼筋混凝土造,108年11月1日,十八層,,持分移轉
