編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPVNMLSJOHLGFCF56DA,坡道平面,780000,32.50,地下二樓
RPSNMLKKOHLGFCF18DA,坡道平面,1950000,38.48,地下二樓
RPWQMLLKOHLGFBF88DA,升降機械,0,,地下二樓
RPXNMLKKOHLGFEF98EA,坡道平面,1400000,27.91,地下二樓
RPXNMLSKNHLGFCF76DA,坡道平面,0,,地下二樓
RPVOMLLJOHLGFBF48DA,坡道平面,0,44.91,地下二樓
RPUNMLQLNHLGFBF88DA,坡道平面,2450000,29.24,地下一樓
RPVNMLQLNHLGFBF98DA,坡道平面,1850000,29.24,地下二樓
RPQOMLMLNHLGFCF28DA,坡道平面,2500000,23.73,地下二樓
RPPNMLSJOHLGFIF66EA,坡道機械,0,,地下二樓
RPVNMLSLNHLGFAF09DA,坡道平面,2700000,28.94,地下三樓
RPPOMLPJOHLGFAF18DA,坡道機械,1100000,14.05,地下一樓
RPTNMLTJOHLGFEF66DA,坡道平面,1000000,36.32,地下三樓
RPSNMLSJOHLGFDF98DA,坡道平面,1800000,29.20,地下一樓
RPTOMLSKNHLGFGF86DA,坡道平面,2300000,33.53,地下一樓
RPSNMLSJOHLGFDF98DA,坡道機械,1100000,15.98,地下二樓
RPPOMLQLNHLGFDF68DA,坡道平面,0,40.14,地下三樓
RPVNMLQJNHLGFDF98DA,坡道平面,2000000,57.81,地下一樓
RPTNMLSJOHLGFGF76DA,坡道平面,2500000,26.88,地下二樓
RPTNMLSJOHLGFGF76DA,坡道平面,2500000,26.88,地下二樓
RPRNMLTJOHLGFHF76DA,坡道平面,0,23.83,地下三樓
RPQNMLTJOHLGFBF78EA,坡道平面,0,,地下一樓
RPVNMLTJOHLGFHF27EA,坡道平面,0,40.48,地下四樓
RPQNMLTJOHLGFIF86EA,坡道平面,1400000,36.74,地下三樓
RPOOMLSJOHLGFCF58DA,坡道平面,2000000,24.42,地下四樓
RPTOMLQLNHLGFBF88DA,坡道機械,0,12.31,地下三樓
RPVOMLLKOHLGFBF58DA,坡道平面,0,26.49,地下三樓
RPPOMLQJNHLGFDF48DA,坡道平面,2000000,15.52,地下三樓
RPQNMLMJOHLGFDF18DA,升降平面,0,31.16,地下二樓
RPUOMLTJOHLGFHF17DA,坡道平面,2600000,49.27,地下三樓
RPQNMLKKOHLGFAF77DA,坡道平面,2500000,30.04,地下三樓
RPQNMLKKOHLGFAF77DA,坡道平面,2500000,30.04,地下三樓
RPUNMLKKOHLGFDF58EA,坡道機械,1000000,18.54,地下二樓
RPSNMLTJOHLGFCF09EA,坡道平面,2950000,27.61,地下四樓
RPQNMLPJOHLGFIF09EA,坡道平面,0,22.12,地下二樓
RPSNMLKKOHLGFGF58DA,坡道平面,2500000,30.10,地下三樓
RPXNMLTJOHLGFGF27DA,坡道平面,2100000,27.97,地下二樓
RPWOMLTJOHLGFGF27DA,塔式車位,1500000,32.87,
RPVNMLOJOHLGFEF09EA,坡道平面,1750000,27.41,地下一樓
RPRNMLRJOHLGFDF78DA,坡道平面,1500000,36.76,地下一樓
RPRNMLNKNHLGFHF78DA,坡道平面,2500000,39.89,地下二樓
RPSNMLTJOHLGFDF09DA,其他,0,,一樓
RPWNMLKKOHLGFDF68DA,坡道平面,1000000,38.98,地下三樓
RPPSMLKKOHLGFBF28DA,坡道機械,0,,地下一樓
RPQSMLKKOHLGFBF38DA,升降平面,1800000,31.02,地下一樓
RPROMLRLNHLGFBF78DA,坡道平面,0,27.08,地下三樓
RPTOMLOKNHLGFGF09DA,坡道平面,2500000,40.13,地下四樓
RPPNMLPKOHLGFAF28EA,坡道平面,2000000,29.70,地下二樓
RPPNMLTJOHLGFFF98DA,坡道平面,0,,地下一樓
RPWNMLKKOHLGFDF78EA,坡道機械,900000,7.38,地下一樓
RPPOMLSKNHLGFBF58DA,坡道平面,2500000,36.37,地下三樓
RPQNMLKKOHLGFGF48EA,坡道機械,1800000,34.57,地下三樓
RPSNMLLKOHLGFBF28EA,升降平面,2000000,20.64,地下一樓
RPSNMLRLNHLGFAF78EA,坡道平面,2700000,40.24,地下三樓
RPWNMLKKOHLGFEF88EA,坡道平面,1900000,29.80,地下一樓
RPUOMLTJOHLGFAF09DA,坡道平面,2400000,23.36,地下一樓
RPORMLKKOHLGFAF97DA,坡道平面,2350000,23.22,地下二樓
RPOPMLNJOHLGFAF97DA,坡道平面,2500000,17.68,地下五樓含以下
RPWOMLLKOHLGFAF58DA,坡道平面,2500000,32.21,地下一樓
RPTOMLMKOHLGFAF38DA,坡道平面,0,15.02,地下三樓
RPXRMLPKOHLGFAF76DA,坡道平面,2500000,37.47,地下四樓
RPQNMLMKOHLGFBF08DA,坡道平面,2000000,37.27,地下一樓
RPPRMLNJOHLGFBF38DA,坡道平面,2100000,38.49,地下三樓
RPPOMLOJOHLGFBF18DA,坡道機械,1800000,5.83,地下一樓
RPRNMLLJOHLGFDF18DA,坡道平面,2000000,,地下二樓
RPPOMLSLNHLGFBF68DA,坡道機械,0,,地下一樓
RPRQMLPLNHLGFBF78DA,坡道平面,2200000,25.20,地下一樓
RPVNMLLKOHLGFGF98DA,坡道平面,2400000,34.65,地下二樓
RPVOMLPJOHLGFEF56DA,坡道平面,0,33.29,地下三樓
RPTNMLMKOHLGFEF68DA,坡道平面,800000,39.50,地下一樓
RPORMLOKNHLGFAF28DA,坡道平面,0,19.39,地下二樓
RPUNMLMJOHLGFGF88DA,坡道平面,2300000,24.52,地下五樓含以下
RPRNMLKKOHLGFAF97EA,坡道平面,3000000,28.63,地下二樓
RPVNMLLKOHLGFGF09EA,坡道平面,0,23.14,地下一樓
RPWNMLLKOHLGFGF56EA,坡道平面,0,23.14,地下一樓
RPTRMLPKOHLGFAF98DA,坡道平面,2300000,36.83,地下三樓
RPXQMLLKOHLGFBF98DA,坡道平面,2400000,38.41,地下四樓
RPPNMLMKOHLGFBF97DA,坡道平面,2050000,35.80,地下五樓含以下
RPQNMLPKOHLGFEF78EA,坡道平面,0,26.54,地下一樓
RPOPMLRLNHLGFBF58DA,坡道平面,2500000,34.01,地下一樓
RPQRMLMKOHLGFBF48DA,坡道機械,0,21.92,地下一樓
RPVNMLMJOHLGFEF78DA,坡道平面,1000000,38.31,地下二樓
WPVNMLMJOHLGFEF66DA,坡道平面,1200000,39.07,地下一樓
TPVNMLMJOHLGFEF98DA,坡道平面,1000000,38.31,地下二樓
UPVNMLMJOHLGFEF09DA,坡道平面,1000000,38.31,地下二樓
XPVNMLMJOHLGFEF76DA,坡道平面,1200000,39.07,地下一樓
RPVOMLPJOHLGFBF88DA,坡道平面,0,28.56,地下四樓
SPVNMLMJOHLGFEF88DA,坡道平面,1000000,38.31,地下二樓
VPVNMLMJOHLGFEF56DA,坡道平面,1200000,39.07,地下一樓
RPWPMLLLNHLGFBF78DA,坡道平面,1990000,33.55,地下三樓
RPRNMLTJOHLGFEF09DA,坡道平面,0,34.78,地下一樓
RPRNMLTJOHLGFEF09DA,坡道平面,0,34.78,地下一樓
RPOOMLKKOHLGFHF38DA,升降平面,1720000,52.18,地下二樓
RPRNMLMKOHLGFEF48DA,坡道平面,1500000,41.62,地下二樓
RPPOMLPJOHLGFEF58DA,坡道平面,0,,地下二樓
RPOPMLQLNHLGFEF78DA,坡道平面,2000000,33.43,地下二樓
RPWNMLTLNHLGFEF07DA,坡道平面,0,25.69,地下二樓
RPRNMLMKOHLGFIF88DA,坡道平面,0,23.18,地下二樓
RPPNMLOKOHLGFEF48DA,坡道平面,0,15.60,地下一樓
RPPNMLOKOHLGFEF48DA,坡道平面,0,15.60,地下一樓
RPPNMLOKOHLGFEF48DA,坡道平面,0,15.60,地下一樓
RPPNMLOKOHLGFEF48DA,坡道平面,0,15.60,地下一樓
RPPNMLOKOHLGFEF48DA,坡道平面,0,15.60,地下一樓
RPPNMLOKOHLGFEF48DA,坡道平面,0,15.60,地下一樓
RPPNMLOKOHLGFEF48DA,坡道平面,0,15.60,地下一樓
RPPNMLOKOHLGFEF48DA,坡道平面,0,15.60,地下一樓
RPPNMLOKOHLGFEF48DA,坡道平面,0,15.60,地下一樓
RPUNMLRLNHLGFAF98EA,坡道機械,1800000,36.36,地下二樓
RPSNMLMKOHLGFEF68EA,坡道平面,0,28.17,地下一樓
RPUNMLMKOHLGFGF09EA,坡道機械,1150000,17.82,地下一樓
RPSNMLLJNHLGFBF97DA,坡道平面,2000000,24.91,地下一樓
RPSNMLSLNHLGFCF98DA,坡道平面,1500000,36.75,地下一樓
RPSNMLSLNHLGFCF98DA,坡道平面,1500000,36.74,地下一樓
RPXOMLPKOHLGFBF56DA,坡道平面,0,42.83,地下二樓
RPOOMLSJOHLGFEF78DA,坡道平面,1500000,30.86,地下二樓
RPUOMLQKOHLGFBF98DA,坡道平面,0,21.75,地下二樓
RPUOMLQKOHLGFBF98DA,坡道平面,0,24.16,地下二樓
RPVNMLTJOHLGFDF76DA,升降機械,0,,地下一樓
RPTOMLMKOHLGFHF09DA,升降機械,0,12.20,一樓
RPPPMLTLNHLGFHF86DA,坡道機械,2000000,26.61,地下二樓
RPRNMLQKOHLGFDF78DA,坡道機械,0,19.59,地下二樓
RPSNMLPKOHLGFEF98EA,坡道平面,0,37.18,地下三樓
RPQNMLQKOHLGFBF58EA,坡道平面,2400000,52.21,地下四樓
RPTOMLQKOHLGFAF78DA,坡道平面,1910000,40.42,地下三樓
RPOPMLQKOHLGFAF38DA,坡道平面,0,,地下一樓
RPXSMLPKOHLGFAF86DA,坡道平面,0,41.57,地下四樓
RPPOMLKKOHLGFAF77DA,坡道機械,0,,地下二樓
RPXNMLPKOHLGFEF86EA,坡道平面,0,37.79,地下三樓
RPWOMLNKNHLGFAF68DA,坡道平面,2200000,32.70,地下五樓含以下
RPUNMLTJOHLGFAF98DA,坡道平面,2500000,,地下二樓
RPWNMLTJOHLGFCF76DA,坡道平面,2000000,63.89,地下一樓
RPTNMLTJOHLGFDF56DA,坡道平面,2600000,30.85,地下一樓
RPTNMLOJOHLGFCF58DA,坡道平面,0,,地下二樓
RPQOMLTJOHLGFDF98DA,坡道平面,2200000,15.37,地下二樓
RPVOMLNKNHLGFBF68DA,坡道平面,2000000,32.50,地下一樓
RPRPMLLLNHLGFEF58DA,坡道平面,1450000,35.20,地下二樓
RPSOMLNJOHLGFEF68DA,坡道平面,1500000,40.92,地下三樓
RPPOMLMKNHLGFEF28DA,坡道平面,1250000,35.20,地下四樓
RPPNMLKKOHLGFBF87EA,坡道平面,0,30.97,地下三樓
RPWNMLTJOHLGFHF27DA,坡道平面,1400000,20.86,地下四樓
RPRNMLTJOHLGFCF98EA,坡道平面,2600000,29.87,地下三樓
RPPOMLSJOHLGFIF66DA,坡道平面,1800000,35.37,地下二樓
RPPOMLSJOHLGFIF66DA,坡道平面,1800000,33.79,地下二樓
RPWOMLPKNHLGFHF96DA,坡道平面,3500000,22.04,地下二樓
RPXNMLKKOHLGFGF56EA,坡道平面,2000000,,地下三樓
RPXPMLMJOHLGFAF78DA,坡道平面,2250000,34.91,地下五樓含以下
RPTNMLNJOHLGFEF68DA,坡道平面,0,,地下一樓
RPQPMLKMMHLGFBF08DA,坡道平面,0,28.61,地下三樓
RPSOMLNLMHLGFGF88DA,坡道機械,0,,地下一樓
RPUNMLKKOHLGFAF18DA,坡道平面,1850000,40.28,地下二樓
RPWSMLPLNHLGFBF86DA,坡道平面,2000000,,地下二樓
RPROMLOJOHLGFAF28DA,坡道平面,2600000,36.69,地下五樓含以下
RPWNMLTLMHLGFCF76DA,坡道機械,1500000,,地下四樓
RPUOMLLLNHLGFCF58DA,坡道平面,0,37.64,地下三樓
RPXPMLRKOHLGFBF86DA,坡道平面,2800000,21.07,地下一樓
RPWUMLKLNHLGFBF56DA,坡道平面,0,38.64,地下一樓
RPTOMLSJOHLGFEF66DA,坡道平面,1500000,26.82,地下三樓
RPTOMLSJOHLGFEF66DA,坡道平面,1500000,26.82,地下三樓
RPVNMLSLNHLGFCF66DA,坡道平面,3000000,37.46,地下三樓
RPPOMLLKOHLGFCF08DA,一樓平面,0,,一樓
RPQNMLPJOHLGFBF28DA,坡道平面,1500000,31.05,地下三樓
RPROMLTLNHLGFBF98DA,坡道平面,2200000,14.93,地下二樓
RPRNMLLKOHLGFBF08DA,坡道平面,2500000,15.77,地下一樓
RPRNMLLKOHLGFBF08DA,坡道平面,2500000,15.77,地下一樓
RPTOMLPJOHLGFGF56DA,坡道平面,0,25.01,地下三樓
RPSNMLLLNHLGFDF38DA,坡道平面,2000000,42.39,地下二樓
RPRNMLKKOHLGFBF08EA,坡道平面,2000000,19.47,地下二樓
RPSNMLKKOHLGFBF18EA,坡道機械,1500000,9.92,地下一樓
RPUNMLKKOHLGFEF68EA,坡道平面,1500000,34.95,地下二樓
RPVOMLKKOHLGFEF88EA,坡道平面,0,40.73,地下一樓
RPPNMLPLMHLGFHF78DA,坡道機械,800000,15.23,地下二樓
RPPNMLPLMHLGFHF78DA,坡道機械,800000,15.23,地下二樓
RPTNMLMKOHLGFBF38DA,坡道平面,2600000,38.41,地下二樓
RPQNMLMKOHLGFCF18DA,坡道平面,0,34.83,地下二樓
RPSNMLNJOHLGFAF18DA,坡道平面,2850000,30.90,地下一樓
RPQPMLSLNHLGFEF66EA,坡道平面,1500000,34.95,地下一樓
RPQPMLSLNHLGFEF66EA,坡道平面,1500000,34.95,地下一樓
RPQOMLPKMHLGFEF58DA,坡道平面,2100000,35.77,地下三樓
RPSNMLLLNHLGFHF78DA,坡道平面,2000000,32.60,地下五樓含以下
RPUNMLMKOHLGFCF58DA,坡道平面,0,32.85,地下三樓
RPSNMLKKOHLGFEF48EA,坡道平面,1750000,29.16,地下二樓
RPQNMLPJOHLGFEF68EA,坡道平面,2300000,32.63,地下三樓
RPPPMLQLNHLGFBF58DA,坡道平面,1950000,24.94,地下一樓
RPQNMLQJOHLGFEF68DA,坡道平面,1700000,29.80,地下二樓
RPPNMLNLMHLGFDF18DA,坡道平面,0,,地下三樓
RPPOMLKMMHLGFGF38DA,升降平面,0,46.86,地下二樓
RPQOMLSJOHLGFIF76DA,坡道平面,0,,地下一樓
RPRNMLRLMHLGFHF56DA,升降機械,0,,地下一樓
RPXPMLQJNHLGFHF17DA,坡道平面,2500000,39.98,地下二樓
RPQOMLQJNHLGFGF88DA,坡道平面,2350000,34.02,地下二樓
RPSNMLKLMHLGFHF58DA,坡道機械,2000000,21.85,地下三樓
RPUOMLLJOHLGFHF98DA,坡道平面,2500000,46.36,地下三樓
RPPNMLPJNHLGFHF68DA,坡道平面,0,32.68,地下一樓
RPPNMLPJNHLGFHF68DA,坡道平面,0,32.68,地下一樓
RPTOMLSJOHLGFGF86DA,坡道平面,2850000,32.28,地下二樓
RPROMLTJOHLGFAF78DA,坡道平面,0,24.66,地下三樓
RPPNMLTJOHLGFDF88EA,坡道平面,2800000,26.47,地下五樓含以下
RPRNMLKKOHLGFCF18EA,坡道平面,2250000,37.86,地下四樓
RPQNMLKKOHLGFCF08EA,坡道平面,2500000,37.86,地下三樓
RPQNMLKKOHLGFCF08EA,坡道平面,2600000,37.86,地下三樓
RPRNMLKKOHLGFCF18EA,坡道平面,2250000,37.86,地下四樓
RPPPMLMKOHLGFAF08DA,坡道平面,2900000,28.28,地下二樓
RPQPMLMKOHLGFAF18DA,坡道平面,3000000,30.89,地下二樓
RPRRMLNJOHLGFBF58DA,坡道平面,2000000,23.49,地下一樓
RPTNMLSJNHLGFAF68DA,坡道平面,2300000,,地下一樓
RPVPMLSJOHLGFBF66DA,坡道平面,1800000,,地下一樓
RPSNMLOJOHLGFCF48DA,坡道平面,2000000,29.52,地下二樓
RPQNMLSKNHLGFAF48DA,坡道機械,0,16.72,地下一樓
RPOQMLSKNHLGFBF68DA,坡道平面,0,34.79,地下二樓
RPSNMLRJOHLGFDF88DA,坡道機械,1100000,,地下二樓
RPPNMLNJNHLGFCF97DA,坡道平面,2850000,31.17,地下二樓
RPOOMLRKMHLGFBF28DA,坡道平面,2500000,34.70,地下二樓
RPPNMLMKOHLGFAF97EA,升降平面,0,,地下二樓
RPOOMLKKOHLGFEF18EA,坡道平面,0,36.02,地下一樓
RPPPMLSKNHLGFEF98DA,坡道平面,1500000,18.77,地下三樓
RPPPMLSKNHLGFEF98DA,坡道平面,1500000,18.77,地下三樓
RPWOMLKKOHLGFGF09DA,坡道平面,2800000,35.41,地下三樓
RPRNMLSJOHLGFAF58DA,坡道平面,3000000,25.30,地下二樓
RPSNMLTJOHLGFIF96DA,坡道平面,0,36.74,地下二樓
RPSNMLTJOHLGFIF96DA,坡道平面,0,36.74,地下二樓
RPWNMLQLNHLGFBF09DA,坡道平面,2300000,,地下三樓
RPWUMLLKOHLGFAF56DA,坡道平面,2500000,42.17,地下二樓
RPTPMLLLNHLGFBF48DA,升降機械,1500000,13.22,地下一樓
RPQTMLPLNHLGFBF98DA,坡道平面,2000000,34.68,地下二樓
RPOQMLNJOHLGFBF18DA,坡道平面,2200000,22.66,地下三樓
RPTNMLPKOHLGFBF68DA,坡道平面,0,,地下一樓
RPWNMLOJOHLGFCF88DA,坡道平面,1000000,,地下三樓
RPQNMLTKNHLGFCF78DA,坡道平面,0,27.53,地下三樓
RPPOMLMLNHLGFBF08DA,坡道平面,0,30.30,地下三樓
RPPNMLRJOHLGFDF58DA,坡道平面,2475000,36.65,地下二樓
RPXPMLLKOHLGFBF88DA,坡道平面,0,33.55,地下一樓
RPPRMLMKOHLGFBF38DA,坡道平面,0,,地下一樓
RPPSMLMJOHLGFBF38DA,坡道平面,2000000,33.79,地下二樓
RPPSMLMJOHLGFBF38DA,坡道平面,2000000,33.79,地下二樓
RPTNMLSKNHLGFIF96DA,坡道平面,1600000,42.33,地下四樓
RPQNMLMJOHLGFGF48DA,坡道平面,2300000,29.34,地下一樓
RPWNMLRLNHLGFAF56EA,坡道平面,0,,地下一樓
SPPNMLQKNHLGFHF98DA,坡道平面,2205000,25.35,地下二樓
RPUOMLKMMHLGFHF98DA,坡道平面,2800000,39.89,二樓含以上
RPXNMLMKOHLGFBF88EA,坡道平面,2000000,22.60,地下五樓含以下
RPXNMLLKOHLGFIF76DA,坡道平面,1800000,,地下三樓
RPPNMLSLNHLGFIF66DA,坡道機械,1200000,24.36,地下二樓
RPVNMLNJOHLGFIF66DA,坡道機械,1000000,,地下一樓
RPVOMLMKOHLGFAF58DA,坡道平面,0,39.73,地下四樓
RPPTMLPLNHLGFBF88DA,坡道平面,1500000,32.95,地下二樓
RPPOMLTJOHLGFBF68DA,坡道平面,0,26.21,地下五樓含以下
RPUPMLKKOHLGFBF48DA,坡道平面,0,17.07,地下一樓
RPUOMLSJOHLGFBF09DA,坡道平面,0,12.89,地下三樓
RPQNMLLKNHLGFEF18DA,坡道平面,1600000,31.91,地下三樓
RPROMLTKNHLGFDF09DA,坡道平面,2500000,28.14,地下二樓
RPXOMLOJOHLGFEF66DA,坡道平面,0,29.92,地下三樓
RPTRMLTKNHLGFBF76DA,坡道機械,1600000,18.77,地下二樓
RPSQMLRLNHLGFGF96DA,坡道平面,0,,地下一樓
RPTQMLMKNHLGFEF88DA,坡道平面,1350000,35.20,地下三樓
RPUPMLPKOHLGFEF66DA,坡道平面,0,,地下三樓
RPWNMLMKOHLGFEF98DA,坡道平面,1500000,17.73,地下三樓
RPQPMLLLNHLGFEF48DA,坡道平面,1450000,35.20,地下二樓
RPXSMLSKNHLGFHF77DA,坡道機械,1900000,19.88,地下二樓
RPQOMLOLMHLGFIF98DA,坡道平面,1500000,42.33,地下四樓
RPQNMLQKOHLGFIF66EA,坡道機械,1100000,16.02,地下三樓
RPUNMLQKOHLGFGF86EA,坡道平面,2500000,34.58,地下二樓
RPPNMLQKOHLGFGF98EA,坡道平面,0,34.45,地下二樓
RPPNMLRKOHLGFEF78DA,坡道平面,0,28.50,地下三樓
RPROMLPKOHLGFGF09DA,坡道平面,3000000,41.66,地下二樓
RPSOMLPKOHLGFGF56DA,坡道平面,2600000,41.66,地下三樓
RPPNMLSJOHLGFAF38DA,坡道平面,2200000,34.60,地下三樓
RPPNMLSJOHLGFAF38DA,坡道平面,2200000,34.60,地下三樓
RPPNMLSJOHLGFAF38DA,坡道平面,2200000,34.60,地下三樓
RPTOMLRKMHLGFBF78DA,坡道平面,0,39.26,地下四樓
RPROMLQKOHLGFHF76EA,其他,1600000,12.29,地下二樓
RPWPMLSJOHLGFBF76DA,坡道平面,0,28.60,地下二樓
RPXNMLSJNHLGFBF56DA,升降機械,1000000,7.05,地下一樓
RPQNMLTJOHLGFDF88DA,坡道平面,2100000,36.92,地下一樓
RPOOMLLMLHLGFCF87DA,坡道平面,2500000,27.61,地下一樓
RPOOMLLMLHLGFCF87DA,坡道平面,2500000,27.61,地下一樓
RPPQMLPJOHLGFBF48DA,坡道平面,0,23.24,地下三樓
RPPQMLPJOHLGFBF48DA,坡道平面,0,23.24,地下三樓
RPSNMLTJOHLGFEF56DA,坡道平面,1550000,23.20,地下三樓
RPSNMLTJOHLGFEF56DA,坡道平面,1550000,23.20,地下三樓
RPRNMLRLNHLGFAF68EA,坡道平面,2800000,32.70,地下一樓
RPXNMLPJOHLGFGF86DA,坡道平面,0,,地下一樓
RPPNMLQKOHLGFEF78EA,坡道平面,1700000,37.61,地下二樓
RPPNMLQKOHLGFEF78EA,坡道平面,1700000,37.61,地下二樓
RPVRMLSLMHLGFBF86DA,坡道平面,2500000,48.24,地下三樓
RPPNMLQKMHLGFEF48DA,坡道平面,1300000,31.86,地下二樓
RPRNMLSJOHLGFBF68DA,坡道平面,1600000,26.52,地下三樓
RPUNMLQJNHLGFCF78DA,坡道平面,0,27.53,地下三樓
RPTPMLTLNHLGFHF27DA,升降機械,1500000,16.02,地下一樓
RPVUMLKLNHLGFBF09DA,坡道平面,2500000,39.97,地下二樓
RPOSMLTLMHLGFEF66DA,坡道平面,1350000,35.20,地下三樓
RPQNMLLKOHLGFDF18DA,坡道平面,2000000,,地下一樓
RPQNMLRJMHLGFEF58DA,坡道平面,1350000,35.20,地下三樓
RPSOMLTJOHLGFAF88DA,坡道平面,0,34.49,地下一樓
RPRNMLLKOHLGFCF18DA,坡道平面,2250000,,地下一樓
RPSOMLRJMHLGFEF88DA,坡道平面,1450000,35.20,地下二樓
RPRNMLQLNHLGFAF48DA,坡道平面,2500000,38.02,地下四樓
RPUNMLSLMHLGFHF96DA,坡道平面,3400000,,地下二樓
RPWOMLPLNHLGFHF07DA,坡道平面,2500000,36.14,地下二樓
RPWOMLPLNHLGFHF07DA,坡道平面,2500000,36.14,地下二樓
RPVNMLKKOHLGFHF98DA,坡道平面,2500000,52.82,地下一樓
RPSNMLKKOHLGFCF28EA,坡道平面,2600000,34.79,地下三樓
RPPNMLTJOHLGFIF66DA,升降機械,0,,無固定樓層
RPSNMLKKOHLGFCF28EA,坡道平面,2700000,37.86,地下三樓
RPSNMLKKOHLGFCF28EA,坡道平面,2700000,37.86,地下三樓
RPPPMLOJNHLGFBF18DA,坡道平面,0,,地下一樓
RPSUMLKLNHLGFBF78DA,坡道平面,0,,地下二樓
RPQNMLSJOHLGFBF58DA,坡道平面,0,19.73,地下三樓
RPUNMLSJNHLGFCF98DA,坡道機械,1500000,,地下三樓
RPRTMLKLNHLGFBF58DA,坡道平面,2500000,34.31,地下三樓
RPTNMLLKOHLGFCF38DA,坡道平面,0,25.96,地下三樓
RPQNMLTKMHLGFGF09DA,坡道平面,2700000,35.48,地下三樓
RPQNMLTKMHLGFGF09DA,坡道平面,2700000,35.48,地下三樓
RPTNMLLKOHLGFHF88DA,升降機械,0,10.66,無固定樓層
RPXOMLMLNHLGFBF88DA,坡道平面,2500000,32.64,地下四樓
RPTOMLMLNHLGFAF38DA,坡道平面,2500000,28.14,地下三樓
RPUNMLKKOHLGFEF58DA,坡道平面,1500000,31.72,地下三樓
RPXNMLLKOHLGFGF66EA,坡道機械,0,28.29,地下三樓
RPRNMLQLLHLGFAF28DA,坡道平面,2300000,31.72,地下一樓
RPTNMLLLNHLGFAF18DA,坡道平面,2700000,35.11,地下二樓
RPPOMLLKNHLGFHF48DA,升降機械,1800000,12.67,地下二樓
RPROMLSKNHLGFBF78DA,坡道平面,0,27.32,地下三樓
RPXRMLLKOHLGFAF98DA,坡道平面,0,29.78,地下一樓
RPUPMLLKNHLGFAF48EA,坡道平面,2200000,24.01,地下四樓
RPXNMLTKNHLGFCF86DA,坡道平面,2300000,39.96,地下二樓
RPWNMLLKOHLGFCF68DA,其他,1800000,7.86,一樓
RPOOMLKMMHLGFBF77DA,坡道平面,2000000,19.02,地下一樓
RPOOMLKMMHLGFBF77DA,坡道平面,2000000,19.02,地下一樓
RPPNMLQKNHLGFHF88DA,坡道平面,0,21.23,地下二樓
RPWPMLNKNHLGFBF88DA,坡道平面,0,,地下二樓
RPUNMLPKOHLGFGF76EA,坡道平面,2500000,40.64,地下一樓
RPPNMLOJMHLGFEF18DA,坡道平面,1500000,37.88,地下三樓
RPSOMLSLNHLGFAF88DA,坡道平面,2500000,34.86,地下三樓
RPTNMLKMMHLGFGF68DA,坡道機械,0,17.77,地下三樓
RPROMLPJOHLGFEF78DA,坡道平面,0,30.84,地下四樓
RPQNMLQKOHLGFGF09EA,坡道平面,2500000,40.61,地下二樓
RPSNMLTJOHLGFBF88DA,坡道平面,2500000,24.90,地下三樓
RPSQMLTJOHLGFBF56DA,坡道平面,0,20.38,地下三樓
RPRSMLSLMHLGFBF56DA,坡道平面,2750000,24.90,地下二樓
RPQPMLSJNHLGFAF58DA,坡道平面,3200000,26.54,地下三樓
