鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
三重區,租賃房屋,新北市三重區正義北路３６巷７號,0.0,,,,1150511,土地0建物1車位0,一層,3,公寓(5樓含以下無電梯),住家用,加強磚造,0561225,50.18,2,1,1,有,無,有,15000,299,,0.0,0,水電費 瓦斯費 由承租人負擔續租案件；,RPSOMLLKNHLGFGF78CC,整棟(戶)出租,無,1150601~1160531,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
樹林區,租賃房屋,新北市樹林區八德街１１０號９樓,0.0,,,,1150511,土地0建物1車位0,九層,12,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0991119,113.00999999999999,3,2,2,有,有,有,25000,221,,0.0,0,管理費：3320元，承租人負擔。續租案件；,RPUNMLLKNHLGFIF09CC,整棟(戶)出租,有,1150516~1160131,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
板橋區,租賃房屋,新北市板橋區南雅東路１００巷３號２樓,0.0,,,,1150511,土地0建物0車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640922,37.0,5,2,3,有,無,有,25000,676,,0.0,0,201室多人共同承租4；,RPQOMLMKNHLGFAF08CC,分租套房,無,1150515~1160514,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
新莊區,租賃房屋,新北市新莊區中央路３７０號二十樓之８,0.0,,,,1150511,土地0建物1車位0,二十層,23,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1140528,134.91,2,2,2,有,有,有,32000,237,,0.0,0,未租賃車位，建物登記含有車位面積；,RPUOMLMKNHLGFBF58CC,整棟(戶)出租,有,1150520~1160519,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
新莊區,租賃房屋,新北市新莊區中平路３５８號,0.0,,,,1150511,土地0建物1車位0,一層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880507,144.49,2,2,1,有,有,無,25000,173,,0.0,0,另有管理費3000元，由承租人負擔。未租賃車位，建物登記含有車位面積；,RPXOMLMKNHLGFBF88CC,整棟(戶)出租,有,1150515~1160514,有,冷氣、熱水器、洗衣機、瓦斯或天然氣,社會住宅代管
新店區,租賃房屋,新北市新店區吉祥街６巷８號六樓,0.0,,,,1150511,土地0建物1車位0,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850628,146.1,3,2,2,有,有,無,9000,62,,0.0,0,另有管理費1000元，由承租人負擔。續租案件；,RPSNMLMKNHLGFCF38CC,整棟(戶)出租,有,1150515~1160514,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
新店區,租賃房屋,新北市新店區二十張路１２９巷３弄８號五樓,0.0,,,,1150511,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0661217,78.28,3,2,2,有,無,有,28000,358,,0.0,0,,RPOOMLMKNHLGFCF08CC,整棟(戶)出租,無,1150601~1160531,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
金山區,租賃房屋,新北市金山區中山路３７５號５樓,0.0,,,,1150512,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810414,166.81,9,2,2,有,無,有,12000,72,,0.0,0,,RPVNMLMKNHLGFDF78CC,整棟(戶)出租,無,1150520~1160519,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅包租轉租
淡水區,租賃房屋,新北市淡水區文化路６３號十三樓之５,0.0,,,,1150512,土地0建物1車位0,十三層,13,住宅大樓(11層含以上有電梯),辦公室,鋼筋混凝土造,0961109,40.33,1,1,1,有,有,無,13700,340,,0.0,0,租金總額含管理費；,RPVNMLMKNHLGFEF88CC,整棟(戶)出租,有,1150601~1160531,有,冷氣、熱水器、電視機、冰箱,
