編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQOMLNKNHLGFBF28CC,國宅段,55.36,都市：住,,,,01000006
RPWOMLNKNHLGFEF56CC,公司田段,15.12,都市：住,,,,00550000
RPPOMLOKNHLGFBF28CC,建林段,15.66,都市：住,,,,04300000
RPSPMLSKNHLGFAF98CC,成功段,20.62,都市：住,,,,03390000
RPSNMLSKNHLGFCF98CC,斯馨段,6405.41,都市：住,,,,00280000
RPOOMLSKNHLGFGF09CC,幸福段,61.00,都市：住,,,,03730000
RPPPMLKLNHLGFBF08CC,中原段,24.50,都市：住,,,,02910000
RPWPMLKLNHLGFBF78CC,力行段,23.43,都市：商,,,,00970000
RPWOMLLLNHLGFBF78CC,力行段,14.01,都市：商,,,,02460000
RPUPMLLLNHLGFBF68CC,建林段,21.25,都市：住,,,,00600000
RPTOMLPLNHLGFBF88CC,東林段,925.62,都市：農,,,,02090000
RPWOMLPLNHLGFBF56CC,竹林段,49.09,都市：住,,,,02180000
RPUOMLQLNHLGFBF09CC,力行段,18.51,都市：住,,,,05980000
RPUOMLQLNHLGFIF17CC,中園段,19.74,都市：住,,,,05000000
RPRNMLTLNHLGFEF66CC,龍米段,17.85,都市：住,,,,24430000
RPVNMLTLNHLGFBF76CC,明志段,2.87,都市：住,,,,04880000
RPVNMLTLNHLGFBF76CC,明志段,.84,都市：商,,,,05130000
RPTPMLPJOHLGFBF88CC,新知段,261.67,都市：其他:產業專用區,,,,00370000
RPVOMLPKOHLGFBF09CC,行政段,9.64,都市：商,,,,05830000
RPVOMLPKOHLGFBF09CC,行政段,.47,都市：商,,,,05840000
RPOOMLPKOHLGFBF38CC,力行段,18.51,都市：住,,,,05980000
