鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
蘇澳鎮,土地,思村段470地號,13.71,都市：其他:人行步道,,,1150602,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,53000,3866,,0.0,0,包含公共設施保留地用地；,RPSNMLKKOHLGFAG18EA,0.0,0.0,0.0,無,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉德陽路２３１巷１４弄３１號十三樓之十,17.61,住,,,1150601,土地1建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030825,94.22,1,1,1,有,有,10000000,106135,,0.0,0,車位隨到隨停、陽台加裝鋁門窗其他增建；,RPVNMLTJOHLGFBG66DA,49.96,1.03,4.48,有,001
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮中山路三段３３６號四樓之１１,5.57,商,,,1150601,土地3建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0851219,27.34,0,0,1,有,有,1600000,58522,,0.0,0,,RPTNMLMJOHLGFAG28DA,16.55,0.0,2.93,有,002
冬山鄉,土地,梅山段1240地號,168.02,,一般農業區,甲種建築用地,1150608,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,700000,4166,,0.0,0,本土地為袋地無臨路,RPPNMLPKOHLGFAG28DA,0.0,0.0,0.0,無,
宜蘭市,土地,雙福段80地號,521.39,工,,,1150601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,19200000,36825,,0.0,0,,RPVSMLMJOHLGFBG09DA,0.0,0.0,0.0,無,003
宜蘭市,土地,農權段147地號,66.94,住,,,1150602,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2429900,36300,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRPMLMKOHLGFBG48DA,0.0,0.0,0.0,無,004
宜蘭市,土地,農權段147地號,10.5,住,,,1150602,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,381100,36295,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXPMLMKOHLGFBG09DA,0.0,0.0,0.0,無,004
礁溪鄉,土地,玉光一段626-1地號,142.02,,特定農業區,甲種建築用地,1150608,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6830640,48096,,0.0,0,配偶間交易親友、員工、共有人或其他特殊關係間之交易；,RPPNMLQKOHLGFBG48DA,0.0,0.0,0.0,無,
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮豐年路１１９巷３弄７０號五樓之３,12.48,住,,,1150602,土地4建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0861206,50.269999999999996,1,1,1,有,有,3600000,71613,,0.0,0,,RPROMLPJOHLGFAG48DA,31.41,0.0,4.09,有,
冬山鄉,土地,鹿得二段779地號,154.01,,特定農業區,農牧用地,1150604,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,100000,649,,0.0,0,,RPUNMLQKOHLGFAG88DA,0.0,0.0,0.0,無,
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮朝陽路１號七樓之十一,20.22,住,,,1150606,土地1建物1車位0,七層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1061221,79.78999999999999,1,1,1,有,有,8200000,102770,,0.0,0,,RPPOMLSJOHLGFBG68DA,38.87,0.0,5.13,有,006
五結鄉,土地,五結段702地號,6520.0,工,,,1150602,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,160200000,24571,,0.0,0,,RPRNMLQKOHLGFAG68EA,0.0,0.0,0.0,無,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉義成路三段５９０巷３２弄１０號七樓,26.67,住,,,1150519,土地2建物1車位0,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0951229,81.41,2,2,1,有,有,7000000,85985,,0.0,0,,RPQOMLSJOHLGFAG68DA,54.35,10.74,0.0,有,007
員山鄉,房地(土地+建物),宜蘭縣員山鄉賢德路二段９２巷８弄１號,103.04,,鄉村區,乙種建築用地,1150514,土地4建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1081015,169.77,4,2,5,有,無,13100000,77163,,0.0,0,增建範圍：一樓空地。其他增建；,RPSNMLSLNHLGFBG98DA,162.11,0.0,7.66,無,008
礁溪鄉,土地,開圍段400地號,34.99,,特定農業區,甲種建築用地,1150531,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,952494,27222,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；畸零地或有合併使用效益；,RPRPMLLJOHLGFBG28DA,0.0,0.0,0.0,無,009
礁溪鄉,土地,開圍段401地號,133.89,,特定農業區,農牧用地,1150531,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,729015,5445,,0.0,0,本案為持分之買賣親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPTPMLLJOHLGFBG48DA,0.0,0.0,0.0,無,010
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市大福路一段１１巷３３號,96.0,,鄉村區,乙種建築用地,1150510,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0720309,124.8,5,3,2,有,無,5500000,44071,,0.0,0,增建範圍：一樓增建沿著加蓋。其他增建；,RPQOMLTJOHLGFBG88DA,124.8,0.0,0.0,無,
員山鄉,土地,粗坑段1145地號,65.0,,鄉村區,乙種建築用地,1150522,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2600000,40000,,0.0,0,未登記建物；,RPPNMLKKOHLGFBG87DA,0.0,0.0,0.0,無,
