編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLSLNHLGFBG98DA,新三泰段,1.82,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,447,持分移轉,14340000
RPSNMLSLNHLGFBG98DA,新三泰段,21.31,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,14350000
RPSNMLSLNHLGFBG98DA,新三泰段,3.99,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,447,持分移轉,14580000
RPSNMLSLNHLGFBG98DA,新三泰段,75.92,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,14790000
RPUNMLQKOHLGFAG88DA,鹿得二段,154.01,非都市：特定農業區 ; 非都市編定：農牧用地,9300,154,持分移轉,07790000
RPPNMLPKOHLGFAG28DA,梅山段,168.02,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,12400000
RPQOMLSJOHLGFAG68DA,群英段,26.27,都市：其他:住宅區,10000,142,持分移轉,10320000
RPQOMLSJOHLGFAG68DA,群英段,.39,都市：其他:住宅區,10000,142,持分移轉,10420009
RPRNMLSLNHLGFBG88DA,宜福段,446.37,非都市：特定農業區 ; 非都市編定：農牧用地,6,2,持分移轉,06170000
RPRNMLSLNHLGFBG88DA,宜福段,666.68,非都市：特定農業區 ; 非都市編定：農牧用地,6,2,持分移轉,06210000
RPRNMLSLNHLGFBG88DA,宜福段,933.36,非都市：特定農業區 ; 非都市編定：農牧用地,6,2,持分移轉,06530000
RPQNMLTJOHLGFAG68DA,三結段,113.52,都市：其他:住宅區,1,1,全筆移轉,02380000
RPUNMLSLNHLGFAG09DA,尚義南段,392.37,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05200000
RPROMLPJOHLGFAG48DA,公正段,.60,都市：其他:住宅區,100000,1530,持分移轉,14090004
RPROMLPJOHLGFAG48DA,公正段,1.90,都市：其他:住宅區,100000,1530,持分移轉,14250001
RPROMLPJOHLGFAG48DA,公正段,.95,都市：其他:住宅區,100000,1530,持分移轉,14260016
RPROMLPJOHLGFAG48DA,公正段,9.04,都市：其他:住宅區,100000,1530,持分移轉,15320000
RPTNMLMJOHLGFAG28DA,興東段,3.51,都市：其他:住宅區,10000,57,持分移轉,13930000
RPTNMLMJOHLGFAG28DA,興東段,.06,都市：其他:商業區,10000,57,持分移轉,13930001
RPTNMLMJOHLGFAG28DA,興東段,1.99,都市：其他:商業區,10000,34,持分移轉,14170000
RPPNMLMKOHLGFAG97DA,東和段,2812.71,都市：其他:農業區,1,1,全筆移轉,01230000
RPPNMLTJOHLGFAG68EA,大元段,29600.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,07260000
RPSNMLKKOHLGFAG18EA,思村段,13.71,都市：其他:人行步道,1,1,全筆移轉,04700000
RPQNMLKKOHLGFAG97EA,南山段,5208.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,06590000
RPRNMLQKOHLGFAG68EA,五結段,6520.00,都市：其他:乙種工業區,1,1,全筆移轉,07020000
RPPNMLLKOHLGFBG08EA,外員段,34.09,都市：其他:住宅區,10000,452,持分移轉,06950000
RPTPMLLJOHLGFBG48DA,開圍段,133.89,非都市：特定農業區 ; 非都市編定：農牧用地,10,3,持分移轉,04010000
RPVSMLMJOHLGFBG09DA,雙福段,521.39,都市：其他:工業區,1,1,全筆移轉,00800000
RPSNMLOJOHLGFBG48DA,湖北段,1256.59,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00650000
RPUNMLOJOHLGFBG68DA,和睦段,86.20,都市：其他:住宅區,1,1,全筆移轉,07720000
RPTNMLNJOHLGFBG48DA,金六結一段,64.99,都市：其他:住宅區,1,1,全筆移轉,02160000
RPRPMLLJOHLGFBG28DA,開圍段,34.99,非都市：特定農業區 ; 非都市編定：甲種建築用地,10,7,持分移轉,04000000
RPPNMLMKOHLGFAG08EA,梅山段,541.30,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09420001
RPQNMLTLNHLGFAG78DA,東安段,9.70,都市：其他:住宅區,20970,97,持分移轉,06940000
RPQNMLTLNHLGFAG78DA,東安段,.40,都市：其他:住宅區,930,4,持分移轉,06960001
RPRNMLTLNHLGFAG88DA,武塔段,2440.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,08600000
RPRNMLTLNHLGFAG88DA,武塔段,15088.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,13620001
RPUNMLKKOHLGFAG28DA,孝威二段,32.31,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,912,持分移轉,01820000
