鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
頭城鎮,房地(土地+建物)+車位,宜蘭縣頭城鎮沙成路2巷69號旁,19.18,住,,,1150515,土地5建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.81,1,1,1,有,無,11150000,128619,坡道平面,33.45,1200000,,RPSNMLPKNHLGFBG58CB,山海序,F-14F號,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉丸山路,54.94,,鄉村區,乙種建築用地,1150516,土地1建物1車位0,二層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,115.0,3,2,2,有,無,6220000,54087,,0.0,0,,RPQNMLSKNHLGFAG58CB,鳳凰愛買21期,J棟2F號,
礁溪鄉,房地(土地+建物)+車位,宜蘭縣礁溪鄉育龍路,106.21,住,,,1150512,土地2建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,173.61,4,2,5,有,無,16000000,92161,一樓平面,0.0,0,主建物內含車位面積13.75平方公尺。,RPPNMLSKNHLGFBG58CB,鳳凰愛買15期,E棟1號,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市神農路二段,32.5,住,,,1150512,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,159.3,3,2,2,有,無,17100000,119636,坡道平面,29.74,1600000,,RPRNMLSKNHLGFBG78CB,鳳凰101,L號,
員山鄉,房地(土地+建物),宜蘭縣員山鄉枕山路,165.07,,一般農業區,甲種建築用地,1150512,土地7建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,142.19,4,2,5,有,無,11550000,81229,,0.0,0,交易總價包含枕山一段1738、1754地號等兩筆農地持分交易價款共40萬元,RPUNMLSKNHLGFBG09CB,鳳凰愛買20期,A棟15號,
員山鄉,房地(土地+建物),宜蘭縣員山鄉枕山路,155.22,,一般農業區,甲種建築用地,1150516,土地8建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,142.22,4,2,5,有,無,9900000,69610,,0.0,0,交易總價包含枕山一段1738、1754地號等兩筆農地持分交易價款共40萬元,RPVNMLSKNHLGFBG56CB,鳳凰愛買20期,C棟9號,
五結鄉,房地(土地+建物),宜蘭縣五結鄉利成路二段,28.47,,鄉村區,乙種建築用地,1150513,土地3建物1車位0,二層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,72.92,2,2,2,有,無,5460000,74877,,0.0,0,,RPPNMLKLNHLGFAG77CB,謙羽3,E棟2號,
員山鄉,房地(土地+建物),宜蘭縣員山鄉思源路97巷,50.29,,特定農業區,甲種建築用地,1150514,土地2建物1車位0,二層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,105.07,2,2,2,有,無,6750000,64243,,0.0,0,,RPPNMLLLNHLGFBG97CB,松佑鑫時代,A棟5號,
員山鄉,房地(土地+建物)+車位,宜蘭縣員山鄉思源路97巷,50.29,,特定農業區,甲種建築用地,1150516,土地2建物1車位1,三層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,130.44,2,2,2,有,無,7400000,64243,一樓平面,25.37,650000,,RPQNMLLLNHLGFBG08CB,松佑鑫時代,A棟5號,
冬山鄉,房地(土地+建物)+車位,宜蘭縣冬山鄉珍珠三路,43.31,,特定農業區,甲種建築用地,1150511,土地1建物1車位1,四層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,111.5,3,2,2,有,無,7780000,69776,一樓平面,0.0,0,車位位於法定空地上面積13.75平方公尺,RPPNMLMLNHLGFAG97CB,博愛日日春,D棟1號,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉大福路二段99巷,78.31,,特定農業區,甲種建築用地,1150517,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,132.74,4,2,3,有,無,8550000,64412,,0.0,0,同段63地號，農地持分以贈與方式辦理。,RPSNMLMLNHLGFBG38CB,宗硯大砌系列18-透天,D棟6號,
員山鄉,房地(土地+建物),宜蘭縣員山鄉長堤路32巷,41.07,,特定農業區,甲種建築用地,1150518,土地2建物1車位0,三層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,104.33,2,2,2,有,無,7200000,69012,,0.0,0,,RPPNMLPLNHLGFBG38CB,香榭麗舍NO.9,A棟5號,
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉國民南路,109.63,,特定農業區,甲種建築用地,1150517,土地3建物1車位1,三層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,161.95,3,2,3,有,無,13450000,94354,一樓平面,30.0,1000000,,RPRNMLRLNHLGFAG68CB,小國民原夢,B1-3F號,
員山鄉,房地(土地+建物)+車位,宜蘭縣員山鄉山前路50巷,39.42,,特定農業區,甲種建築用地,1150516,土地2建物1車位1,二層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,86.45,2,2,2,有,無,6730000,77848,一樓平面,19.43,0,,RPPNMLRLNHLGFBG58CB,鳳凰愛買16期,A2棟2F號,
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮公園路,41.99,住,,,1150511,土地2建物1車位0,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,119.26,3,2,2,有,無,11400000,95589,,0.0,0,,RPQNMLRLNHLGFBG68CB,京采頭城2,1棟4D號,
蘇澳鎮,房地(土地+建物)+車位,宜蘭縣蘇澳鎮和平路,24.7,住,,,1150515,土地1建物1車位1,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,111.28,2,2,1,有,無,6360000,62028,坡道平面,26.48,1100000,,RPPNMLRLNHLGFAG58DB,圓美磐筑,4棟3F-3A3號,
蘇澳鎮,房地(土地+建物)+車位,宜蘭縣蘇澳鎮和平路,26.87,住,,,1150519,土地1建物1車位1,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,118.73,2,2,2,有,無,6820000,63089,坡道平面,26.48,1000000,,RPQNMLRLNHLGFAG68DB,圓美磐筑,4棟3F-3A6號,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉大福路二段99巷,78.31,,特定農業區,甲種建築用地,1150517,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,132.74,4,2,3,有,無,8500000,64035,,0.0,0,同段63地號，農地持分以贈與方式辦理。,RPPNMLLJOHLGFBG87CB,宗硯大砌系列18-透天,F棟2號,
頭城鎮,房地(土地+建物)+車位,宜蘭縣頭城鎮新武路,34.69,住,,,1150513,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,92.86,2,2,1,有,無,8550000,92074,一樓平面,18.18,0,,RPPNMLPJOHLGFBG28CB,聚蒔光,B-3F號,
員山鄉,房地(土地+建物),宜蘭縣員山鄉三鬮路199巷,95.35,,鄉村區,乙種建築用地,1150516,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,157.43,4,2,3,有,無,12380000,78638,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLRJOHLGFBG48CB,築荷5,B棟13號,
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮中山路一段,40.08,,特定農業區,甲種建築用地,1150515,土地3建物1車位1,四層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,109.13,2,2,2,有,無,10030000,91346,一樓平面,11.37,1100000,,RPPNMLSJOHLGFAG48CB,羅東春天之綻,1棟B3-4F號,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉順和路28號旁,84.47,,特定農業區,甲種建築用地,1150511,土地4建物1車位0,四層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,116.32,3,2,2,有,無,9230000,79350,,0.0,0,交易總價包含一、五權段778地號農地持分，交易價款10萬元整。二、五權段782-2地號建地持分，交易價款14萬元整。,RPQNMLSJOHLGFBG68CB,光匯田境,C棟4C1號,
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮月眉路,75.05,,特定農業區,甲種建築用地,1150517,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,217.03,4,2,5,有,無,23600000,108741,,0.0,0,,RPQNMLKKOHLGFAG87CB,美澍家NO.10,D棟5號,
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮月眉路,41.68,,特定農業區,甲種建築用地,1150517,土地2建物1車位0,二層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,84.95,2,2,2,有,無,9800000,115362,,0.0,0,,RPRNMLKKOHLGFAG97CB,美澍家NO.10,A棟3a號,
