鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
冬山鄉,租賃房屋,宜蘭縣冬山鄉八甲路７２巷３６號,0.0,,,,1150512,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0701202,104.94,2,1,2,有,無,有,13000,124,,0.0,0,,RPSNMLMKNHLGFAG28CC,整棟(戶)出租,無,1150515~1160514,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
礁溪鄉,租賃房屋,宜蘭縣礁溪鄉德陽路２４７巷１０號３樓之５,0.0,,,,1150512,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850717,42.88,1,0,1,有,有,有,7800,182,,0.0,0,租金總額含管理費；續租案件；,RPQNMLMKNHLGFBG18CC,獨立套房,有,1150614~1160613,有,冷氣、洗衣機、冰箱,一般代管
礁溪鄉,租賃房屋,宜蘭縣礁溪鄉德陽路２３１巷１４弄３１號１１樓之１０,0.0,,,,1150511,土地0建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1030825,96.52,1,2,1,有,有,有,19000,197,,0.0,0,租金總額含管理費；,RPSNMLMKNHLGFBG38CC,整棟(戶)出租,有,1150518~1160517,有,冷氣、洗衣機、電視機、冰箱,
南澳鄉,土地,南澳二段436地號,382.66,農,,,1150512,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,無,18000,47,,0.0,0,,RPQNMLNKNHLGFAG18CC,,,1150515~1160514,,,
羅東鎮,租賃房屋,宜蘭縣羅東鎮中山西街７５號１樓,0.0,,,,1150513,土地0建物1車位0,一層,3,公寓(5樓含以下無電梯),住家用,Ｒ．Ｃ造及鐵筋加強磚造,0650215,50.65,0,0,0,無,無,無,12000,237,,0.0,0,,RPWNMLOKNHLGFAG88CC,,無,1150601~1200531,無,,
頭城鎮,租賃房屋,宜蘭縣頭城鎮復興路６６之９號,0.0,,,,1150513,土地0建物0車位0,全,3,透天厝,住商用,鋼筋混凝土造,0870921,13.22,8,0,8,有,無,有,3500,265,,0.0,0,租金總額含水費；網路費；續租案件；,RPQNMLOKNHLGFBG38CC,分租套房,無,1150601~1151130,無,冷氣、熱水器、冰箱、網路,一般代管
頭城鎮,租賃房屋,宜蘭縣頭城鎮復興路６６之９號,0.0,,,,1150513,土地0建物0車位0,全,3,透天厝,住商用,鋼筋混凝土造,0870921,20.0,8,0,8,有,無,有,4000,200,,0.0,0,租金總額含水費；網路費；續租案件；,RPSNMLOKNHLGFBG58CC,分租套房,無,1150525~1170524,無,冷氣、熱水器、冰箱、網路,一般代管
宜蘭市,租賃房屋,宜蘭縣宜蘭市舊城南路４０號,0.0,,,,1150513,土地0建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0941007,14.61,5,1,5,有,無,有,6500,445,,0.0,0,租金總額含網路費；續租案件；,RPTNMLOKNHLGFBG68CC,分租套房,無,1150615~1160614,無,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般代管
宜蘭市,租賃房屋,宜蘭縣宜蘭市陽明路３２５號二樓,0.0,,,,1150513,土地0建物0車位0,全,4,透天厝,住宅、樓梯間,鋼筋混凝土造,1050615,23.14,5,0,5,有,無,有,10000,432,,0.0,0,續租案件；,RPWNMLOKNHLGFBG98CC,分租套房,無,1150620~1151219,有,冷氣、熱水器、洗衣機、電視機、冰箱,一般代管
