鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
桃園區,房地(土地+建物)+車位,桃園市桃園區德華街３８號十二樓,13.48,住,,,1150603,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961025,123.6,2,2,1,有,有,10000000,80906,坡道平面,31.1,0,,RPSNMLTJOHLGFAH98DA,53.57,1.82,11.38,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區民有五街２６１號十二樓之４,16.84,住,,,1150602,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860918,110.08,3,2,2,有,有,8080000,100893,坡道平面,42.88,1300000,陽台加窗、鐵鋁窗增建陽台外推；夾層；,RPQOMLOJOHLGFAH38DA,51.83,0.0,6.97,有,0001
桃園區,車位,桃園市桃園區大有路６５２巷５號地下室壹層,0.05,住,,,1150603,土地1建物1車位1,地下一層,十七層,其他,管理員室,鋼筋混凝土造,0860901,39.379999999999995,0,0,0,無,無,1700000,,坡道平面,39.38,1700000,僅車位交易；,RPUPMLPJOHLGFAH98DA,0.0,0.0,0.0,無,0002
桃園區,房地(土地+建物)+車位,桃園市桃園區泰昌七街６７之１號二樓,21.08,住,,,1150607,土地1建物1車位1,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820524,109.47999999999999,3,2,2,有,有,8000000,73073,升降機械,0.0,0,親友、員工、共有人或其他特殊關係間之交易；急買急賣；,RPSNMLRJOHLGFAH78DA,64.68,6.32,4.22,有,
觀音區,土地,忠富段150地號,1551.02,,特定農業區,農牧用地,1150603,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7740000,4990,,0.0,0,,RPPNMLNJOHLGFBH18DA,0.0,0.0,0.0,無,
桃園區,房地(土地+建物)+車位,桃園市桃園區大有路５４６之１號八樓,15.32,住,,,1150601,土地1建物1車位1,八層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840419,167.09,4,2,2,有,有,11850000,70916,坡道平面,30.84,0,,RPUPMLOJOHLGFAH88DA,97.23,6.1,9.02,有,
中壢區,車位,桃園市中壢區中山路１３２號地下二層,0.24,商,,,1150601,土地1建物1車位2,地下二層,十三層,其他,管理中心,鋼筋混凝土造,0920408,43.75,0,0,0,無,有,1900000,,坡道機械,0.0,0,僅車位交易；,RPVNMLKKOHLGFBH58DA,0.0,0.0,0.0,有,0003
觀音區,土地,草豊段862地號,5.11,住,,,1150603,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,108152,21165,,0.0,0,,RPUPMLKKOHLGFBH68DA,0.0,0.0,0.0,無,0004
大溪區,房地(土地+建物),桃園市大溪區金城路８９號四樓之６,19.0,住,,,1150602,土地1建物1車位0,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070803,84.14,2,1,1,有,有,6000000,71310,,0.0,0,,RPUNMLMKOHLGFCH78DA,55.42,3.85,3.84,有,0005
蘆竹區,房地(土地+建物),桃園市蘆竹區新生路２９０巷２３號二樓,33.45,,一般農業區,甲種建築用地,1150602,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0890105,109.66999999999999,3,2,1,有,無,4800000,43768,,0.0,0,,RPSNMLTJOHLGFEH86EA,75.58,1.17,7.35,無,
蘆竹區,車位,桃園市蘆竹區中正路２５號地下室,0.2,住,,,1150603,土地1建物1車位1,地下一層，地下二層,二十七層,其他,私設停車場,鋼筋混凝土造,0860122,39.99,0,0,0,無,有,1700000,,坡道平面,39.99,1700000,僅車位交易；,RPTPMLKKOHLGFEH88DA,0.0,0.0,0.0,有,0006
