編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUPMLKKOHLGFBH68DA,草豊段,5.11,都市：其他:第一種住宅區,46920,120,持分移轉,08620000
RPWOMLLJOHLGFEH09DA,河底段,16.70,都市：其他:住宅區,10000,14,持分移轉,03660000
RPQNMLMKOHLGFGH78DA,廣南段,35.50,都市：其他:商業區,10000,160,持分移轉,16170000
RPVNMLKKOHLGFBH58DA,石頭段,.24,都市：其他:商業區,10000,2,持分移轉,00350050
RPPNMLNJOHLGFBH18DA,忠富段,1551.02,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01500000
RPUNMLMKOHLGFCH78DA,田心子段下田心子小段,19.00,都市：其他:住宅區,100000,1424,持分移轉,15680000
RPTPMLKKOHLGFEH88DA,南新段,.20,都市：其他:住宅區,1800000,139,持分移轉,07430000
RPPNMLSJOHLGFEH98DA,埔心段埔心小段,9.00,都市：其他:第一種住宅區,3,1,持分移轉,00580002
RPPQMLSJOHLGFBH98DA,復興段,36.06,都市：其他:住宅區,128,4,持分移轉,18190002
RPUNMLPKOHLGFCH09DA,新烏樹林段,20.46,非都市：一般農業區 ; 非都市編定：農牧用地,100000,1709,持分移轉,03090000
RPUNMLPKOHLGFCH09DA,新烏樹林段,23.39,非都市：一般農業區 ; 非都市編定：甲種建築用地,10000,228,持分移轉,03320000
RPPNMLMKOHLGFCH38EA,潛龍段,.53,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1,持分移轉,10790000
RPPNMLMKOHLGFCH38EA,潛龍段,41.96,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,70,持分移轉,10990000
RPUNMLKKOHLGFCH68EA,石門段,19.06,都市：其他:旅館區,100000,261,持分移轉,00220000
RPTNMLKKOHLGFCH58EA,石門段,18.40,都市：其他:旅館區,100000,252,持分移轉,00220000
RPQPMLKKOHLGFHH88DA,迴龍段,4.72,都市：其他:道路用地,16,1,持分移轉,05730000
RPSNMLTJOHLGFEH86EA,新庄子段,33.45,非都市：一般農業區 ; 非都市編定：甲種建築用地,10000,177,持分移轉,07600000
RPXOMLSJOHLGFEH27DA,華興段,11.56,非都市：特定農業區 ; 非都市編定：交通用地,8,1,持分移轉,05310001
RPXOMLSJOHLGFEH27DA,華興段,4.03,非都市：特定農業區 ; 非都市編定：交通用地,8,1,持分移轉,05520001
RPUNMLLKOHLGFAH58EA,中山段,21.08,都市：其他:第二種住宅區,10000,439,持分移轉,01290000
RPWRMLTJOHLGFBH27DA,工業區段二小段,13.90,非都市：工業區 ; 非都市編定：丁種建築用地,10000,180,持分移轉,00360003
RPROMLNJOHLGFBH48DA,自立段,20.91,都市：其他:住宅區,100000,874,持分移轉,11030000
RPROMLMJOHLGFBH38DA,草新段,31.60,都市：其他:第二種住宅區,10000,646,持分移轉,01490000
RPXQMLPKOHLGFFH37DA,瑞祥段,32.49,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,00410000
RPPNMLMKOHLGFFH68EA,大安段,7.92,非都市：一般農業區 ; 非都市編定：甲種建築用地,2700,32,持分移轉,02680000
RPOQMLPJOHLGFBH58DA,三座屋段三座屋小段,19.00,都市：其他:住宅區,5,1,持分移轉,06440078
RPXNMLPKNHLGFCH66DA,和原段,2.29,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,43900,224,持分移轉,20310000
RPXNMLPKNHLGFCH66DA,和原段,6.15,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,60000,1871,持分移轉,20330000
RPXNMLPKNHLGFCH66DA,和原段,6.13,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,60000,1871,持分移轉,20350000
SPXNMLPKNHLGFCH76DA,和原段,.91,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,43900,89,持分移轉,20310000
SPXNMLPKNHLGFCH76DA,和原段,2.43,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,60000,738,持分移轉,20330000
SPXNMLPKNHLGFCH76DA,和原段,2.42,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,60000,738,持分移轉,20350000
RPOOMLOJOHLGFEH58DA,出水段,97.78,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,09300000
RPTNMLPJOHLGFEH09DA,河底段,12.04,都市：其他:住宅區,10000,21,持分移轉,03830000
RPPNMLQJOHLGFEH78DA,錦興段,133.71,都市：其他:商業區,1,1,全筆移轉,03430001
RPUNMLMJOHLGFCH68DA,員林段,141.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,8,1,持分移轉,00750000
RPRNMLOJOHLGFCH58DA,龍源段,1034.61,非都市：山坡地保育區 ; 非都市編定：農牧用地,3,1,持分移轉,07420000
RPRNMLOJOHLGFCH58DA,龍源段,1134.29,非都市：山坡地保育區 ; 非都市編定：農牧用地,3,1,持分移轉,07450000
RPRNMLOJOHLGFCH58DA,龍源段,1721.98,非都市：山坡地保育區 ; 非都市編定：農牧用地,3,1,持分移轉,07500000
RPTOMLKLNHLGFEH78DA,竹圍段拔子林小段,4.28,都市：其他:道路用地,1000,12,持分移轉,00980006
RPQNMLSJOHLGFEH09DA,羊稠段,47.10,都市：其他:住宅區,10000,106,持分移轉,02490000
RPSNMLQLNHLGFGH76DA,吉安段,31.22,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,08050000
RPSNMLQLNHLGFGH76DA,吉安段,12.08,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,08060000
RPSNMLQLNHLGFGH76DA,吉安段,13.87,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,08070000
RPTNMLLKNHLGFFH78DA,中華段,92.73,非都市：一般農業區 ; 非都市編定：農牧用地,5,1,持分移轉,13190006
RPTNMLLKNHLGFFH78DA,中華段,95.95,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉,13190010
RPOOMLQLNHLGFGH09DA,西社段,66.12,都市：其他:商業區,100000,4867,持分移轉,09720000
RPQNMLOJOHLGFFH78DA,高明段,14.51,都市：其他:商業區,100000,167,持分移轉,01460000
RPPNMLRJOHLGFFH98DA,竹園段,166.12,非都市：特定農業區 ; 非都市編定：甲種建築用地,235200,7896,持分移轉,04140000
RPSNMLOJOHLGFFH98DA,白鷺段,22.65,都市：其他:乙種工業區,10,1,持分移轉,01930000
RPTNMLOJOHLGFGH56DA,忠貞段,46.91,都市：其他:住宅區,100,55,持分移轉,06430000
RPTNMLOJOHLGFGH56DA,忠貞段,1.18,都市：其他:道路用地,100,55,持分移轉,06430001
RPSNMLSJOHLGFGH86DA,東陵段,5.79,非都市：一般農業區 ; 非都市編定：交通用地,27,1,持分移轉,03470000
RPPNMLMKOHLGFHH88EA,楓義段,230.87,都市：其他:保護區,44,6,持分移轉,09280000
RPSNMLSJOHLGFGH86DA,東陵段,.07,非都市：一般農業區 ; 非都市編定：交通用地,27,1,持分移轉,03480000
RPSNMLSJOHLGFGH86DA,吉安段,1017.88,非都市：特定農業區 ; 非都市編定：農牧用地,18,1,持分移轉,04750000
RPSNMLSJOHLGFGH86DA,吉安段,444.34,非都市：特定農業區 ; 非都市編定：農牧用地,18,1,持分移轉,04770000
RPSNMLSJOHLGFGH86DA,吉安段,22.41,非都市：特定農業區 ; 非都市編定：農牧用地,18,1,持分移轉,04800000
RPSNMLSJOHLGFGH86DA,吉安段,154.42,非都市：特定農業區 ; 非都市編定：農牧用地,18,1,持分移轉,04810000
RPSNMLSJOHLGFGH86DA,吉安段,374.10,非都市：特定農業區 ; 非都市編定：農牧用地,18,1,持分移轉,04820000
RPSNMLSJOHLGFGH86DA,吉安段,75.69,非都市：特定農業區 ; 非都市編定：農牧用地,18,1,持分移轉,04830000
RPSNMLSJOHLGFGH86DA,吉安段,128.77,非都市：特定農業區 ; 非都市編定：甲種建築用地,18,1,持分移轉,04840000
RPSNMLSJOHLGFGH86DA,吉安段,119.09,非都市：特定農業區 ; 非都市編定：水利用地,18,1,持分移轉,04850000
RPSNMLSJOHLGFGH86DA,吉安段,16.83,非都市：特定農業區 ; 非都市編定：農牧用地,18,1,持分移轉,04860000
RPSNMLSJOHLGFGH86DA,吉安段,21.84,非都市：特定農業區 ; 非都市編定：農牧用地,18,1,持分移轉,05910000
