編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPVNMLRKNHLGFAH09CB,坡道平面,2280000,34.00,地下三樓
RPRNMLSKNHLGFDH09CB,坡道平面,1800000,19.80,一樓
RPSNMLRKNHLGFHH96DB,坡道平面,1700000,24.75,地下二樓
RPSNMLRKNHLGFHH96DB,坡道平面,1650000,24.75,地下二樓
RPPNMLSKNHLGFDH88CB,一樓平面,0,,一樓
RPRNMLOKNHLGFEH78CB,一樓平面,0,,一樓
RPPNMLSKNHLGFCH78CB,坡道平面,1600000,21.99,地下二樓
RPSNMLNKNHLGFAH38CB,坡道平面,2300000,28.83,地下二樓
RPPNMLOKNHLGFAH18CB,坡道平面,2050000,31.68,地下二樓
RPPNMLOKNHLGFAH18CB,坡道平面,2250000,31.68,地下二樓
RPPNMLPKNHLGFHH98CB,坡道平面,6520000,19.85,地下三樓
RPTNMLNKNHLGFAH48CB,坡道平面,2100000,28.83,地下四樓
RPPNMLPKNHLGFHH98CB,坡道平面,0,19.85,地下三樓
RPPNMLQKNHLGFDH68CB,坡道平面,1600000,34.41,地下三樓
RPPNMLPKNHLGFHH98CB,坡道平面,0,19.85,地下三樓
RPPNMLPKNHLGFHH98CB,坡道平面,0,19.85,地下三樓
RPRNMLRKNHLGFHH86DB,坡道平面,1700000,24.75,地下四樓
RPPNMLRKNHLGFAH48CB,坡道平面,1900000,29.06,地下三樓
RPPNMLRKNHLGFAH48CB,坡道平面,1850000,29.06,地下三樓
RPQNMLRKNHLGFHH76DB,坡道平面,1750000,24.75,地下三樓
RPUNMLNKNHLGFAH58CB,坡道平面,2100000,28.83,地下四樓
RPRNMLNKNHLGFAH28CB,坡道平面,2100000,27.82,地下三樓
RPPNMLKLNHLGFAH87CB,坡道平面,1950000,29.06,地下二樓
RPQNMLSKNHLGFCH88CB,坡道平面,1600000,21.99,地下二樓
RPPNMLKLNHLGFCH08CB,坡道平面,1600000,21.99,地下二樓
RPOOMLKLNHLGFAH87CB,坡道平面,2450000,27.51,地下二樓
RPSNMLSKNHLGFEH66CB,坡道平面,1550000,29.92,地下二樓
RPXNMLKLNHLGFAH68CB,坡道平面,2450000,27.51,地下二樓
RPQNMLKLNHLGFHH68CB,坡道平面,1590000,19.85,地下三樓
RPRNMLTKNHLGFGH86CB,坡道平面,2200000,29.06,地下一樓
RPRNMLTKNHLGFGH86CB,坡道平面,2200000,29.06,地下一樓
RPQNMLTKNHLGFGH76CB,坡道平面,2200000,29.06,地下一樓
RPPNMLKLNHLGFHH58CB,坡道平面,3300000,19.85,地下三樓
RPQNMLTKNHLGFGH76CB,坡道平面,2200000,29.06,地下一樓
RPPNMLKLNHLGFHH58CB,坡道平面,0,19.85,地下三樓
RPTNMLLLNHLGFDH68CB,坡道平面,1800000,28.37,地下四樓
RPSNMLLLNHLGFDH58CB,坡道平面,1900000,28.37,地下二樓
