編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPOPMLMKNHLGFAH18CC,大林段,29.67,都市：住,,,,06290000
RPRNMLMKNHLGFEH68CC,長興段,123.99,都市：工,,,,05740000
RPQNMLQKNHLGFAH58CC,富國段,71.14,都市：住,,,,02020001
RPQNMLQKNHLGFAH58CC,富國段,140.61,都市：住,,,,02020002
RPPNMLNKNHLGFBH38DC,中工段,2550.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,02600000
RPVNMLSKNHLGFHH37CC,精忠段,21.37,都市：住,,,,13840000
RPPNMLSKNHLGFCH98DC,聖亭段,16.94,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,03060000
RPRNMLTKNHLGFEH76CC,新庄子段,720.00,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,14350000
RPOPMLTKNHLGFDH56CC,富岡段,43.80,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,16970000
RPPNMLTKNHLGFEH66DC,錦興段,26.32,都市：住,,,,04180000
RPPQMLKLNHLGFBH38CC,中壢埔頂段,5.58,都市：住,,,,10710000
RPQOMLKLNHLGFCH38CC,民豐段,77.12,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,01900000
RPSOMLKLNHLGFFH88CC,大福段,157.41,都市：住,,,,01960000
RPPNMLTKNHLGFFH76DC,豐田段,141.61,都市：工,,,,02980000
RPPNMLLLNHLGFEH58DC,南新段,27.88,都市：住,,,,01960000
RPRSMLMLNHLGFBH98CC,青溪段,25.00,都市：住,,,,05670000
RPXQMLQLNHLGFBH17CC,前寮段,.56,都市：其他:道路用地,,,,14570001
RPXQMLQLNHLGFBH17CC,前寮段,32.31,都市：住,,,,14570000
RPWQMLQLNHLGFBH07CC,前寮段,.56,都市：其他:道路用地,,,,14570001
RPWQMLQLNHLGFBH07CC,前寮段,32.31,都市：住,,,,14570000
RPPPMLQLNHLGFEH56CC,後壁段,1044.05,非都市：一般農業區 ; 非都市編定：農牧用地,,,,16500000
RPRNMLSLNHLGFBH56DC,後興段,38.71,都市：住,,,,05000000
RPRNMLSLNHLGFBH56DC,後興段,.58,都市：住,,,,05000006
RPUNMLTLNHLGFCH96CC,永昌段,772.13,非都市：一般農業區 ; 非都市編定：農牧用地,,,,06200005
RPUNMLTLNHLGFCH96CC,永昌段,626.64,非都市：一般農業區 ; 非都市編定：農牧用地,,,,06200007
RPUNMLTLNHLGFCH96CC,永昌段,656.04,非都市：一般農業區 ; 非都市編定：農牧用地,,,,06200008
RPUNMLTLNHLGFCH96CC,永昌段,676.00,非都市：一般農業區 ; 非都市編定：農牧用地,,,,06200009
RPUNMLTLNHLGFCH96CC,永昌段,622.11,非都市：一般農業區 ; 非都市編定：農牧用地,,,,06200010
RPPNMLOJOHLGFEH78DC,橫山段湳子小段,200.00,都市：農,,,,00180008
RPPNMLOJOHLGFEH78DC,橫山段湳子小段,30.00,都市：農,,,,00180019
RPPNMLOJOHLGFEH78DC,橫山段湳子小段,21.00,都市：農,,,,00180024
RPPNMLOJOHLGFEH78DC,橫山段湳子小段,9.00,都市：農,,,,00180027
RPPNMLOJOHLGFEH78DC,橫山段湳子小段,83.00,都市：農,,,,04410001
RPPNMLOJOHLGFEH78DC,橫山段湳子小段,1556.00,都市：農,,,,04420000
RPPNMLOJOHLGFEH78DC,橫山段湳子小段,120.00,都市：農,,,,04430000
RPPNMLOJOHLGFEH78DC,橫山段湳子小段,1350.00,都市：農,,,,04440000
RPXOMLPJOHLGFAH66CC,寶山段,24.99,都市：住,,,,09810000
RPQOMLSJOHLGFAH88CC,雲林段,22.63,都市：商,,,,01660000
RPTUMLSJOHLGFBH27CC,忠孝段,2021.79,非都市：一般農業區 ; 非都市編定：交通用地,,,,04900000
RPTUMLSJOHLGFBH27CC,忠孝段,850.60,非都市：一般農業區 ; 非都市編定：交通用地,,,,04950000
RPWOMLSJOHLGFCH07CC,金龍段,4592.62,非都市：一般農業區 ; 非都市編定：丁種建築用地,,,,16160000
RPPNMLSKOHLGFEH66DC,南新段,45.64,都市：住,,,,03610000
RPQNMLSKOHLGFEH76DC,南新段,72.18,都市：住,,,,03610000
