鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
嘉義市,土地,下路頭段427-145地號,28.0,都市：其他:道路用地,,,1150601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,242988,8678,,0.0,0,包含公共設施保留地用地；,RPTOMLSJOHLGFAI56DA,0.0,0.0,0.0,無,
嘉義市,土地,下路頭段408-106地號,62.0,住,,,1150602,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2500000,40323,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPSOMLPKOHLGFAI88DA,0.0,0.0,0.0,無,
嘉義市,房地(土地+建物),嘉義市嘉義市南興路２６１號,26.38,住,,,1150512,土地1建物1車位0,一層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0700327,99.75,3,2,2,有,有,5000000,50125,,0.0,0,,RPUNMLPJOHLGFAI88DA,90.97,0.0,0.0,有,
嘉義市,房地(土地+建物),嘉義市嘉義市蘭井街４６５號８樓１,6.17,商,,,1150501,土地1建物1車位0,八層,十五層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,0820107,70.92,1,1,1,有,有,5160000,72758,,0.0,0,,RPOOMLSJOHLGFAI68DA,31.94,25.93,0.0,有,01
嘉義市,土地,埤子頭段299-37地號,138.0,住,,,1150505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,12022560,87120,,0.0,0,出賣人依土地法第三十四條之一第一項、第二項、第三項處分共有物。買受人依土地法第三十四條之一第四項以同一價格共同優先承購。,RPROMLSJOHLGFAI98DA,0.0,0.0,0.0,無,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市德明路１７０號６樓２,12.08,商,,,1150525,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830530,146.31,3,2,2,有,有,9100000,62197,坡道機械,0.0,0,,RPUOMLTJOHLGFAI76DA,106.52,0.0,10.48,有,02
嘉義市,房地(土地+建物),嘉義市嘉義市小雅路１８３號１１樓１１,5.48,住,,,1150525,土地1建物1車位0,十一層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820609,46.31999999999999,1,0,1,有,有,1500000,32383,,0.0,0,,RPQNMLSJOHLGFAI88EA,28.98,0.0,4.57,有,
嘉義市,房地(土地+建物),嘉義市嘉義市徐州四街１７號,114.0,住,,,1150525,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0740509,136.03,4,3,3,有,無,12500000,91891,,0.0,0,,RPPNMLTJOHLGFAI88EA,125.77,10.26,0.0,無,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市志昇街３７號,37.78,都市：其他:住宅區,,,1150509,土地3建物1車位1,一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931103,183.64,3,2,2,有,有,10000000,54454,坡道平面,0.0,0,,RPQNMLNKNHLGFAI28DA,96.19,0.0,12.07,有,03
嘉義市,房地(土地+建物),嘉義市嘉義市長安街１巷１１號,80.0,住,,,1150526,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0760115,112.57,4,2,2,有,無,4000000,35533,,0.0,0,其他增建；包含公共設施保留地用地；,RPQOMLKKOHLGFAI18DA,105.86,6.71,0.0,無,
嘉義市,土地,竹村段貨轉小段137地號,266.85,都市：其他:貨物轉運中心區,,,1150513,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,12100000,45344,,0.0,0,,RPTOMLKKOHLGFAI48DA,0.0,0.0,0.0,無,
嘉義市,房地(土地+建物),嘉義市嘉義市博愛路二段５２８巷３６號,70.0,工,,,1150518,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0610120,93.13,4,2,4,有,無,4550000,48856,,0.0,0,陽台外推；頂樓加蓋；,RPPNMLKKOHLGFAI08EA,93.13,0.0,0.0,無,04
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市德明路７３號１１樓２,14.54,住,,,1150503,土地1建物1車位1,十一層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840816,167.84,4,2,2,有,有,9500000,56602,坡道平面,0.0,0,,RPPNMLSLNHLGFAI78DA,98.76,2.39,12.8,有,05
嘉義市,房地(土地+建物),嘉義市嘉義市小雅路１９３號十二樓４,11.55,住,,,1150513,土地1建物1車位0,十二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820609,96.36,2,2,1,有,有,4100000,42549,,0.0,0,,RPRNMLKKOHLGFAI18DA,62.47,0.0,5.87,有,
嘉義市,房地(土地+建物),嘉義市嘉義市嘉北街１２巷４５號三樓１,20.59,住,,,1150520,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0791015,119.21000000000001,3,2,2,有,有,4580000,38420,,0.0,0,陽台外推；其他增建；,RPROMLKKOHLGFAI28DA,85.87,0.0,17.52,有,
嘉義市,房地(土地+建物),嘉義市嘉義市民權路３８７號１１樓１４,3.49,商,,,1150513,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860317,47.96,1,1,1,有,有,3000000,62552,,0.0,0,含裝潢費；,RPPNMLLKOHLGFAI08DA,23.41,0.0,2.04,有,06
嘉義市,土地,後庄段76-1地號,487.0,農,,,1150526,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7200000,14784,,0.0,0,未登記建物；,RPWOMLLKOHLGFAI88DA,0.0,0.0,0.0,無,
嘉義市,房地(土地+建物),嘉義市嘉義市彌陀路２３８巷５９弄８號三樓２,30.08,住,,,1150514,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790219,139.04,4,2,2,有,有,6800000,48907,,0.0,0,,RPVNMLSKNHLGFAI66DA,113.23,0.0,0.0,有,
嘉義市,土地,後庄段853-1地號,23.33,住,,,1150517,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,700000,30004,,0.0,0,853地號既成巷道出售使用戶,RPTNMLLKOHLGFAI48DA,0.0,0.0,0.0,無,07
嘉義市,土地,後庄段853-2地號,40.33,住,,,1150517,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,850000,21076,,0.0,0,853地號既成巷道出售使用人,RPUNMLLKOHLGFAI58DA,0.0,0.0,0.0,無,07
嘉義市,土地,後庄段853地號,6.33,住,,,1150517,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,50000,7899,,0.0,0,既成巷道出售使用人,RPVNMLLKOHLGFAI68DA,0.0,0.0,0.0,無,07
