編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLNKNHLGFAI28DA,坡道平面,0,,地下二樓
RPUOMLTJOHLGFAI76DA,坡道機械,0,,地下一樓
RPWNMLQKOHLGFAI66DA,坡道平面,0,32.76,地下二樓
RPVOMLTJOHLGFAI86DA,升降機械,0,,地下一樓
RPTPMLLKOHLGFAI68DA,坡道平面,0,,地下二樓
RPRNMLTKNHLGFAI98DA,坡道平面,1200000,22.05,地下一樓
RPRNMLTKNHLGFAI98DA,坡道平面,1200000,22.05,二樓含以上
RPSPMLQJNHLGFAI88DA,一樓平面,1600000,22.05,一樓
RPSPMLQJNHLGFAI88DA,一樓平面,1600000,22.05,一樓
RPQNMLLKOHLGFAI28EA,坡道平面,1000000,30.51,地下一樓
RPPNMLMKOHLGFAI28EA,坡道平面,1250000,32.00,地下一樓
RPQOMLTKNHLGFAI98DA,坡道平面,1200000,26.94,二樓含以上
RPQNMLTJNHLGFAI78DA,坡道平面,1200000,26.94,二樓含以上
RPQNMLMKOHLGFAI38EA,坡道平面,1200000,32.00,地下一樓
RPQOMLLKNHLGFAI18DA,坡道平面,1000000,26.94,地下一樓
RPPNMLSLNHLGFAI78DA,坡道平面,0,,地下二樓
RPWNMLRJNHLGFAI56DA,一樓平面,1100000,26.94,一樓
RPWNMLRJNHLGFAI56DA,一樓平面,1100000,26.94,一樓
RPQNMLQLNHLGFAI68DA,坡道平面,0,,地下一樓
RPPOMLTKNHLGFAI88DA,坡道平面,1000000,26.94,二樓含以上
RPRNMLMLNHLGFAI38DA,坡道平面,1200000,22.05,地下一樓
RPPOMLKLNHLGFAI08DA,一樓平面,1000000,26.94,一樓
RPTOMLPJNHLGFAI78DA,坡道平面,1000000,22.05,地下一樓
RPTOMLPJNHLGFAI78DA,坡道平面,1000000,22.05,地下一樓
RPOOMLKLNHLGFAI97DA,坡道平面,1000000,26.94,二樓含以上
RPVOMLRJNHLGFAI56DA,坡道平面,1000000,26.94,地下一樓
RPUNMLMLNHLGFAI68DA,一樓平面,1000000,22.05,一樓
RPOOMLOLNHLGFAI38DA,一樓平面,1300000,26.94,一樓
RPVNMLQJNHLGFAI98DA,坡道平面,1000000,26.94,二樓含以上
RPROMLQJNHLGFAI68DA,坡道平面,1000000,22.05,二樓含以上
RPXNMLQJNHLGFAI56DA,坡道平面,1000000,22.05,地下一樓
RPWNMLTJNHLGFAI76DA,坡道平面,1000000,22.05,二樓含以上
RPXNMLTKNHLGFAI96DA,坡道平面,1000000,26.94,地下一樓
RPSNMLPLNHLGFAI78DA,一樓平面,1100000,26.94,一樓
RPVNMLMLNHLGFAI78DA,一樓平面,1000000,22.05,一樓
RPUNMLPLNHLGFAI98DA,坡道平面,1200000,26.94,二樓含以上
RPTNMLPLNHLGFAI88DA,坡道平面,1000000,22.05,地下一樓
RPTNMLPLNHLGFAI88DA,坡道平面,1500000,22.05,地下一樓
RPSNMLRJNHLGFAI78DA,坡道平面,1000000,26.94,二樓含以上
RPTNMLTKNHLGFAI56DA,坡道平面,0,22.05,地下一樓
RPTNMLTKNHLGFAI56DA,坡道平面,0,22.05,地下一樓
RPWPMLQJNHLGFAI66DA,坡道平面,1000000,22.05,地下一樓
