鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康五街與湖美三路口,37.92,住,,,1150516,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,115.82,3,1,2,有,無,11800000,113100,一樓平面,24.75,1500000,含1約定專用露臺,RPPNMLSKNHLGFAI68CB,尊丞馥寓二期,5A號,
嘉義市,房地(土地+建物),嘉義市嘉義市竹子腳,164.96,住,,,1150516,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,295.45,4,3,4,有,無,28180000,95380,,0.0,0,申報人梠藝建設有限公司及華城開發建設有限公司,RPRNMLKLNHLGFAI18CB,竹村樂,B6棟B6號,
嘉義市,房地(土地+建物),嘉義市嘉義市竹子腳,176.86,住,,,1150511,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,293.95,5,3,5,有,無,28180000,95867,,0.0,0,申報人梠藝建設有限公司及華城開發建設有限公司,RPSNMLKLNHLGFAI28CB,竹村樂,B2棟B2號,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康八街與湖美六街交叉口,21.61,商,,,1150511,土地2建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.05,3,2,2,有,無,11850000,91316,坡道平面,30.16,1450000,,RPPNMLLLNHLGFAI08CB,勝旺·有嘉,B5棟6號,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康八街與湖美六街交叉口,15.19,商,,,1150511,土地2建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.2,2,2,2,有,無,9080000,95327,坡道平面,30.16,1450000,,RPQNMLLLNHLGFAI18CB,勝旺·有嘉,B6棟12號,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市東區北門街,27.74,住,,,1150518,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,90.76,2,1,1,有,無,9600000,108455,升降機械,9.62,800000,原契約書土地移轉面積：27.76m2，因系統四捨五入，固有0.02差額。親友、員工、共有人或其他特殊關係間之交易；,RPRNMLQLNHLGFAI78CB,北門驛-風尚麗園11期,3棟A號,
嘉義市,房地(土地+建物),嘉義市嘉義市東區北門街,22.7,住,,,1150511,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,66.39,2,1,1,有,無,8200000,123513,,0.0,0,原契約書土地面積22.71平方公尺，因系統自動四捨五入，故有差額0.01平方公尺,RPTNMLQLNHLGFAI98CB,北門驛-風尚麗園11期,5棟C號,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康八街與湖美六街交叉口,15.19,商,,,1150518,土地2建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.2,2,2,2,有,無,9050000,94953,坡道平面,30.16,1450000,,RPPNMLLMNHLGFAI18CB,勝旺·有嘉,B6棟7號,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康八街與湖美六街交叉口,21.61,商,,,1150518,土地2建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.05,3,2,2,有,無,11850000,91316,坡道平面,30.16,1450000,,RPQNMLLMNHLGFAI28CB,勝旺·有嘉,B5棟14號,
嘉義市,房地(土地+建物),嘉義市嘉義市健康一街,114.98,其他,,,1150519,土地3建物1車位0,全部,2,店面(店鋪),住商用,鋼筋混凝土造,,142.8,4,2,4,有,無,16150000,113095,,0.0,0,,RPPNMLSJOHLGFAI68CB,天晴21,A棟11號,
