編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLKLNHLGFAI18CB,竹村段,164.96,都市：住,1,1,全筆移轉,05390019
RPQNMLLMNHLGFAI28CB,湖子內段新民小段,2.11,都市：商,10000,91,持分移轉,02280000
RPQNMLLMNHLGFAI28CB,湖子內段新民小段,19.50,都市：商,10000,91,持分移轉,02290000
RPRNMLQLNHLGFAI78CB,檜段三小段,27.74,都市：住,10000,545,持分移轉,00380002
RPPNMLLLNHLGFAI08CB,湖子內段新民小段,2.11,都市：商,10000,91,持分移轉,02280000
RPPNMLLLNHLGFAI08CB,湖子內段新民小段,19.50,都市：商,10000,91,持分移轉,02290000
RPPNMLSKNHLGFAI68CB,湖子內段湖美小段,37.92,都市：住,10000,544,持分移轉,03830000
RPPNMLLMNHLGFAI18CB,湖子內段新民小段,1.48,都市：商,10000,64,持分移轉,02280000
RPPNMLLMNHLGFAI18CB,湖子內段新民小段,13.71,都市：商,10000,64,持分移轉,02290000
RPSNMLKLNHLGFAI28CB,竹村段,176.86,都市：住,1,1,全筆移轉,05390016
RPQNMLLLNHLGFAI18CB,湖子內段新民小段,1.48,都市：商,10000,64,持分移轉,02280000
RPQNMLLLNHLGFAI18CB,湖子內段新民小段,13.71,都市：商,10000,64,持分移轉,02290000
RPTNMLQLNHLGFAI98CB,檜段三小段,22.70,都市：住,10000,446,持分移轉,00380002
RPPNMLSJOHLGFAI68CB,湖子內段湖美小段,93.50,都市：其他:第三種休閒專用區,1,1,全筆移轉,05250008
RPPNMLSJOHLGFAI68CB,湖子內段湖美小段,21.40,都市：其他:第三種休閒專用區,18,1,持分移轉,05250003
RPPNMLSJOHLGFAI68CB,湖子內段湖美小段,.08,都市：其他:第三種休閒專用區,21,1,持分移轉,05250004
