鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
嘉義市,租賃房屋,嘉義市嘉義市東區宣信街９８巷６１號,0.0,,,,1150512,土地0建物1車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0701223,99.02,3,2,2,有,無,無,15000,151,,0.0,0,,RPUNMLMKNHLGFAI68CC,整棟(戶)出租,無,1150601~1160531,無,,
嘉義市,租賃房屋,嘉義市嘉義市台斗街５７-２號６樓之３,0.0,,,,1150511,土地0建物1車位0,六層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880717,119.50999999999999,3,1,2,有,有,有,13600,114,,0.0,0,管理費1400元由出租人負擔。,RPSNMLOKNHLGFAI68CC,整棟(戶)出租,有,1150518~1160517,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅包租轉租
嘉義市,租賃房屋,嘉義市嘉義市興美路２５０號,0.0,,,,1150513,土地0建物1車位0,一層,4,店面(店鋪),店舖、停車空間、樓梯間、住宅、梯間,鋼骨鋼筋混凝土構造,1080911,65.0,0,0,0,無,無,無,32000,492,,0.0,0,租賃建物現況格局：無隔間。衛浴一間多人共同承租2；,RPTNMLOKNHLGFAI78CC,,無,1150601~1160531,無,,
嘉義市,租賃房屋,嘉義市嘉義市世賢路四段３５０巷２７弄４７號,0.0,,,,1150512,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0741111,120.82,4,1,2,有,無,有,19500,161,,0.0,0,續租案件；,RPVNMLOKNHLGFAI98CC,整棟(戶)出租,無,1150612~1160105,無,熱水器,社會住宅代管
嘉義市,租賃房屋,嘉義市嘉義市力行街１７號１２樓８,0.0,,,,1150511,土地0建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831128,41.34,1,0,1,有,有,有,7500,181,,0.0,0,租金總額含網路費；續租案件；,RPWNMLOKNHLGFAI09CC,獨立套房,有,1150530~1160509,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路,社會住宅代管
嘉義市,租賃房屋,嘉義市嘉義市力行街１７號６樓３,0.0,,,,1150511,土地0建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831128,47.14,1,0,1,有,有,有,8000,170,,0.0,0,租金總額含網路費；續租案件；,RPOOMLOKNHLGFAI38CC,獨立套房,有,1150611~1160610,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路,社會住宅代管
嘉義市,租賃房屋,嘉義市嘉義市力行街１７號８樓３,0.0,,,,1150512,土地0建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831128,47.14,1,0,1,有,有,有,8000,170,,0.0,0,租金總額含網路費；續租案件；,RPPOMLOKNHLGFAI48CC,獨立套房,有,1150530~1160529,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路,社會住宅代管
嘉義市,租賃房屋,嘉義市嘉義市小雅路２０１號５樓１１,0.0,,,,1150512,土地0建物1車位0,五層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820609,48.12,1,0,1,有,有,有,7500,156,,0.0,0,租金總額含網路費；續租案件；,RPQOMLOKNHLGFAI58CC,獨立套房,有,1150608~1160607,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、網路,社會住宅代管
嘉義市,租賃房屋,嘉義市嘉義市德安路２９號１１樓２,0.0,,,,1150511,土地0建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0830701,188.57,3,1,2,有,有,有,15000,80,,0.0,0,續租案件；,RPSOMLOKNHLGFAI78CC,整棟(戶)出租,有,1150610~1160609,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
