編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPXNMLPKNHLGFAI66CC,38,128.60,住家用,加強磚造,77年5月23日,二層,,
RPUNMLMKNHLGFAI68CC,44,99.02,住商用,鋼筋混凝土加強磚造,70年12月23日,二層,,
RPWNMLOKNHLGFAI09CC,31,30.60,住家用,鋼筋混凝土造,83年11月28日,十二層,,
RPWNMLOKNHLGFAI09CC,31,10.74,共有部份,鋼筋混凝土造,83年11月28日,十二層,,
RPSNMLOKNHLGFAI68CC,27,94.13,住家用,鋼筋混凝土造,88年7月17日,十一層,,
RPQOMLOKNHLGFAI58CC,33,34.87,住家用,鋼筋混凝土造,82年6月9日,十六層,,
RPQOMLOKNHLGFAI58CC,33,5.74,共有部份,鋼筋混凝土造,82年6月9日,十六層,,
RPSNMLOKNHLGFAI68CC,27,12.56,共有部份,鋼筋混凝土造,88年7月17日,十一層,,
RPWNMLPKNHLGFAI56CC,31,34.53,住家用,鋼筋混凝土造,83年11月28日,十二層,,
RPQOMLOKNHLGFAI58CC,33,7.51,共有部份,鋼筋混凝土造,82年6月9日,十六層,,
RPSNMLOKNHLGFAI68CC,27,12.82,共有部份,鋼筋混凝土造,88年7月17日,十二層,,
RPVOMLOKNHLGFAI09CC,35,57.76,住家用,鋼筋混凝土造,80年7月26日,六層,,
RPWNMLPKNHLGFAI56CC,31,12.61,共有部份,鋼筋混凝土造,83年11月28日,十二層,,
RPVOMLOKNHLGFAI09CC,35,11.97,住家用,鋼筋混凝土造,80年7月26日,六層,,
RPPOMLPKNHLGFAI58CC,30,16.96,商業用,鋼筋混凝土造,85年3月1日,十一層,,
RPPOMLPKNHLGFAI58CC,30,11.78,共有部份,鋼筋混凝土造,85年3月1日,十一層,,
RPPOMLPKNHLGFAI58CC,30,1.55,共有部份,鋼筋混凝土造,85年3月1日,十一層,,
RPUNMLPKNHLGFAI98CC,36,15.00,住家用,鋼筋混凝土造,79年10月15日,七層,,
RPTNMLOKNHLGFAI78CC,7,65.00,店舖、停車空間、樓梯間、住宅、梯間,鋼骨鋼筋混凝土構造,108年9月11日,四層,,
RPSNMLQKNHLGFAI88CC,31,33.06,住商用,鋼筋混凝土造,84年1月23日,五層,,
RPWOMLOKNHLGFAI56CC,33,22.23,住家用,鋼筋混凝土造,82年10月12日,七層,,
RPWOMLOKNHLGFAI56CC,33,9.75,共有部份,鋼筋混凝土造,82年10月12日,七層,,
RPXOMLOKNHLGFAI66CC,27,120.51,住家用,鋼筋混凝土造,88年4月21日,十四層,,
RPVNMLOKNHLGFAI98CC,41,120.82,住家用,加強磚造,74年11月11日,二層,,
RPSOMLOKNHLGFAI78CC,32,147.19,住商用,鋼筋混凝土造,83年7月1日,十四層,,
RPXOMLOKNHLGFAI66CC,27,46.48,共有部份,鋼筋混凝土造,88年4月21日,十四層,,
RPSOMLOKNHLGFAI78CC,32,23.61,共有部份,鋼筋混凝土造,83年7月1日,十四層,,
RPSOMLOKNHLGFAI78CC,32,17.77,共有部份,鋼筋混凝土造,83年7月1日,十四層,,
RPOOMLOKNHLGFAI38CC,31,34.53,住家用,鋼筋混凝土造,83年11月28日,十二層,,
RPOOMLOKNHLGFAI38CC,31,12.61,共有部份,鋼筋混凝土造,83年11月28日,十二層,,
RPPNMLPKNHLGFAI48CC,35,79.71,住家用,鋼筋混凝土造,80年11月2日,八層,,
RPPNMLPKNHLGFAI48CC,35,21.29,共有部份,鋼筋混凝土造,80年11月2日,八層,,
RPOPMLOKNHLGFAI48CC,29,21.63,住家用,鋼筋混凝土造,86年5月16日,七層,,
RPOPMLOKNHLGFAI48CC,29,4.66,共有部份,鋼筋混凝土造,86年5月16日,七層,,
RPOPMLOKNHLGFAI48CC,29,6.32,共有部份,鋼筋混凝土造,86年5月16日,七層,,
RPPOMLOKNHLGFAI48CC,31,34.53,住家用,鋼筋混凝土造,83年11月28日,十二層,,
RPPOMLOKNHLGFAI48CC,31,12.61,共有部份,鋼筋混凝土造,83年11月28日,十二層,,
RPRNMLPKNHLGFAI68CC,41,87.70,住家用,鋼筋混凝土造,74年9月19日,五層,,
RPRNMLPKNHLGFAI68CC,41,6.40,共有部份,鋼筋混凝土造,74年9月19日,五層,,
RPRNMLPKNHLGFAI68CC,41,8.20,共有部份,鋼筋混凝土造,74年9月19日,五層,,
RPRNMLTKNHLGFAI09CC,58,46.33,住商用,木造,57年5月1日,二層,,
RPPNMLSKNHLGFAI78CC,33,142.90,住家用,鋼筋混凝土造,82年2月17日,七層,,
RPPNMLSKNHLGFAI78CC,33,19.81,共有部份,鋼筋混凝土造,82年2月17日,七層,,
RPPNMLSKNHLGFAI78CC,33,11.97,共有部份,鋼筋混凝土造,82年2月17日,七層,,
RPRNMLSKNHLGFAI98CC,38,232.00,住商用,鋼造,77年10月15日,二層,,
RPVNMLTKNHLGFAI86CC,15,15.00,住宅、梯間,鋼筋混凝土構造,100年7月29日,三層,,
RPUNMLKLNHLGFAI58CC,,62.38,集合住宅,鋼筋混凝土造,114年12月2日,十四層,,
RPUNMLKLNHLGFAI58CC,,31.67,本共有部分之項目有停車空間、梯間、機房、台電配電室、防空避難室兼停車空間、蓄水池、管委會空間、門廊、昇降機機房、水箱等１０項,鋼筋混凝土造,114年12月2日,十四層,,
RPVNMLKLNHLGFAI68CC,5,61.80,集合住宅,鋼筋混凝土構造,110年4月20日,十層,,
RPVNMLKLNHLGFAI68CC,5,16.70,本共有部分之項目有門廊、集合住宅、水箱、防空避難室兼停車空間、停車空間、電梯機械室及梯間等７項。,鋼筋混凝土構造,110年4月20日,十層,,
RPVNMLKLNHLGFAI68CC,5,39.20,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、集合住宅及門廊等５項。,鋼筋混凝土構造,110年4月20日,十層,,
RPPNMLLLNHLGFAI18CC,8,9.62,集合住宅,鋼筋混凝土構造,107年8月2日,五層,,
RPPNMLLLNHLGFAI18CC,8,3.31,本共有部分之項目有機械室、樓梯間及水箱等３項,鋼筋混凝土構造,107年8月2日,五層,,
RPQNMLKLNHLGFAI18CC,18,8.36,辦公室,鋼筋混凝土造,97年3月3日,四層,,
RPQNMLKLNHLGFAI18CC,18,5.66,共有部份,鋼筋混凝土造,97年3月3日,四層,,
RPPNMLOLNHLGFAI48CC,30,23.47,住家用,鋼筋混凝土造,85年6月18日,九層,,
RPQNMLPLNHLGFAI68CC,31,87.96,住家用,鋼筋混凝土造,83年12月23日,九層,,
RPPNMLOLNHLGFAI48CC,30,9.17,共有部份,鋼筋混凝土造,85年6月18日,九層,,
RPQNMLPLNHLGFAI68CC,31,27.42,共有部份,鋼筋混凝土造,83年12月23日,九層,,
RPQNMLPLNHLGFAI68CC,31,19.62,共有部份,鋼筋混凝土造,83年12月23日,九層,,
RPSNMLTKNHLGFAI56CC,31,198.53,住商用,鋼筋混凝土造,84年1月25日,四層,,
RPWOMLMJOHLGFAI98CC,32,337.83,住商用,鋼筋混凝土造,83年5月12日,五層,,
RPRNMLOLNHLGFAI68CC,32,280.35,住商用,鋼筋混凝土造,83年8月24日,五層,,
RPSNMLTLNHLGFAI66CC,34,105.24,住家用,鋼筋混凝土造,81年5月8日,十二層,,
RPQNMLOLNHLGFAI58CC,53,73.08,住家用,木造,62年3月20日,二層,,
RPSNMLTLNHLGFAI66CC,34,16.41,共有部份,鋼筋混凝土造,81年5月8日,十二層,,
RPPOMLRLNHLGFAI88CC,32,101.58,住家用,鋼筋混凝土造,82年12月7日,七層,,
RPOOMLMLNHLGFAI28CC,33,90.92,住家用,鋼筋混凝土造,82年10月18日,十四層,,
RPPOMLRLNHLGFAI88CC,32,43.07,共有部份,鋼筋混凝土造,82年12月7日,七層,,
RPOOMLMLNHLGFAI28CC,33,27.96,共有部份,鋼筋混凝土造,82年10月18日,十四層,,
RPQOMLRLNHLGFAI98CC,59,57.79,住家用,木造,56年11月7日,一層,,
RPPNMLSLNHLGFAI88CC,45,144.77,住商用,鋼筋混凝土加強磚造,70年8月5日,三層,,
RPSNMLNJOHLGFAI58CC,31,33.06,住商用,鋼筋混凝土造,84年1月23日,五層,,
RPXNMLOJOHLGFAI56CC,43,111.37,住商用,鋼筋混凝土加強磚造,71年12月11日,三層,,
RPUNMLSJOHLGFAI66CC,31,32.73,住家用,鋼筋混凝土造,84年5月19日,十五層,,
RPUNMLSJOHLGFAI66CC,31,11.70,共有部份,鋼筋混凝土造,84年5月19日,十五層,,
RPRNMLSJOHLGFAI98CC,52,78.66,住家用,鋼筋混凝土加強磚造,63年5月6日,二層,,
RPPNMLSJOHLGFAI78CC,52,80.53,廠房、辦公廳、倉庫、宿舍,鋼筋混凝土加強磚造,63年7月25日,二層,,
RPRNMLQJOHLGFAI78CC,28,62.35,住家用,鋼筋混凝土造,87年3月19日,二十二層,,
RPRNMLQJOHLGFAI78CC,28,12.16,共有部份,鋼筋混凝土造,87年3月19日,二十二層,,
RPRNMLQJOHLGFAI78CC,28,12.92,共有部份,鋼筋混凝土造,87年3月19日,二十二層,,
RPSNMLSJOHLGFAI09CC,58,41.07,住家用,木造,57年3月10日,一層,,
RPPNMLQJOHLGFAI58CC,28,86.26,住家用,鋼筋混凝土造,87年3月19日,二十二層,,
RPPNMLQJOHLGFAI58CC,28,15.59,共有部份,鋼筋混凝土造,87年3月19日,二十二層,,
RPQNMLQJOHLGFAI68CC,28,59.97,住家用,鋼筋混凝土造,87年3月19日,二十二層,,
RPPNMLQJOHLGFAI58CC,28,18.09,共有部份,鋼筋混凝土造,87年3月19日,二十二層,,
RPQNMLQJOHLGFAI68CC,28,11.52,共有部份,鋼筋混凝土造,87年3月19日,二十二層,,
RPQNMLQJOHLGFAI68CC,28,12.92,共有部份,鋼筋混凝土造,87年3月19日,二十二層,,
RPTNMLSJOHLGFAI56CC,3,57.41,集合住宅,鋼筋混凝土造,112年10月4日,五層,,
RPTNMLSJOHLGFAI56CC,3,25.33,本共有部分之項目有電信室、戶外安全梯電梯、停車空間、管理維護空間、樓梯間、水箱及無障礙廁所等７項,鋼筋混凝土造,112年10月4日,五層,,
RPWNMLSJOHLGFAI86CC,23,128.67,住家用,鋼筋混凝土造,92年3月17日,十二層,,
RPWNMLSJOHLGFAI86CC,23,71.51,共有部份,鋼筋混凝土造,92年3月17日,十四層,,
RPPOMLSJOHLGFAI88CC,33,30.45,住家用,鋼筋混凝土造,82年6月9日,十六層,,
RPQOMLSJOHLGFAI98CC,36,56.14,住家用,鋼筋混凝土造,79年11月10日,八層,,
RPOOMLSJOHLGFAI78CC,33,66.83,住家用,鋼筋混凝土造,82年1月5日,十二層,,
RPPOMLSJOHLGFAI88CC,33,5.02,共有部份,鋼筋混凝土造,82年6月9日,十六層,,
RPQOMLSJOHLGFAI98CC,36,8.93,共有部份,鋼筋混凝土造,79年11月10日,八層,,
RPOOMLSJOHLGFAI78CC,33,16.05,共有部份,鋼筋混凝土造,82年1月5日,十二層,,
RPPOMLSJOHLGFAI88CC,33,6.55,共有部份,鋼筋混凝土造,82年6月9日,十六層,,
RPOOMLSJOHLGFAI78CC,33,3.33,共有部份,鋼筋混凝土造,82年1月5日,十二層,,
RPVNMLTJOHLGFAI86CC,31,31.44,住家用,鋼筋混凝土造,84年7月12日,六層,,
RPVNMLTJOHLGFAI86CC,31,17.58,共有部份,鋼筋混凝土造,84年7月12日,六層,,
RPUNMLTJOHLGFAI76CC,37,21.00,住家用,鋼筋混凝土造,78年2月3日,七層,,
RPUNMLTJOHLGFAI76CC,37,12.17,共有部份,鋼筋混凝土造,78年2月3日,七層,,
RPXNMLSJOHLGFAI96CC,8,9.50,集合住宅,鋼筋混凝土構造,107年8月2日,五層,,
RPVNMLSJOHLGFAI76CC,33,28.64,住家用,鋼筋混凝土造,82年6月9日,十六層,,
RPXNMLSJOHLGFAI96CC,8,3.27,本共有部分之項目有機械室、樓梯間及水箱等３項,鋼筋混凝土構造,107年8月2日,五層,,
RPVNMLSJOHLGFAI76CC,33,4.66,共有部份,鋼筋混凝土造,82年6月9日,十六層,,
RPVNMLSJOHLGFAI76CC,33,6.21,共有部份,鋼筋混凝土造,82年6月9日,十六層,,
RPSOMLQKOHLGFAI09CC,35,77.78,住家用,鋼筋混凝土造,80年6月27日,十五層,,
RPSOMLQKOHLGFAI09CC,35,13.92,共有部份,鋼筋混凝土造,80年6月27日,十五層,,
RPQNMLRKOHLGFAI88CC,30,36.62,住家用,鋼筋混凝土造,85年6月18日,七層,,
RPQNMLRKOHLGFAI88CC,30,13.28,共有部份,鋼筋混凝土造,85年6月18日,七層,,
RPQOMLQKOHLGFAI88CC,31,87.63,住家用,鋼筋混凝土造,84年10月4日,十一層,,
RPQOMLQKOHLGFAI88CC,31,16.19,共有部份,鋼筋混凝土造,84年10月4日,十一層,,
RPQOMLQKOHLGFAI88CC,31,11.68,共有部份,鋼筋混凝土造,84年10月4日,十一層,,
RPWNMLMKOHLGFAI98CC,33,58.63,住家用,鋼筋混凝土造,82年6月23日,十二層,,
RPWNMLMKOHLGFAI98CC,33,8.07,共有部份,鋼筋混凝土造,82年6月23日,十二層,,
RPWNMLMKOHLGFAI98CC,33,9.94,共有部份,鋼筋混凝土造,82年6月23日,十三層,,
RPVNMLMKOHLGFAI88CC,33,143.21,住商用,鋼筋混凝土造,82年3月25日,十二層,,
RPVNMLMKOHLGFAI88CC,33,16.52,共有部份,鋼筋混凝土造,82年3月25日,十二層,,
RPVNMLMKOHLGFAI88CC,33,10.70,共有部份,鋼筋混凝土造,82年3月25日,十二層,,
RPOOMLMKOHLGFAI28CC,30,16.77,商業用,鋼筋混凝土造,85年3月1日,十一層,,
RPOOMLMKOHLGFAI28CC,30,8.22,共有部份,鋼筋混凝土造,85年3月1日,十一層,,
RPOOMLMKOHLGFAI28CC,30,4.65,共有部份,鋼筋混凝土造,85年3月1日,十一層,,
