鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
芎林鄉,土地,上山壹段196地號,194.39,,山坡地保育區,丙種建築用地,1150602,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7056400,36300,,0.0,0,,RPPNMLKKOHLGFCJ38EA,0.0,0.0,0.0,無,001
竹東鎮,土地,東寧段1175地號,59.0,住,,,1150602,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3500000,59322,,0.0,0,未登記建物；,RPSNMLPKOHLGFCJ56EA,0.0,0.0,0.0,無,
竹北市,土地,社北段689地號,3.31,住,,,1150515,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,200000,60423,,0.0,0,,RPPOMLOJOHLGFBJ58DA,0.0,0.0,0.0,無,002
關西鎮,土地,正義段621-9地號,44.79,都市：其他:道路用地,,,1150521,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1254120,28000,,0.0,0,包含公共設施保留地用地；,RPQNMLRJOHLGFBJ88DA,0.0,0.0,0.0,無,
關西鎮,土地,正義段621-13地號,6.0,都市：其他:道路用地,,,1150521,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,168000,28000,,0.0,0,,RPRNMLRJOHLGFBJ98DA,0.0,0.0,0.0,無,
寶山鄉,房地(土地+建物),新竹縣寶山鄉明湖路２９８號,155.47,,鄉村區,乙種建築用地,1150523,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1120713,303.5,5,2,6,有,無,34500000,113674,,0.0,0,頂樓加蓋；其他增建；,RPVNMLPLNHLGFCJ76DA,280.92,0.0,22.58,有,
竹東鎮,房地(土地+建物),新竹縣竹東鎮中興路一段５８巷２弄１３號,87.67,住,,,1150511,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0891021,289.14,5,2,3,有,無,16980000,58726,,0.0,0,其他增建；,RPTNMLMJOHLGFCJ78DA,202.66,19.06,5.58,無,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉明湖路７９號四樓,27.45,住,,,1150508,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141126,123.86,2,2,2,有,有,13750000,111012,坡道平面,33.84,0,,RPOOMLOJOHLGFCJ58DA,57.78,0.0,4.89,有,003
竹東鎮,土地,台泥段16地號,6228.01,商,,,1150514,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1266027840,203280,,0.0,0,,RPTNMLSJOHLGFCJ76DA,0.0,0.0,0.0,無,
竹東鎮,土地,燥樹排段59-4地號,555.0,,山坡地保育區,丙種建築用地,1150529,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1473000,2654,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；畸零地或有合併使用效益；,RPXNMLSJOHLGFCJ17DA,0.0,0.0,0.0,無,
竹東鎮,土地,仁愛段528地號,1090.0,都市：其他:工業區,,,1150514,土地5建物0車位0,,,其他,,,,0.0,0,0,0,無,無,30927840,28374,,0.0,0,包含公共設施保留地用地；,RPOOMLSJOHLGFCJ98DA,0.0,0.0,0.0,無,
新豐鄉,土地,中崙段1929-2地號,994.0,,特定農業區,農牧用地,1150520,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,9000000,9054,,0.0,0,含土地增值稅或其他稅費54153元；含地政士服務費40000元；未登記建物；未登記建物；,RPUNMLLJOHLGFDJ88DA,0.0,0.0,0.0,無,
湖口鄉,土地,西湖段142地號,151.66,住,,,1150527,土地5建物0車位0,,,其他,,,,0.0,0,0,0,無,無,11513370,75916,,0.0,0,未登記建物；,RPQNMLPJOHLGFDJ88DA,0.0,0.0,0.0,無,
