編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLPJOHLGFDJ88DA,西湖段,9.00,都市：其他:住宅區,1,1,全筆移轉,01390000
RPQNMLPJOHLGFDJ88DA,西湖段,31.00,都市：其他:住宅區,1,1,全筆移轉,01400000
RPQNMLPJOHLGFDJ88DA,西湖段,5.00,都市：其他:住宅區,1,1,全筆移轉,01410000
RPQNMLPJOHLGFDJ88DA,西湖段,105.00,都市：其他:住宅區,1,1,全筆移轉,01420000
RPQNMLPJOHLGFDJ88DA,西湖段,1.66,,1,1,全筆移轉,01470002
RPUNMLLJOHLGFDJ88DA,中崙段,994.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,19290002
RPPNMLSJOHLGFCJ09EA,梅林段,7290.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,00510000
RPPNMLSJOHLGFCJ09EA,梅林段,77.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,00540009
RPPNMLKKOHLGFCJ38EA,上山壹段,194.39,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,26880,1343,持分移轉,01960000
RPSNMLPKOHLGFCJ56EA,東寧段,59.00,都市：其他:住宅區,1,1,全筆移轉,11750000
RPOOMLOJOHLGFCJ58DA,明湖段,27.45,都市：其他:住宅區,100000,1137,持分移轉,06720000
RPVNMLPLNHLGFCJ76DA,明湖段,155.47,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,17480000
RPTNMLMJOHLGFCJ78DA,竹東段番社子小段,25.67,都市：其他:住宅區,21,1,持分移轉,00220000
RPTNMLMJOHLGFCJ78DA,竹東段番社子小段,62.00,都市：其他:住宅區,1,1,全筆移轉,00220016
RPXOMLKLNHLGFCJ56DA,新城段,20.04,非都市：山坡地保育區 ; 非都市編定：水利用地,36,5,持分移轉,29390001
RPWPMLKLNHLGFCJ56DA,新城段,64.23,非都市：特定農業區 ; 非都市編定：農牧用地,6,1,持分移轉,28520001
RPSNMLLLNHLGFCJ68DA,綠獅段,31.20,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,2924,持分移轉,00110000
RPTOMLKLNHLGFCJ78DA,深井段,68.40,非都市：特定農業區 ; 非都市編定：農牧用地,4,1,持分移轉,03220001
RPOPMLKLNHLGFCJ38DA,新城段,6.68,非都市：山坡地保育區 ; 非都市編定：水利用地,108,5,持分移轉,29390001
RPPPMLKLNHLGFCJ48DA,新城段,20.04,非都市：山坡地保育區 ; 非都市編定：水利用地,108,15,持分移轉,29390001
RPQNMLNKNHLGFDJ68DA,建興段鳳凰小段,26.40,非都市：工業區 ; 非都市編定：丁種建築用地,10,2,持分移轉,05390000
RPQPMLKLNHLGFCJ58DA,深井段,68.40,非都市：特定農業區 ; 非都市編定：農牧用地,4,1,持分移轉,03220001
RPRPMLKLNHLGFCJ68DA,深井段,68.40,非都市：特定農業區 ; 非都市編定：農牧用地,4,1,持分移轉,03220001
RPUPMLKLNHLGFCJ98DA,深井段,68.40,非都市：特定農業區 ; 非都市編定：農牧用地,4,1,持分移轉,03220001
RPVPMLKLNHLGFCJ09DA,新城段,6.68,非都市：山坡地保育區 ; 非都市編定：水利用地,108,5,持分移轉,29390001
RPOQMLKLNHLGFCJ48DA,深井段,90.57,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03360001
RPSQMLKLNHLGFCJ88DA,新城段,42.82,非都市：特定農業區 ; 非都市編定：農牧用地,18,2,持分移轉,28520001
RPWQMLKLNHLGFCJ66DA,深井段,5.86,非都市：特定農業區 ; 非都市編定：農牧用地,9,1,持分移轉,03090002
RPPNMLTJOHLGFBJ98DA,三聖段,2241.15,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06980000
RPRNMLRJOHLGFBJ98DA,正義段,5.07,都市：其他:道路用地,1,1,全筆移轉,06210013
RPRNMLRJOHLGFBJ98DA,正義段,.93,都市：其他:道路用地,1,1,全筆移轉,06210015
RPQNMLRJOHLGFBJ88DA,正義段,.14,都市：其他:道路用地,1,1,全筆移轉,06210005
RPQNMLRJOHLGFBJ88DA,正義段,.10,都市：其他:道路用地,1,1,全筆移轉,06210008
RPQNMLRJOHLGFBJ88DA,正義段,43.80,都市：其他:道路用地,1,1,全筆移轉,06210009
RPQNMLRJOHLGFBJ88DA,正義段,.75,都市：其他:道路用地,1,1,全筆移轉,06210011
RPPOMLOJOHLGFBJ58DA,社北段,3.31,都市：其他:第二種住宅區,10000,62,持分移轉,06890000
RPUNMLTJOHLGFBJ86DA,錦山段,1719.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,04190000
RPTNMLRJOHLGFBJ56DA,西安段,26.13,都市：其他:住宅區,100000,1314,持分移轉,09920000
RPUNMLTJOHLGFBJ86DA,錦山段,1701.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,04350043
RPVNMLTJOHLGFBJ96DA,自強段,41.71,都市：其他:第一種住宅區,10000,146,持分移轉,00810000
RPQNMLTJOHLGFBJ09DA,莊敬段,21.02,都市：其他:第一種住宅區,100000,376,持分移轉,01010000
RPPNMLSLNHLGFBJ98DA,下寮段,181.17,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,6,1,持分移轉,11510000
RPVNMLQJNHLGFBJ56DA,大學段,24.38,都市：其他:第二種商業區,100000,502,持分移轉,00260000
RPORMLKLNHLGFCJ58DA,深井段,117.80,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03200001
RPPOMLMLNHLGFBJ48DA,水瀧段,7.23,都市：其他:第三種商業區,100000,178,持分移轉,01010000
RPPOMLLJOHLGFBJ28DA,莊敬段,25.45,都市：其他:第一種住宅區,100000,421,持分移轉,01110000
RPQRMLKLNHLGFCJ78DA,深井段,77.89,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03210001
RPWSMLKLNHLGFCJ86DA,新城段,42.82,非都市：特定農業區 ; 非都市編定：農牧用地,18,2,持分移轉,28520001
RPVNMLOJOHLGFCJ56DA,橫村段,.63,非都市：特定農業區 ; 非都市編定：交通用地,1,1,全筆移轉,02650003
RPVNMLOJOHLGFCJ56DA,橫村段,3.71,非都市：特定農業區 ; 非都市編定：交通用地,1,1,全筆移轉,02650004
RPVNMLOJOHLGFCJ56DA,橫村段,26.65,非都市：特定農業區 ; 非都市編定：交通用地,1,1,全筆移轉,02650005
RPXSMLKLNHLGFCJ96DA,新城段,64.24,非都市：特定農業區 ; 非都市編定：農牧用地,18,3,持分移轉,28520001
RPTUMLKLNHLGFCJ76DA,雙林段,59.44,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,04190001
RPRTMLKLNHLGFCJ09DA,雙林段,70.55,非都市：山坡地保育區 ; 非都市編定：農牧用地,3,1,持分移轉,02960005
RPTNNLKLNHLGFCJ78DA,新城段,64.24,非都市：特定農業區 ; 非都市編定：農牧用地,18,3,持分移轉,28520001
RPQTMLKLNHLGFCJ98DA,雙林段,70.55,非都市：山坡地保育區 ; 非都市編定：農牧用地,3,1,持分移轉,02960005
RPUNNLKLNHLGFCJ88DA,新城段,42.82,非都市：特定農業區 ; 非都市編定：農牧用地,18,2,持分移轉,28520001
RPPNMLLKOHLGFCJ48EA,員崠段,66.89,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,00930000
RPPNMLLKOHLGFCJ48EA,員崠段,19.60,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,00940000
RPUNMLRLNHLGFCJ86DA,福林段,36.31,非都市：特定農業區 ; 非都市編定：甲種建築用地,48,2,持分移轉,04820000
RPVNNLKLNHLGFCJ98DA,新城段,64.23,非都市：特定農業區 ; 非都市編定：農牧用地,6,1,持分移轉,28520001
RPTTMLKLNHLGFCJ66DA,雙林段,70.55,非都市：山坡地保育區 ; 非都市編定：農牧用地,3,1,持分移轉,02960005
RPRNMLLKOHLGFCJ68EA,梅花段,5010.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00630000
RPSPMLKLNHLGFCJ78DA,新城段,301.66,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,04840001
RPXPMLKLNHLGFCJ66DA,新城段,6.12,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,28130001
RPOOMLSJOHLGFCJ98DA,仁愛段,6.00,都市：其他:工業區,1,1,全筆移轉,00570000
RPOOMLSJOHLGFCJ98DA,仁愛段,600.00,都市：其他:園道用地,1,1,全筆移轉,05280000
RPOOMLSJOHLGFCJ98DA,仁愛段,412.00,都市：其他:園道用地,1,1,全筆移轉,05560000
RPOOMLSJOHLGFCJ98DA,仁愛段,3.00,都市：其他:園道用地,1,1,全筆移轉,05560002
RPOOMLSJOHLGFCJ98DA,仁愛段,69.00,都市：其他:園道用地,1,1,全筆移轉,05560003
RPXQMLKLNHLGFCJ76DA,新城段,26.80,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,26470001
RPPNMLSJOHLGFCJ98DA,竹美段,28.54,都市：其他:農業區,21,1,持分移轉,00450000
RPPNMLSJOHLGFCJ98DA,竹美段,32.46,都市：其他:農業區,21,1,持分移轉,00480000
RPSNMLTJOHLGFCJ76DA,竹美段,41.74,都市：其他:住二,10000,439,持分移轉,06360000
RPPNMLSJOHLGFCJ98DA,竹美段,236.91,都市：其他:農業區,21,1,持分移轉,00610000
RPXNMLSJOHLGFCJ17DA,燥樹排段,112.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00590002
RPTNMLSJOHLGFCJ76DA,台泥段,6228.01,都市：其他:商業區,1,1,全筆移轉,00160000
RPXNMLSJOHLGFCJ17DA,燥樹排段,78.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,89,78,持分移轉,00590003
