編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPOOMLOJOHLGFCJ58DA,坡道平面,0,33.84,地下一樓
RPSNMLLLNHLGFCJ68DA,坡道平面,2100000,34.03,地下一樓
RPVNMLTJOHLGFBJ96DA,坡道平面,0,27.11,地下二樓
RPQNMLTJOHLGFBJ09DA,坡道平面,0,27.08,地下三樓
RPVNMLQJNHLGFBJ56DA,坡道平面,0,,地下二樓
RPPOMLMLNHLGFBJ48DA,坡道平面,0,26.87,地下四樓
RPPOMLLJOHLGFBJ28DA,坡道平面,0,,地下四樓
RPPOMLLJOHLGFBJ28DA,坡道平面,0,,地下四樓
RPSNMLTJOHLGFCJ76DA,坡道平面,0,,地下一樓
RPSNMLKKOHLGFBJ48DA,坡道平面,0,39.43,地下二樓
RPUOMLPKOHLGFBJ66DA,坡道平面,0,27.08,地下三樓
RPTNMLMKNHLGFBJ68DA,坡道平面,0,29.60,地下三樓
RPQNMLSJNHLGFBJ88DA,坡道平面,2100000,25.68,地下一樓
RPQNMLSJNHLGFBJ88DA,坡道平面,2100000,25.68,地下一樓
RPQNMLSJNHLGFBJ88DA,坡道平面,2300000,27.10,地下一樓
RPQNMLSJNHLGFBJ88DA,坡道平面,2100000,25.68,地下一樓
RPPNMLOLNHLGFDJ78DA,坡道平面,0,36.17,地下一樓
RPRNMLRLNHLGFBJ09DA,坡道平面,0,29.81,地下一樓
RPQNMLNJOHLGFBJ48DA,坡道平面,0,28.21,地下一樓
RPVNMLKKOHLGFDJ98DA,一樓平面,0,8.69,一樓
RPWNMLKKOHLGFDJ09DA,坡道平面,0,33.32,地下二樓
RPPNMLSJOHLGFBJ88DA,坡道平面,0,38.62,地下二樓
RPPNMLSJOHLGFBJ98EA,升降機械,0,,地下一樓
RPQNMLOLMHLGFBJ58DA,坡道平面,0,29.81,地下五樓含以下
RPPNMLQJNHLGFBJ58DA,坡道平面,0,,地下二樓
RPPNMLQJNHLGFBJ58DA,坡道平面,0,,地下二樓
RPQOMLSLMHLGFBJ09DA,坡道平面,0,27.43,地下一樓
RPQOMLSLMHLGFBJ09DA,坡道平面,0,27.43,地下一樓
RPWNMLKKOHLGFBJ88DA,坡道平面,0,28.88,地下二樓
RPRNMLLKOHLGFDJ68DA,坡道平面,0,24.91,地下一樓
RPRNMLTJOHLGFBJ56DA,坡道平面,0,28.17,地下三樓
RPVNMLLKOHLGFBJ88DA,坡道平面,1500000,31.73,地下二樓
RPROMLLKNHLGFBJ48DA,坡道平面,0,,地下一樓
RPROMLLKNHLGFBJ48DA,坡道機械,0,,地下三樓
RPTOMLOJNHLGFBJ88DA,坡道平面,0,28.96,地下二樓
RPQNMLKKOHLGFDJ48DA,一樓平面,0,,一樓
RPWNMLKLNHLGFBJ88DA,坡道平面,0,34.97,地下三樓
RPSOMLTKNHLGFBJ76DA,坡道平面,0,31.66,地下二樓
RPVNMLQLNHLGFBJ76DA,坡道平面,0,40.21,地下三樓
RPTOMLKKOHLGFBJ68DA,坡道平面,0,33.11,地下一樓
RPPNMLKKOHLGFDJ48EA,一樓平面,0,,一樓
RPPNMLMJOHLGFDJ58EA,坡道平面,0,,地下一樓
RPPNMLMJOHLGFDJ58EA,坡道平面,0,,地下一樓
RPPNMLMJOHLGFDJ58EA,坡道平面,0,,地下一樓
RPPNMLMJOHLGFDJ58EA,坡道平面,0,,地下一樓
RPPNMLMJOHLGFDJ58EA,坡道平面,0,,地下一樓
RPPNMLMJOHLGFDJ58EA,坡道平面,0,,地下一樓
RPPNMLMJOHLGFDJ58EA,坡道平面,0,,地下一樓
RPPNMLMJOHLGFDJ58EA,坡道平面,0,,地下一樓
RPPNMLMJOHLGFDJ58EA,坡道平面,0,,地下一樓
RPPNMLMJOHLGFDJ58EA,坡道平面,0,,地下一樓
RPPNMLMJOHLGFDJ58EA,坡道平面,0,,地下一樓
RPPNMLMJOHLGFDJ58EA,坡道平面,0,,地下一樓
RPPNMLOJNHLGFCJ48DA,坡道平面,0,34.21,地下一樓
RPPNMLOJNHLGFCJ48DA,坡道平面,0,34.21,地下一樓
RPROMLOJOHLGFBJ78DA,坡道平面,2450000,44.91,地下二樓
RPSNMLTJOHLGFBJ66DA,坡道平面,0,29.81,地下五樓含以下
RPPNMLKKOHLGFBJ18DA,一樓平面,0,24.79,一樓
RPPNMLPLMHLGFDJ78DA,坡道平面,0,30.32,地下二樓
RPRNMLLJMHLGFBJ18DA,坡道平面,0,38.62,地下二樓
RPSNMLSJOHLGFBJ56DA,坡道平面,0,31.48,地下一樓
RPSNMLSJOHLGFBJ56DA,坡道平面,0,31.48,地下一樓
RPSNMLSJOHLGFBJ56DA,坡道平面,0,31.48,地下一樓
RPSNMLSJOHLGFBJ56DA,坡道平面,0,31.48,地下二樓
RPSNMLSJOHLGFBJ56DA,坡道平面,0,31.48,地下二樓
RPSNMLSJOHLGFBJ56DA,坡道平面,0,31.48,地下二樓
RPSNMLSJOHLGFBJ56DA,坡道平面,0,31.48,地下三樓
RPSNMLSJOHLGFBJ56DA,坡道平面,0,31.48,地下三樓
RPSNMLSJOHLGFBJ56DA,坡道平面,0,31.48,地下三樓
RPRNMLPLLHLGFBJ68DA,坡道平面,0,30.03,地下三樓
RPRNMLKKOHLGFBJ48EA,坡道機械,0,16.69,地下二樓
RPOQMLPKOHLGFBJ88DA,一樓平面,0,24.93,一樓
RPOQMLPKOHLGFBJ88DA,一樓平面,0,24.93,一樓
RPQRMLRLLHLGFDJ76DA,一樓平面,0,23.56,一樓
RPQRMLRLLHLGFDJ76DA,其他,0,,一樓
RPWNMLMKOHLGFBJ09DA,坡道平面,0,33.03,地下二樓
RPPNMLQKOHLGFBJ78DA,坡道平面,0,,地下一樓
RPPNMLQKOHLGFBJ78DA,坡道平面,0,,地下一樓
RPPOMLSJOHLGFBJ98DA,坡道平面,0,,地下三樓
RPWNMLTJOHLGFDJ27DA,一樓平面,0,,一樓
RPPNMLKKOHLGFDJ38DA,一樓平面,0,,一樓
RPVNMLKKKHLGFBJ38DA,坡道平面,0,24.96,地下四樓
RPWOMLLMLHLGFBJ98DA,坡道平面,0,,地下二樓
RPPNMLOJNHLGFBJ38DA,一樓平面,1900000,23.52,一樓
RPUNMLOJNHLGFBJ88DA,一樓平面,1900000,23.52,一樓
RPQNMLPJNHLGFBJ58DA,一樓平面,2200000,23.52,一樓
RPTNMLOJNHLGFBJ78DA,一樓平面,2200000,23.52,一樓
RPRNMLPJNHLGFBJ68DA,一樓平面,2200000,23.52,一樓
RPQNMLOJNHLGFBJ48DA,一樓平面,1900000,23.52,一樓
RPRNMLKKOHLGFDJ58DA,一樓平面,0,,一樓
RPPOMLQLNHLGFBJ88DA,一樓平面,2100000,44.59,一樓
RPPOMLQLNHLGFBJ88DA,坡道平面,1900000,44.59,地下一樓
