鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
竹北市,房地(土地+建物)+車位,新竹縣竹北市光明六路東二段,38.04,住,,,1150511,土地2建物1車位3,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,267.09,4,2,2,有,無,49300000,266982,坡道平面,115.02,8700000,,RPPNMLMKNHLGFBJ28CB,學好,B棟14號,
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮光武段1地號等2筆地號,16.49,住,,,1150511,土地2建物1車位2,十一層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,172.33,3,2,2,有,無,21300000,157787,坡道平面,59.52,3500000,交易總價含下列非屬預售屋價格之費用:裝潢費；,RPRNMLMKNHLGFCJ58CB,富宇東方大境,A6棟11號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市中華路,23.43,其他,,,1150511,土地3建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.82,3,2,2,有,無,21210000,164847,坡道平面,33.47,2030000,,RPQNMLOKNHLGFBJ58CB,品聚賦格,A1棟10F號,
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮旭光二路23號旁,25.62,其他,,,1150513,土地1建物1車位2,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,183.0,3,2,2,有,無,23080000,155298,坡道平面,58.98,3820000,,RPSNMLOKNHLGFCJ88CB,森?,1G棟8號,
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮旭光二路23號旁,16.67,其他,,,1150513,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,109.01,2,2,1,有,無,13590000,154804,坡道平面,29.49,1280000,,RPTNMLOKNHLGFCJ98CB,森?,2W棟4號,
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮旭光二路23號旁,25.62,其他,,,1150514,土地1建物1車位2,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,181.25,3,2,2,有,無,22750000,156212,坡道平面,58.98,3650000,,RPPNMLPKNHLGFCJ68CB,森?,1C棟8號,
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮旭光二路23號旁,16.67,其他,,,1150514,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,109.21,2,2,1,有,無,14360000,157928,坡道平面,29.49,1770000,,RPQNMLPKNHLGFCJ78CB,森?,1E棟4號,
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮旭光二路23號旁,16.67,其他,,,1150514,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.02,2,2,1,有,無,14430000,158699,坡道平面,29.49,1650000,,RPRNMLPKNHLGFCJ88CB,森?,1N棟7號,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉千禧路上近中美西路,23.84,,特定農業區,甲種建築用地,1150511,土地7建物1車位1,二層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,118.16,2,2,1,有,無,12780000,117979,一樓平面,25.94,1900000,,RPPNMLSKNHLGFDJ09CB,十美,A棟2F號,
