鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
竹北市,租賃房屋+車位,新竹縣竹北市高鐵七路６５號１１樓之６,0.0,,,,1150511,土地0建物1車位1,十一層,18,辦公商業大樓,商業用,鋼筋混凝土造,0990208,215.82,0,0,0,無,有,無,43000,199,坡道平面,37.64,0,,RPPNMLOKNHLGFBJ58CC,,有,1150601~1180531,有,冷氣,
竹北市,租賃房屋,新竹縣竹北市自強五路１２２號,0.0,,,,1150512,土地0建物1車位0,全,4,透天厝,停車空間、台電機房、消防機房、店舖、住宅,鋼筋混凝土造,1130729,990.44,0,0,0,無,無,無,350000,353,,0.0,0,租金總額含稅；租賃期間有約定不同租金第12年月租35萬第3年36萬第45年38萬；,RPRNMLOKNHLGFBJ78CC,,無,1150516~1200515,無,,
竹北市,租賃房屋,新竹縣竹北市復興七路５號,0.0,,,,1150513,土地0建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0960412,24.8,7,0,7,有,無,有,17000,685,,0.0,0,租金總額含水費；瓦斯費；網路費；續租案件；,RPPNMLPKNHLGFBJ68CC,分租套房,無,1150520~1170519,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、網路,一般轉租
湖口鄉,租賃房屋,新竹縣湖口鄉吳厝路３６號５樓,0.0,,,,1150512,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1100104,75.06,2,2,1,有,有,有,16400,218,,0.0,0,續租案件；,RPPNMLPKNHLGFDJ88CC,整棟(戶)出租,有,1150530~1160529,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
新豐鄉,租賃房屋+車位,新竹縣新豐鄉中崙１３-１號４樓,0.0,,,,1150513,土地0建物1車位1,四層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1130704,116.1,3,2,2,有,有,有,23000,198,升降機械,5.0,0,多人共同承租3；租金總額含管理費；,RPQNMLSKNHLGFDJ66CC,整棟(戶)出租,無,1150522~1170521,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
竹北市,租賃房屋+車位,新竹縣竹北市文興路一段３３０號３樓,0.0,,,,1150511,土地0建物1車位2,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011029,238.68,4,2,2,有,有,有,40500,170,坡道平面,80.28,0,,RPSNMLTKNHLGFBJ76CC,整棟(戶)出租,有,1150520~1160519,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,一般轉租
竹北市,租賃房屋+車位,新竹縣竹北市十興路３０５巷１３弄９１號之１１樓之１,0.0,,,,1150512,土地0建物1車位1,見其他登記事項,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080320,165.35000000000002,3,2,2,有,有,有,32000,194,坡道平面,37.55,0,租金總額含管理費；,RPWNMLTKNHLGFBJ17CC,整棟(戶)出租,有,1150515~1160514,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
關西鎮,租賃房屋,新竹縣關西鎮幸福街９號七樓,0.0,,,,1150512,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1111201,122.76,1,1,1,有,有,有,35000,285,,0.0,0,未租賃車位，建物登記含有車位面積；,RPXNMLTKNHLGFBJ27CC,整棟(戶)出租,有,1150511~1150810,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
竹北市,租賃房屋,新竹縣竹北市中華路３５２號十二樓,0.0,,,,1150515,土地0建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820923,75.26,2,2,2,有,有,有,18000,239,,0.0,0,續租案件；,RPPNMLKLNHLGFBJ28CC,整棟(戶)出租,有,1150601~1160424,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
