編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLSKNHLGFDJ66CC,升降機械,0,5.00,一樓
RPWNMLTKNHLGFBJ17CC,坡道平面,0,37.55,地下二樓
RPPNMLOKNHLGFBJ58CC,坡道平面,0,37.64,地下一樓
RPSNMLTKNHLGFBJ76CC,坡道平面,0,40.46,地下一樓
RPSNMLTKNHLGFBJ76CC,坡道平面,0,39.82,地下一樓
RPUNMLQLNHLGFDJ96CC,一樓平面,0,,一樓
RPQNMLLLNHLGFCJ58CC,坡道平面,0,,地下一樓
RPRNMLSLNHLGFBJ66CC,坡道平面,0,,地下二樓
RPTNMLQLNHLGFBJ66CC,坡道平面,0,,地下二樓
RPPOMLRLNHLGFBJ09CC,一樓平面,0,,一樓
RPXNMLRLNHLGFBJ17CC,坡道平面,3300,29.88,地下一樓
RPXNMLRLNHLGFBJ17CC,坡道平面,3300,29.88,地下一樓
RPXNMLRLNHLGFBJ17CC,坡道平面,3300,29.88,地下一樓
RPOOMLRLNHLGFBJ98CC,坡道平面,3300,,地下一樓
RPOOMLRLNHLGFBJ98CC,坡道平面,3300,,地下一樓
RPOOMLRLNHLGFBJ98CC,坡道平面,3300,,地下一樓
RPPNMLKMNHLGFBJ38CC,坡道平面,0,31.53,地下一樓
RPPNMLKMNHLGFBJ38CC,坡道平面,0,31.53,地下一樓
RPQNMLTLNHLGFBJ66CC,坡道平面,0,,地下一樓
RPPNMLTJOHLGFBJ09CC,坡道平面,0,39.72,地下二樓
