鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
造橋鄉,房地(土地+建物),苗栗縣造橋鄉談文村５鄰學府路８８號二樓之一,13.49,,山坡地保育區,丙種建築用地,1150602,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0910418,29.340000000000003,0,0,0,無,有,1060000,36128,,0.0,0,所有費用全部由賣方支付。,RPQNMLPJOHLGFDK98DA,18.48,0.0,2.44,無,
苑裡鎮,土地,文山段188-1地號,95.0,住,,,1150605,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5027750,52924,,0.0,0,,RPQNMLLKOHLGFCK58DA,0.0,0.0,0.0,無,
造橋鄉,房地(土地+建物),苗栗縣造橋鄉談文村５鄰育英三街１５號二樓之九,20.44,,山坡地保育區,丙種建築用地,1150602,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0930513,27.369999999999997,1,0,1,有,有,1100000,40190,,0.0,0,,RPQNMLNJOHLGFDK78DA,18.29,0.82,2.0,無,001
後龍鎮,土地,龍南段200地號,91.05,住,,,1150601,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,960000,10544,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXNMLSJOHLGFDK37DA,0.0,0.0,0.0,無,
頭份市,土地,蘆竹段358地號,247.63,工,,,1150603,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5240000,21161,,0.0,0,,RPPNMLKKOHLGFFK78EA,0.0,0.0,0.0,無,002
苑裡鎮,土地,芎蕉坑段156-44地號,2524.0,,山坡地保育區,農牧用地,1150525,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6080000,2409,,0.0,0,有整地改良事宜,RPSNMLLJOHLGFCK68DA,0.0,0.0,0.0,無,
竹南鎮,土地,新博愛段1095-1地號,149.04,住,,,1150508,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,18380000,123323,,0.0,0,,RPPNMLSLNHLGFDK66DA,0.0,0.0,0.0,無,003
頭份市,房地(土地+建物)+車位,苗栗縣頭份市富強二街３１號十一樓,27.85,住,,,1150501,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110524,163.56,3,2,2,有,有,14180000,86696,坡道平面,37.82,0,,RPSNMLKLNHLGFFK98DA,78.83,0.0,7.22,有,004
頭份市,房地(土地+建物),苗栗縣頭份市花園東路２０巷１號,156.89,,山坡地保育區,丙種建築用地,1150514,土地1建物1車位0,全,三層,透天厝,住家用,ＲＣ造,0991215,211.60999999999999,4,2,4,有,有,16300000,77028,,0.0,0,,RPRNMLPLNHLGFFK76DA,192.47,9.49,8.27,無,005
頭份市,房地(土地+建物),苗栗縣頭份市民族里１３鄰東興路１８２之４號三樓,36.11,住,,,1150506,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821230,162.24,4,2,2,有,有,7600000,46844,,0.0,0,,RPPNMLSLNHLGFFK86DA,109.15,0.0,14.71,有,
頭份市,土地,新興段50-1地號,163.79,,特定農業區,農牧用地,1150512,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1261183,7700,,0.0,0,政府機關標讓售；,RPSOMLTLNHLGFFK37DA,0.0,0.0,0.0,無,
卓蘭鎮,土地,新庄段500地號,424.1,,,,1150525,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,13133314,30967,,0.0,0,含地上物補償240522元農作物；農業設施；協議價購；,RPOOMLTJOHLGFAK98DA,0.0,0.0,0.0,無,006
卓蘭鎮,土地,新庄段499地號,576.61,,,,1150525,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,17766525,30812,,0.0,0,含地上物補償200001元農作物；農業設施；協議價購；,RPQOMLTJOHLGFAK56DA,0.0,0.0,0.0,無,
