編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLSLNHLGFFK86DA,32,123.86,住家用,鋼筋混凝土造,82年12月30日,七層,三層 陽台,全筆移轉
RPRNMLPLNHLGFFK76DA,15,210.23,住家用,ＲＣ造,99年12月15日,三層,一層 二層 三層 陽台 平台 雨遮 見其他登記事項,全筆移轉
RPPNMLSLNHLGFFK86DA,32,21.56,防空避難室共同使用部分,鋼筋混凝土造,82年12月30日,七層,,持分移轉
RPRNMLPLNHLGFFK76DA,15,1.38,台電配電室,ＲＣ造,99年12月15日,三層,,持分移轉
RPPNMLSLNHLGFFK86DA,32,16.82,樓，電梯共同使用部分,鋼筋混凝土造,82年12月30日,七層,,持分移轉
RPSNMLKLNHLGFFK98DA,4,86.05,集合住宅,鋼筋混凝土造,111年5月24日,十五層,十一層 陽台,全筆移轉
RPSNMLKLNHLGFFK98DA,4,20.11,樓梯間,鋼筋混凝土造,111年5月24日,十五層,,持分移轉
RPSNMLKLNHLGFFK98DA,4,57.40,防空避難室兼停車空間,鋼筋混凝土造,111年5月24日,十五層,,持分移轉
RPPNMLMJOHLGFFK78DA,2,92.13,集合住宅,鋼筋混凝土造,113年11月22日,七層,四層 陽台,全筆移轉
RPPNMLMJOHLGFFK78DA,2,54.49,防空避難室兼停車空間、停車空間、水箱、台電配電室、電信室、發電機房、管理委員會使用空間,鋼筋混凝土造,113年11月22日,七層,,持分移轉
RPPNMLMJOHLGFFK78DA,2,17.19,梯廳、樓梯間、昇降機間、水箱、機械室,鋼筋混凝土造,113年11月22日,七層,,持分移轉
RPQNMLSJOHLGFFK86DA,20,203.97,住宅、停車空間,ＲＣ造,95年5月17日,三層,一層 二層 三層 陽台 平台 屋頂突出物 雨遮 地下層,全筆移轉
RPPNMLLKOHLGFCK48DA,6,226.64,住家用,鋼筋混凝土造,109年8月17日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPPNMLTJOHLGFAK98DA,32,133.60,農舍,加強磚造,82年10月27日,一層,一層 屋頂突出物,全筆移轉
RPUNMLTJOHLGFFK37DA,14,41.83,辦公室,ＲＣ造,101年5月23日,十層,十層 陽台 雨遮,全筆移轉
RPUNMLTJOHLGFFK37DA,14,43.78,防空避難室、停車空間、樓梯間,ＲＣ造,101年5月23日,十層,,持分移轉
RPPNMLQLNHLGFAK78DA,30,391.36,農舍,鋼筋混凝土造,84年12月7日,二層,一層 二層 陽台,全筆移轉
RPQNMLNJOHLGFDK78DA,22,21.11,住家用,鋼筋混凝土造,93年5月13日,三層,二層 陽台 雨遮,全筆移轉
RPQNMLNJOHLGFDK78DA,22,6.26,樓梯間，走廊,鋼筋混凝土造,93年5月13日,三層,,持分移轉
RPQNMLPJOHLGFDK98DA,24,20.92,住家用,鋼筋混凝土造,91年4月18日,四層,二層 陽台,全筆移轉
RPQNMLPJOHLGFDK98DA,24,8.42,樓梯間、走廊、配電室,鋼筋混凝土造,91年4月18日,四層,,持分移轉
RPTNMLOJOHLGFFK76DA,19,111.41,集合住宅、住宅、停車空間,ＲＣ造,96年3月30日,五層,四層 五層 陽台 電梯樓梯間 見其他登記事項,全筆移轉
RPTNMLOJOHLGFFK76DA,19,33.70,集合住宅、住宅、停車空間,ＲＣ造,96年3月30日,五層,,持分移轉
RPRNMLRLNHLGFFK96DA,6,80.20,住家用,鋼筋混凝土造,109年7月22日,十五層,七層 陽台,全筆移轉
RPRNMLRLNHLGFFK96DA,6,50.19,門廳、管委會、停車空間、電信機器室、防空避難室,鋼筋混凝土造,109年7月22日,十五層,,持分移轉
RPRNMLRLNHLGFFK96DA,6,18.20,樓梯間、水箱、機械室,鋼筋混凝土造,109年7月22日,十五層,,持分移轉
RPUNMLPKOHLGFDK86DA,2,58.02,集合住宅,鋼筋混凝土造,113年10月17日,四層,一層,全筆移轉
RPUNMLPKOHLGFDK86DA,2,21.15,共有部分,鋼筋混凝土造,113年10月17日,四層,,持分移轉
RPRNMLLKOHLGFCK68DA,7,98.76,廠房,鋼骨造,108年6月6日,一層,一層,全筆移轉
RPSNMLLKOHLGFCK78DA,7,74.25,集合住宅,鋼筋混凝土造,108年2月20日,八層,五層 陽台,全筆移轉
RPSNMLLKOHLGFCK78DA,7,55.81,本共有部分之項目有停車空間、台電配電室、消防機房、公共空間、機電設備空間、電信室、發電機房、梯廳、排煙室、昇降機道、樓梯間、機械室、水箱室等１３項,鋼筋混凝土造,108年2月20日,八層,,持分移轉
RPPNMLKKOHLGFEK58DA,25,215.64,住家用,鋼筋混凝土造,90年3月27日,三層,一層 二層 三層,全筆移轉
RPUNMLTJOHLGFDK17DA,3,178.08,停車空間、集合住宅,鋼筋混凝土造,112年7月6日,四層,一層 二層 三層 四層 陽台 見其他登記事項,全筆移轉
RPRNMLMLNHLGFDK88DA,25,21.12,住家用,鋼筋混凝土造,90年6月29日,三層,二層 陽台,全筆移轉
RPRNMLMLNHLGFDK88DA,25,6.21,樓梯間、屋頂突出物,鋼筋混凝土造,90年6月29日,三層,,持分移轉
RPQNMLKKOHLGFBK38DA,1,87.31,集合住宅,鋼筋混凝土造,114年7月3日,五層,五層 陽台,全筆移轉
RPPNMLMJOHLGFBK38DA,6,68.74,住家用,鋼筋混凝土造,109年5月26日,五層,三層 陽台,全筆移轉
RPQNMLKKOHLGFBK38DA,1,11.83,本共有部分之項目有樓梯間等１項。,鋼筋混凝土造,114年7月3日,五層,,持分移轉
RPPNMLOJOHLGFBK58DA,34,47.68,住家用,鋼筋混凝土造,81年9月29日,十七層,九層 陽台,全筆移轉
RPPNMLMJOHLGFBK38DA,6,27.67,本共有部分之項目有騎樓及樓梯間等兩項。,鋼筋混凝土造,109年5月26日,五層,,持分移轉
RPQNMLKKOHLGFBK38DA,1,13.01,本共有部分之項目有停車空間（室內１０輛）等１項。,鋼筋混凝土造,114年7月3日,五層,,持分移轉
RPTNMLSJOHLGFBK76DA,3,47.65,住家用,鋼筋混凝土造,112年3月21日,十層,六層 陽台,全筆移轉
RPPNMLOJOHLGFBK58DA,34,31.92,公共設施,鋼筋混凝土造,81年9月29日,十七層,,持分移轉
RPTNMLSJOHLGFBK76DA,3,42.99,本共有部分之項目有防空避難室兼停車空間及（附屬停車空間），梯間，水箱間（室內３９輛）等５項。,鋼筋混凝土造,112年3月21日,十層,,持分移轉
RPQNMLMJOHLGFBK48DA,27,190.02,住宅，停車空間,鋼筋混凝土造,88年10月3日,三層,一層 二層 三層 陽台 屋頂突出物 地下層,全筆移轉
RPQNMLMJOHLGFBK48DA,27,20.34,停車空間,鋼筋混凝土造,88年10月3日,三層,,持分移轉
RPPNMLPKOHLGFBK78DA,,141.44,農舍,加強磚造,,二層,一層 二層,全筆移轉
RPPNMLKKOHLGFBK28DA,1,63.12,集合住宅,鋼筋混凝土造,114年7月3日,五層,三層 陽台,全筆移轉
RPPNMLKKOHLGFBK28DA,1,8.53,本共有部分之項目有樓梯間等１項。,鋼筋混凝土造,114年7月3日,五層,,持分移轉
RPPNMLTJOHLGFBK09DA,9,248.17,住家用,鋼筋混凝土造,105年11月21日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPPNMLKKOHLGFBK28DA,1,12.39,本共有部分之項目有停車空間（室內１０輛）等１項。,鋼筋混凝土造,114年7月3日,五層,,持分移轉
RPTNMLPLNHLGFFK96DA,44,174.72,住家用,加強磚造,71年7月8日,二層,一層 二層 騎樓,全筆移轉
RPPNMLKKOHLGFCK38DA,30,2.58,管理中心,鋼筋混凝土造,85年6月1日,三層,一層 二層 三層 陽台 屋頂突出物,持分移轉
RPPNMLKKOHLGFCK38DA,30,.55,水塔,鋼筋混凝土造,85年6月1日,七層,,持分移轉
