編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSNMLKLNHLGFFK98DA,坡道平面,0,37.82,地下三樓
RPPNMLMJOHLGFFK78DA,坡道平面,1550000,27.65,地下一樓
RPUNMLTJOHLGFFK37DA,坡道平面,0,27.46,地下一樓
RPTNMLOJOHLGFFK76DA,一樓平面,0,,一樓
RPRNMLRLNHLGFFK96DA,坡道平面,0,32.22,地下二樓
RPSNMLLKOHLGFCK78DA,坡道平面,0,,地下一樓
RPQNMLKKOHLGFBK38DA,一樓平面,0,,一樓
RPTNMLSJOHLGFBK76DA,坡道平面,0,,地下一樓
RPPNMLKKOHLGFBK28DA,一樓平面,0,,一樓
RPTNMLOLMHLGFDK56DA,一樓平面,0,,
RPXNMLKMMHLGFDK66DA,坡道機械,0,9.98,地下一樓
RPQNMLOJOHLGFDK88DA,一樓平面,0,,一樓
RPRNMLOJOHLGFDK98DA,一樓平面,0,,一樓
RPQNMLMKOHLGFDK78DA,一樓平面,0,,一樓
RPPNMLTJOHLGFFK86DA,一樓平面,0,12.15,一樓
RPTNMLPJNHLGFBK98DA,坡道平面,1100000,30.03,地下一樓
RPWNMLPKNHLGFDK96DA,坡道平面,1610000,27.89,地下三樓
RPROMLKMLHLGFDK68DA,坡道平面,1500000,27.89,地下三樓
RPPNMLLLMHLGFFK68DA,坡道平面,1600000,,一樓
RPPRMLOKKHLGFDK88DA,一樓平面,0,20.34,一樓
RPWQMLOKKHLGFDK86DA,一樓平面,0,20.34,一樓
RPRQMLOKKHLGFDK98DA,一樓平面,0,20.34,一樓
RPOOMLTJMHLGFDK09DA,坡道平面,1500000,27.89,地下三樓
RPSRMLOKKHLGFDK56DA,一樓平面,0,20.34,一樓
RPUNMLQKKHLGFDK56DA,其他,0,12.21,一樓
