鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
魚池鄉,土地,山楂腳段40地號,1819.0,,山坡地保育區,農牧用地,1150602,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1500000,825,,0.0,0,農作物；,RPTOMLLKOHLGFCM56DA,0.0,0.0,0.0,無,
竹山鎮,土地,菩提段73地號,121.53,住,,,1150602,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3000000,24685,,0.0,0,,RPSNMLLKOHLGFDM09DA,0.0,0.0,0.0,無,01
南投市,土地,南鄉段478地號,1425.21,,特定農業區,農牧用地,1150605,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5560000,3901,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLNJOHLGFAM68DA,0.0,0.0,0.0,無,
埔里鎮,房地(土地+建物),南投縣埔里鎮自強路１３８號,63.0,住,,,1150603,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土加強磚造,0680428,101.2,6,2,3,有,無,3000000,29644,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLPKOHLGFCM07DA,101.2,0.0,0.0,無,
竹山鎮,土地,安定段343地號,26.62,住,,,1150608,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,428662,16103,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLPKOHLGFDM17DA,0.0,0.0,0.0,無,
草屯鎮,土地,富頂段715地號,8136.26,,山坡地保育區,農牧用地,1150602,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,16000000,1967,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLMKOHLGFBM56DA,0.0,0.0,0.0,無,02
仁愛鄉,土地,眉原段616地號,390.0,,一般農業區,農牧用地,1150603,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,200000,513,,0.0,0,,RPRNMLMKOHLGFCM98DA,0.0,0.0,0.0,無,
仁愛鄉,土地,眉原段618地號,370.0,,一般農業區,農牧用地,1150608,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,100000,270,,0.0,0,畸零地或有合併使用效益；,RPSNMLMKOHLGFCM09DA,0.0,0.0,0.0,無,
埔里鎮,土地,新生段381地號,70.0,,特定農業區,甲種建築用地,1150603,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2000000,28571,,0.0,0,,RPTNMLPKOHLGFCM86DA,0.0,0.0,0.0,無,
