編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLSJOHLGFBM66DA,42,423.96,店舖、住宅、避難室,鋼筋混凝土造,73年8月8日,三層,一層 二層 三層 騎樓 地下層,全筆移轉
RPQOMLQLNHLGFBM66DA,7,77.35,集合住宅,鋼筋混凝土造,107年11月27日,九層,三層 陽台 雨遮,全筆移轉
RPQOMLQLNHLGFBM66DA,7,67.98,停車空間、排煙室、水箱、汙水機房、消防機房、一般昇降機、昇降機間、車道、緊急昇降機、門廳、門廊、緊急昇降機﹝行動不便﹞、防空避難室兼停車空間、台電配電室、受電箱、電信室、緊急發電機室、管委會空間、梯廳、樓梯間、機械室、水錶室、一般昇降機﹝行動不便﹞甲乙丙丁梯等２４項。,鋼筋混凝土造,107年11月27日,九層,,持分移轉
RPPNMLKKOHLGFDM68DA,44,115.10,住家用,鋼筋混凝土加強磚造,71年3月18日,二層,一層 二層,全筆移轉
RPQNMLSKNHLGFDM86DA,46,167.20,住商用,鋼筋混凝土加強磚造,69年10月14日,二層,一層 二層 騎樓,全筆移轉
RPQNMLSLNHLGFAM66DA,2,198.40,住宅,鋼筋混凝土造,112年12月14日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPQNMLPKOHLGFDM76EA,63,92.00,住家用,鋼筋混凝土加強磚造,52年10月6日,二層,一層 二層,全筆移轉
RPVNMLPKOHLGFCM07DA,47,101.20,住商用,鋼筋混凝土加強磚造,68年4月28日,三層,一層 二層 三層 騎樓,持分移轉
RPXNMLPKOHLGFCM27DA,46,66.05,住家用,加強磚造,68年12月3日,一層,一層,全筆移轉
RPSNMLPLNHLGFCM76DA,3,7377.11,農業設施（菇類栽培場）,鋼骨造,112年2月24日,一層,一層,全筆移轉
RPSNMLLJOHLGFCM88DA,27,94.03,集合住宅,鋼筋混凝土造,87年12月31日,八層,三層 陽台,全筆移轉
RPSNMLLJOHLGFCM88DA,27,29.41,停車場．避難室,鋼筋混凝土造,87年12月31日,八層,,持分移轉
RPTNMLLJOHLGFDM09DA,45,187.66,住商用,鋼筋混凝土加強磚造,69年12月1日,二層,一層 二層 騎樓,全筆移轉
RPPNMLLKOHLGFBM58DA,1,199.32,住宅、樓梯間,鋼筋混凝土造,114年9月5日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPPNMLMJOHLGFAM48DA,21,77.23,住家用,鋼筋混凝土造,93年12月28日,十二層,六層 陽台,全筆移轉
