編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLPLNHLGFBM98DA,加老段,187.20,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,07940000
RPQNMLSJOHLGFBM66DA,草屯段,111.00,都市：其他:商業區,1,1,全筆移轉,00370013
RPQNMLSJOHLGFBM66DA,草屯段,25.00,都市：其他:商業區,1,1,全筆移轉,00380009
RPUNMLMKOHLGFBM56DA,富頂段,8136.26,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,07150000
RPRNMLLJOHLGFBM68DA,草鞋墩段,308.00,,1,1,全筆移轉,10830003
RPQOMLQLNHLGFBM66DA,新興段,27.88,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,712,持分移轉,10870000
RPSNMLLKOHLGFDM09DA,菩提段,121.00,都市：其他:住宅區,1,1,全筆移轉,00730000
RPSNMLLKOHLGFDM09DA,菩提段,.16,都市：其他:住宅區,100000,2326,持分移轉,01050003
RPSNMLLKOHLGFDM09DA,菩提段,.02,都市：其他:住宅區,100000,2326,持分移轉,01050004
RPSNMLLKOHLGFDM09DA,菩提段,.35,都市：其他:商業區,100000,2326,持分移轉,01090002
RPPNMLSJOHLGFDM76DA,新鹿谷段,363.05,都市：其他:農業區,1,1,全筆移轉,04190000
RPVNMLPKOHLGFDM17DA,安定段,26.62,都市：其他:住宅區,2,1,持分移轉,03430000
RPPNMLSJOHLGFBM56DA,土城段,892.95,非都市：特定農業區 ; 非都市編定：農牧用地,24,12,持分移轉,11140000
RPPNMLKKOHLGFDM68DA,雲林段,100.00,都市：其他:住宅區,1,1,全筆移轉,16550001
RPVNMLPJOHLGFBM86DA,中原段,136.39,非都市：特定農業區 ; 非都市編定：農牧用地,4,1,持分移轉,04680000
RPQNMLSKNHLGFDM86DA,鹿山段,98.44,都市：其他:住宅區,1,1,全筆移轉,01750000
RPQNMLSKNHLGFDM86DA,鹿山段,9.77,都市：其他:道路用地,1,1,全筆移轉,02730000
RPUNMLKLNHLGFAM88DA,東仁段,1016.84,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06890000
RPQNMLSLNHLGFAM66DA,名山段,3.31,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,110,持分移轉,01260000
RPQNMLSLNHLGFAM66DA,名山段,157.46,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01260043
RPQNMLNJOHLGFAM68DA,南鄉段,1425.21,非都市：特定農業區 ; 非都市編定：農牧用地,6,4,持分移轉,04780000
RPQNMLPKOHLGFDM76EA,中山段,48.00,都市：其他:商業區,1,1,全筆移轉,02730000
RPPNMLNJOHLGFDM88DA,中州段,1449.14,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,12180002
RPPNMLNJOHLGFDM88DA,中州段,1053.12,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,13440002
RPVNMLPKOHLGFCM07DA,埔里段北門小段,63.00,都市：其他:住宅區,2,1,持分移轉,03050003
RPTNMLPKOHLGFCM86DA,新生段,70.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03810000
RPXNMLPKOHLGFCM27DA,榮光段,101.32,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04910000
RPSNMLPLNHLGFCM76DA,內埔段,650.80,非都市：特定農業區 ; 非都市編定：農牧用地,12424,650,持分移轉,09180000
RPSNMLPLNHLGFCM76DA,內埔段,650.80,非都市：特定農業區 ; 非都市編定：農牧用地,12424,650,持分移轉,09180000
RPWNMLSJOHLGFCM37DA,寶湖窟段,267.41,都市：其他:農業區,27652944,1283566,持分移轉,00040000
RPPNMLMLNHLGFCM78DA,麒麟段,3785.27,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06250000
RPSNMLLJOHLGFCM88DA,忠孝段,23.11,都市：其他:住宅區,10000,116,持分移轉,03240000
RPTNMLLJOHLGFDM09DA,延祥段,121.53,都市：其他:住宅區,1,1,全筆移轉,02030000
RPTNMLLJOHLGFDM09DA,延祥段,1.15,都市：其他:住宅區,1,1,全筆移轉,02040000
RPQNMLMKOHLGFCM88DA,福興段,788.00,非都市：一般農業區 ; 非都市編定：農牧用地,3,1,持分移轉,13410000
RPQNMLMKOHLGFCM88DA,福興段,1206.33,非都市：一般農業區 ; 非都市編定：農牧用地,3,1,持分移轉,13430000
RPPNMLLKOHLGFBM58DA,頂園段,101.36,都市：其他:農業區,1,1,全筆移轉,03730005
RPTNMLPLNHLGFAM66DA,光復段,3013.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02330000
RPRNMLMKOHLGFCM98DA,眉原段,390.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06160000
RPPNMLMJOHLGFAM48DA,包尾段,10.99,都市：其他:第一種商業區,100000,795,持分移轉,08070019
RPPNMLSJOHLGFDM86EA,新桶頭段,229.86,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00580000
RPPNMLSJOHLGFDM86EA,新桶頭段,162.15,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00600000
RPPNMLSJOHLGFDM86EA,新桶頭段,335.68,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00630000
RPVNMLMKOHLGFBM66DA,新富仁段,3270.72,都市：其他:產業專用區,1,1,全筆移轉,05670033
RPTOMLLKOHLGFCM56DA,山楂腳段,1819.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00400000
RPPNMLKKOHLGFCM58DA,東潤段,88.56,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05440000
RPPNMLKKOHLGFCM58DA,東潤段,8.31,非都市：特定農業區 ; 非都市編定：丁種建築用地,140,1,持分移轉,06810000
RPRNMLLJOHLGFCM78DA,和平段,20.24,都市：其他:商業區,100000,1232,持分移轉,02670000
RPUNMLPKOHLGFCM96DA,文頭股段,9.93,都市：其他:住宅區,100000,2292,持分移轉,02170000
RPPNMLNKOHLGFCM88DA,忠良段,3102.42,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08720000
RPUNMLPKOHLGFCM96DA,文頭股段,56.45,都市：其他:住宅區,1,1,全筆移轉,02300000
RPPNMLTJNHLGFDM76DA,竹圍子段硘磘小段,106.00,都市：其他:住宅區,1,1,全筆移轉,02780002
RPPNMLRJNHLGFAM88DA,車頭段,399.03,都市：其他:農業區,1,1,全筆移轉,02450002
RPPNMLRJNHLGFAM88DA,車頭段,257.46,都市：其他:住宅區,1,1,全筆移轉,02460000
RPPNMLRJNHLGFAM88DA,車頭段,37.71,都市：其他:住宅區,1,1,全筆移轉,03250000
RPPNMLRJNHLGFAM88DA,車頭段,58.72,都市：其他:道路用地,1,1,全筆移轉,03260000
RPPNMLOJOHLGFCM88DA,水源段,1593.80,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,13380000
RPSNMLNJOHLGFBM98DA,加老段,22.96,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,2842,持分移轉,00270000
RPSNMLNJOHLGFBM98DA,加老段,95.05,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00270004
RPPNMLPKOHLGFDM56DA,仁德段,98.85,都市：其他:住宅區,1,1,全筆移轉,02520110
RPPNMLPKOHLGFDM56DA,仁德段,13.45,都市：其他:住宅區,28,1,持分移轉,02520112
RPPNMLTJOHLGFAM56DA,牛運堀段,970.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03330000
RPPNMLTJOHLGFAM56DA,牛運堀段,1077.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03370000
RPPNMLLKOHLGFBM68EA,復興段,87.14,非都市：鄉村區 ; 非都市編定：交通用地,2,1,持分移轉,10480000
RPPNMLLKOHLGFBM68EA,復興段,222.51,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,10490000
RPPNMLLKOHLGFBM68EA,復興段,222.46,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,10500000
RPQNMLPKOHLGFDM66DA,延祥段,130.29,都市：其他:住宅區,1,1,全筆移轉,02580008
RPQNMLPKOHLGFDM66DA,延祥段,7.15,,1,1,全筆移轉,02940008
RPRNMLPKOHLGFDM86EA,菩提段,75.00,都市：其他:住宅區,1,1,全筆移轉,04880000
RPPNMLPKOHLGFBM98DA,中興段,200.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08960000
RPUNMLTJOHLGFCM27DA,埔里段梅子腳小段,72.00,都市：其他:住宅區,1,1,全筆移轉,00510051
RPVNMLTJOHLGFCM37DA,牛尾段,633.90,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04580000
RPVNMLTJOHLGFCM37DA,牛尾段,633.87,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04600000
RPSNMLLJOHLGFBM78DA,玉峰段,19.69,都市：其他:住宅區,100000,587,持分移轉,01960000
RPPNMLRLNHLGFCM66DA,坪仔頂段,471.20,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,11870001
RPQNMLPLNHLGFAM98DA,永昌段,148.88,都市：其他:乙種工業區,1,1,全筆移轉,08750000
RPQNMLSJOHLGFAM66EA,大崗段,207.00,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,01140004
RPVNMLPKOHLGFBM96DA,新富仁段,2555.87,都市：其他:產業專用區,1,1,全筆移轉,08740008
RPQNMLSJOHLGFDM86DA,延祥段,83.51,都市：其他:住宅區,1,1,全筆移轉,01640006
RPQNMLSJOHLGFDM86DA,延祥段,.61,都市：其他:道路用地,18,1,持分移轉,01660000
RPPOMLQLNHLGFBM56DA,草屯段,111.00,都市：其他:商業區,1,1,全筆移轉,00350049
RPTNMLMKOHLGFBM09DA,碧峰段,81.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,10000000
RPTNMLMKOHLGFBM09DA,碧峰段,73.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,10010000
RPQNMLTJOHLGFBM76DA,北投堡段,32.03,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,8139,持分移轉,01650001
RPQNMLTJOHLGFBM76DA,北投堡段,81.38,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01650007
RPQNMLOJOHLGFCM98DA,內池段,16.92,都市：其他:住宅區,20,1,持分移轉,09720000
RPQNMLOJOHLGFCM98DA,內池段,82.69,都市：其他:住宅區,1,1,全筆移轉,09720017
RPQNMLOJOHLGFCM98DA,內池段,17.06,都市：其他:道路用地,21,1,持分移轉,10120000
RPSNMLOKMHLGFAM88DA,北田子段,2482.36,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08730000
RPVNMLKKMHLGFAM78DA,三塊厝段,81.00,都市：其他:住宅區,1,1,全筆移轉,01930039
RPSNMLMKOHLGFCM09DA,眉原段,370.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06180000
RPRNMLLKOHLGFDM98DA,田東段,7042.23,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,06710000
RPTNMLPKOHLGFDM96DA,新大坑段,1350.78,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00080000
RPOOMLQKMHLGFBM88DA,中興段,82.00,都市：其他:住宅區,1,1,全筆移轉,15380013
RPOOMLPKOHLGFCM09DA,史港段,1333.01,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03710000
RPUNMLPKOHLGFDM07DA,新大坑段,976.16,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00110000
RPPNMLPKOHLGFDM66EA,文田段,1783.04,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,05600000
RPPNMLLKOHLGFAM58EA,大崗段,54576.00,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,04560000
RPPNMLRLNHLGFAM09DA,東新厝段,2513.33,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02790000
RPQNMLPKNHLGFAM88DA,新豐段,50.52,都市：其他:住宅區,1,1,全筆移轉,06840009
RPQNMLPKNHLGFAM88DA,新豐段,18.55,都市：其他:住宅區,26,1,持分移轉,06840030
RPQNMLMKOHLGFDM98DA,埔頭段,5.32,都市：其他:住宅區,28,1,持分移轉,02910000
RPQNMLMKOHLGFDM98DA,埔頭段,98.00,都市：其他:住宅區,1,1,全筆移轉,02910027
RPQNMLMKOHLGFDM98DA,埔頭段,3.86,都市：其他:住宅區,28,1,持分移轉,02910052
RPQNMLMKOHLGFDM98DA,埔頭段,21.55,都市：其他:住宅區,22,1,持分移轉,02910053
RPQNMLKKOHLGFDM78DA,中正段,9.95,都市：其他:商業區,1000,39,持分移轉,08250000
RPQNMLKKOHLGFDM78DA,中正段,4.41,都市：其他:商業區,1000,39,持分移轉,08250001
RPQNMLKKOHLGFDM78DA,中正段,7.72,都市：其他:住宅區,1000,39,持分移轉,08260000
RPQNMLKKOHLGFDM78DA,中正段,1.40,都市：其他:住宅區,1000,39,持分移轉,08260001
RPQNMLKKOHLGFDM78DA,中正段,1.99,都市：其他:住宅區,1000,39,持分移轉,08280001
RPVNMLPJOHLGFDM07DA,中正段,9.95,都市：其他:商業區,1000,39,持分移轉,08250000
RPVNMLPJOHLGFDM07DA,中正段,4.41,都市：其他:商業區,1000,39,持分移轉,08250001
RPVNMLPJOHLGFDM07DA,中正段,7.72,都市：其他:住宅區,1000,39,持分移轉,08260000
