鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
埔里鎮,租賃房屋,南投縣埔里鎮建國三巷９號,0.0,,,,1150513,土地0建物1車位0,全,3,透天厝,住宅、樓梯間,鋼筋混凝土造,1030331,114.45,4,2,3,有,無,有,19800,173,,0.0,0,,RPPNMLNKNHLGFCM88CC,整棟(戶)出租,無,1150701~1160630,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
南投市,租賃房屋+車位,南投縣南投市信義街１號１３樓之２,0.0,,,,1150516,土地0建物1車位1,見其他登記事項,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821110,142.57,4,2,3,有,有,有,18100,141,坡道平面,15.2,100,租金總額含管理費；,RPSNMLTKNHLGFAM96CC,獨立套房,有,1150520~1160519,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,
埔里鎮,租賃房屋,南投縣埔里鎮七賢一街２３號,0.0,,,,1150518,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0690521,87.62,4,2,2,有,無,有,13000,148,,0.0,0,,RPQNMLTKNHLGFCM96CC,整棟(戶)出租,無,1150701~1160630,無,熱水器,社會住宅代管
魚池鄉,租賃房屋,南投縣魚池鄉有水巷３１之１４４號,0.0,,,,1150518,土地0建物1車位0,全,1,透天厝,住家用,加強磚造,0700123,20.46,1,1,1,有,無,有,7000,342,,0.0,0,,RPRNMLTKNHLGFCM07CC,整棟(戶)出租,無,1150612~1160611,無,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
竹山鎮,租賃房屋,南投縣竹山鎮竹山路１３１號,282.0,商,,,1150519,土地4建物1車位0,見其他登記事項,4,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0870721,649.34,6,6,7,有,無,無,30000,46,,0.0,0,,RPPNMLTKNHLGFDM96CC,,無,1150625~1180624,無,,
南投市,租賃房屋,南投縣南投市仁德路６２號,0.0,,,,1150518,土地0建物1車位0,全,3,透天厝,騎樓、住宅、停車空間、樓梯間,鋼筋混凝土造,1110919,154.6,3,3,5,有,無,有,22000,142,,0.0,0,,RPPNMLKLNHLGFAM48CC,整棟(戶)出租,無,1150520~1160519,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
埔里鎮,租賃房屋,南投縣埔里鎮墘溪路１１之５號,0.0,,,,1150519,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0870720,120.8,3,2,2,有,無,有,12000,99,,0.0,0,,RPPNMLKLNHLGFCM68CC,整棟(戶)出租,無,1150610~1160609,無,冷氣、熱水器、冰箱、瓦斯或天然氣,社會住宅代管
埔里鎮,租賃房屋,南投縣埔里鎮信義路９０２巷２號十樓之３,0.0,,,,1150519,土地0建物1車位0,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830813,112.32,3,2,2,有,有,有,13800,123,,0.0,0,,RPQNMLKLNHLGFCM78CC,整棟(戶)出租,有,1150701~1160630,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
魚池鄉,租賃房屋,南投縣魚池鄉有水巷３１之１６１號,0.0,,,,1150513,土地0建物1車位0,全,1,透天厝,住家用,加強磚造,0700123,18.21,1,1,1,有,無,有,2000,110,,0.0,0,,RPPNMLMLNHLGFCM88CC,整棟(戶)出租,無,1150515~1160514,無,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
草屯鎮,租賃房屋,南投縣草屯鎮中正路７５５號十樓之４,0.0,,,,1150514,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830117,43.31,1,1,1,有,有,有,5500,127,,0.0,0,,RPPNMLTJOHLGFBM76CC,獨立套房,有,1150520~1180519,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
草屯鎮,租賃房屋,南投縣草屯鎮中興路２３０號十三樓之６,0.0,,,,1150520,土地0建物1車位0,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830721,39.75,1,1,1,有,有,有,6500,164,,0.0,0,,RPQNMLTJOHLGFBM86CC,獨立套房,有,1150530~1160529,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
南投市,租賃房屋,南投縣南投市祖祠路２４２巷３號,0.0,,,,1150519,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0670629,107.54,4,2,2,有,無,有,11000,102,,0.0,0,,RPRNMLQKOHLGFAM66CC,整棟(戶)出租,無,1150610~1180609,無,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
南投市,租賃房屋,南投縣南投市永鳴路８巷１０號,0.0,,,,1150519,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0770630,110.01,3,2,2,有,無,有,8000,73,,0.0,0,,RPSNMLQKOHLGFAM76CC,整棟(戶)出租,無,1150610~1180609,無,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
