編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPRNMLQKOHLGFAM66CC,48,107.54,住家用,鋼筋混凝土加強磚造,67年6月29日,二層,,
RPSNMLTKNHLGFAM96CC,33,142.57,住家用,鋼筋混凝土造,82年11月10日,十四層,,
RPPNMLKLNHLGFAM48CC,4,154.60,騎樓、住宅、停車空間、樓梯間,鋼筋混凝土造,111年9月19日,三層,,
RPPNMLTKNHLGFDM96CC,28,649.34,住商用,鋼筋混凝土造,87年7月21日,四層,,
RPSNMLQKOHLGFAM76CC,38,110.01,住家用,加強磚造,77年6月30日,二層,,
RPPNMLMLNHLGFCM88CC,45,18.21,住家用,加強磚造,70年1月23日,一層,,
RPPNMLKLNHLGFCM68CC,28,120.80,住家用,鋼筋混凝土造,87年7月20日,三層,,
RPQNMLKLNHLGFCM78CC,32,89.44,住家用,鋼筋混凝土造,83年8月13日,十五層,,
RPQNMLKLNHLGFCM78CC,32,22.88,防空避難室、停車空間、梯間、公共設施,鋼筋混凝土造,83年8月13日,十五層,,
RPRNMLTKNHLGFCM07CC,45,20.46,住家用,加強磚造,70年1月23日,一層,,
RPPNMLNKNHLGFCM88CC,12,114.45,住宅、樓梯間,鋼筋混凝土造,103年3月31日,三層,,
RPQNMLTKNHLGFCM96CC,46,87.62,住家用,加強磚造,69年5月21日,二層,,
RPPNMLTJOHLGFBM76CC,32,29.73,住家用,鋼筋混凝土造,83年1月17日,十二層,,
RPPNMLTJOHLGFBM76CC,32,13.58,防空避難室、梯間、門廳、機械室、水箱,鋼筋混凝土造,83年1月17日,十二層,,
RPQNMLTJOHLGFBM86CC,32,25.13,住家用,鋼筋混凝土造,83年7月21日,十三層,,
RPQNMLTJOHLGFBM86CC,32,14.62,停車場、防空避難室、梯間、走道、水箱、機房,鋼筋混凝土造,83年7月21日,十三層,,
