鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
員林市,土地,三潭段735地號,53.6,,特定農業區,農牧用地,1150603,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,324200,6049,,0.0,0,,RPPNMLTJOHLGFDN07EA,0.0,0.0,0.0,無,001
花壇鄉,土地,溪南段1688地號,152.89,,特定農業區,甲種建築用地,1150604,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1840000,12035,,0.0,0,土地增值稅、簽約費及實價登錄費由買方支付。親友、員工、共有人或其他特殊關係間之交易；,RPQNMLKKOHLGFAN58DA,0.0,0.0,0.0,無,002
員林市,土地,員埔段555地號,72.4,,特定農業區,甲種建築用地,1150601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1100000,15193,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLLJOHLGFDN76DA,0.0,0.0,0.0,無,003
員林市,土地,水源段269地號,23.64,商,,,1150602,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,429000,18147,,0.0,0,本案賣方為賣清。,RPUNMLMJOHLGFDN76DA,0.0,0.0,0.0,無,004
溪州鄉,土地,新興段608地號,822.02,,特定農業區,農牧用地,1150602,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2000000,2433,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPVNMLTJOHLGFFN77DA,0.0,0.0,0.0,無,
芳苑鄉,土地,芳墘段1172地號,242.05,,鄉村區,乙種建築用地,1150607,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,920000,3801,,0.0,0,,RPPNMLLKOHLGFGN56DA,0.0,0.0,0.0,無,
秀水鄉,土地,秀水段183-17地號,7.27,,,,1150601,土地6建物0車位0,,,其他,,,,0.0,0,0,0,無,無,100000,13755,,0.0,0,,RPPNMLLKOHLGFAN58DA,0.0,0.0,0.0,無,005
秀水鄉,土地,秀福段748地號,153.78,住,,,1150604,土地8建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3294570,21424,,0.0,0,,RPTNMLPKOHLGFAN76DA,0.0,0.0,0.0,無,
員林市,房地(土地+建物)+車位,彰化縣員林市合作街３７號四樓,19.0,住,,,1150605,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820107,112.13,3,2,3,有,有,6600000,58860,坡道平面,0.0,0,其他增建；,RPVNMLMKOHLGFDN96DA,79.79,0.0,6.69,有,006
和美鎮,土地,和東段30-6地號,60.0,,鄉村區,乙種建築用地,1150601,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1080000,18000,,0.0,0,,RPPNMLPKOHLGFBN56EA,0.0,0.0,0.0,無,
花壇鄉,土地,南口段656地號,5.54,住,,,1150611,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,301668,54453,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLLKOHLGFAN68DA,0.0,0.0,0.0,無,007
鹿港鎮,土地,東昇段698地號,17.92,,特定農業區,農牧用地,1150601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,69875,3899,,0.0,0,未登記建物；,RPQNMLPKOHLGFCN66DA,0.0,0.0,0.0,無,
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮頂厝巷２１之６號,156.0,農,,,1150602,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0760626,154.96,5,2,2,有,無,9000000,58080,,0.0,0,,RPQNMLQKOHLGFCN76DA,154.96,0.0,0.0,無,008
大村鄉,土地,大西段334地號,2299.88,,特定農業區,農牧用地,1150608,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,8000000,3478,,0.0,0,土地增值稅買方負擔二分之一。親友、員工、共有人或其他特殊關係間之交易；未登記建物；急買急賣；,RPRNMLPKOHLGFDN86DA,0.0,0.0,0.0,無,
員林市,房地(土地+建物)+車位,彰化縣員林市員水路二段３５０巷８號四樓,25.13,住,,,1150610,土地1建物1車位1,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821104,130.17,3,2,2,有,有,6560000,50396,坡道機械,0.0,0,,RPUNMLPKOHLGFDN17DA,89.64,0.0,15.94,有,009
溪湖鎮,土地,頂庄段676地號,318.5,都市：其他:道路用地,,,1150601,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3000000,9419,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLPKOHLGFHN17DA,0.0,0.0,0.0,無,
彰化市,房地(土地+建物),彰化縣彰化市中央路１７巷４４號,239.0,都市：其他:住宅區,,,1150518,土地4建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0691128,126.06,6,2,2,有,無,9000000,71395,,0.0,0,1.大埔段600-78地號住宅區買賣價款新台幣500萬元整2.大埔段600-80地號住宅區買賣價款新台幣45萬元整3.大埔段600-123地號公共設施用地買賣價款新台幣75萬元整4.大埔段600-124地號公共設施用地買賣價款新台幣180萬元整5.建物買賣價款新台幣100萬元整頂樓加蓋；其他增建；未登記建物；急買急賣；,RPTNMLPJOHLGFAN66DA,126.06,0.0,0.0,無,010
彰化市,房地(土地+建物)+車位,彰化縣彰化市金馬路三段９５巷６號十樓,19.36,住,,,1150507,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830623,144.47,3,2,2,有,有,6800000,47072,升降機械,0.0,0,車位編號 : 機上8號,RPVPNLTJOHLGFAN57DA,107.48,0.95,11.96,有,
和美鎮,土地,柑竹段210地號,2077.63,,特定農業區,農牧用地,1150525,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6280000,3023,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLOJOHLGFBN56DA,0.0,0.0,0.0,無,
和美鎮,房地(土地+建物),彰化縣和美鎮慶東街４８號,111.55,住,,,1150520,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0820730,292.78,8,3,4,有,無,3000000,10247,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLSJOHLGFBN66DA,283.06,9.72,0.0,無,
鹿港鎮,土地,東昇段140-1地號,129.5,住,,,1150522,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5092100,39321,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLPJOHLGFCN09DA,0.0,0.0,0.0,無,
