編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPVNMLMKOHLGFDN96DA,33,86.48,住家用,鋼筋混凝土造,82年1月7日,七層,四層 陽台,全筆移轉
RPVNMLMKOHLGFDN96DA,33,25.65,共用部份,鋼筋混凝土造,82年1月7日,七層,,持分移轉
RPQNMLQKOHLGFCN76DA,39,154.96,住家用,加強磚造,76年6月26日,二層,一層 二層 騎樓,全筆移轉
RPRNMLTLNHLGFDN27DA,22,108.47,住家用,鋼筋混凝土造,93年6月29日,四層,一層 二層 三層 四層 陽台 屋頂突出物 騎樓 車庫,持分移轉
RPQNMLNJOHLGFDN09DA,55,73.21,住家用,木石磚造（磚石造）,60年1月2日,二層,一層 二層,全筆移轉
RPQNMLSJOHLGFDN96DA,31,60.01,住家用,有牆鋼架造,83年12月8日,一層,一層 騎樓,全筆移轉
RPQNMLSJOHLGFEN07DA,2,225.95,店舖、停車空間、住宅,鋼筋混凝土造,113年2月7日,四層,一層 二層 三層 四層 陽台 見其他登記事項,全筆移轉
RPUNMLPKOHLGFDN17DA,33,105.58,住家用,鋼筋混凝土造,82年11月4日,八層,四層 陽台,全筆移轉
RPUNMLPKOHLGFDN17DA,33,24.59,共用部份,鋼筋混凝土造,82年11月4日,八層,,持分移轉
RPTNMLPJOHLGFAN66DA,45,126.06,住商用,鋼筋混凝土造,69年11月28日,三層,一層 二層 三層,全筆移轉
RPTNMLOJOHLGFAN56DA,1,53.45,集合住宅,鋼筋混凝土造,114年9月25日,六層,四層 陽台,全筆移轉
RPTNMLOJOHLGFAN56DA,1,27.43,防空避難室兼停車場、水箱、緊急發電機室、消防機房、電信室、台電配電室、電梯間、外廊、車道、停車空間、梯廳、管委會空間、樓梯間、水錶區,鋼筋混凝土造,114年9月25日,九層,,持分移轉
RPWNMLRJNHLGFAN07DA,26,88.20,遊藝場、撞球場、消防機械室,鋼骨造,89年8月15日,二層,一層 二層,持分移轉
RPPNMLTJOHLGFFN27EA,2,182.55,住宅,鋼筋混凝土造,113年8月1日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPVNMLMJOHLGFDN86DA,2,184.08,住宅,鋼筋混凝土造,113年10月30日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPRNMLOKNHLGFDN66DA,1,132.80,住宅,鋼筋混凝土造,114年9月23日,三層,一層 二層 三層 陽台,全筆移轉
RPPNMLSJOHLGFDN86DA,28,233.48,住家用,鋼筋混凝土造,87年9月7日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPTNMLKKOHLGFDN56DA,8,86.58,集合住宅,鋼筋混凝土造,107年1月3日,十五層,八層 陽台 雨遮,全筆移轉
RPTNMLKKOHLGFDN56DA,8,57.09,本共有部分係依使用執照之建築概要表記載項目有停車空間、水箱、安全梯、排煙室、消防機房、機械室、污水機房、防空避難室兼停車空間、台電配電室、水景機房、發電機室、電信室、車道、管委會使用空間、梯廳、開放空間、資源回收室、管道間、梯間、水錶室等２０項,鋼筋混凝土造,107年1月3日,十五層,,持分移轉
RPQNMLLLNHLGFCN88DA,3,248.21,騎樓、店鋪、住宅、樓梯間,鋼筋混凝土造,112年3月17日,三層,一層 二層 三層 騎樓 見其他登記事項,全筆移轉
RPPNMLSJOHLGFBN66DA,33,292.78,住家用,鋼筋混凝土造,82年7月30日,四層,一層 二層 三層 四層 屋頂突出物 騎樓,全筆移轉
RPQNMLTJOHLGFDN17EA,36,227.08,住家用,鋼筋混凝土造,78年12月19日,四層,一層 二層 三層 四層 防空避難室,全筆移轉
RPSNMLTJOHLGFBN07DA,45,123.88,住家用,加強磚造,70年2月11日,二層,一層 二層,全筆移轉
RPQNMLKKOHLGFGN56DA,39,123.54,住家用,鋼筋混凝土造及鋼造,76年3月6日,三層,一層 二層 三層,全筆移轉
RPRNMLOJOHLGFBN09DA,1,177.50,集合住宅、樓梯間、停車空間,鋼筋混凝土造,114年8月27日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPRNMLTLNHLGFCN17DA,1,45.61,集合住宅,鋼筋混凝土造,114年5月12日,七層,七層 陽台,全筆移轉
RPRNMLTLNHLGFCN17DA,1,19.33,共有部分,鋼筋混凝土造,114年5月12日,七層,,持分移轉
RPQNMLMKOHLGFCN98DA,33,11.35,見其他登記事項,鋼筋混凝土造,82年8月4日,五層,,持分移轉
RPQNMLMKOHLGFCN98DA,33,99.39,住家用,鋼筋混凝土造,82年8月4日,五層,三層,全筆移轉
RPWNMLLJOHLGFDN86DA,12,200.39,住家用,鋼筋混凝土造,103年4月30日,二層,一層 二層 陽台 屋頂突出物,全筆移轉
RPQNMLKKOHLGFDN88DA,7,110.08,集合住宅,鋼筋混凝土造,108年5月7日,十三層,十層 陽台 雨遮,全筆移轉
RPQNMLKKOHLGFDN88DA,7,55.21,共有部分主要用途項目有：停車空間、防空避難室兼停車空間、台電配電場所、公共服務空間等四項,鋼筋混凝土造,108年5月7日,十三層,,持分移轉
RPQNMLKKOHLGFDN88DA,7,26.95,共有部分主要用途項目有：樓梯間、電梯機房、水箱等三項,鋼筋混凝土造,108年5月7日,十三層,,持分移轉
RPSNMLQLNHLGFEN17DA,1,152.20,住家用,鋼筋混凝土造,114年3月6日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPSNMLPJOHLGFDN86DA,1,195.15,人行道，店鋪，住宅,鋼筋混凝土造,114年5月1日,四層,一層 二層 三層 四層 陽台 騎樓,全筆移轉
RPPNMLPJOHLGFAN88DA,53,244.35,住家用,鋼筋混凝土加強磚造,62年10月12日,三層,一層 二層 三層 騎樓,全筆移轉
RPPNMLKKOHLGFAN48DA,33,168.00,住家用,鋼筋混凝土造,82年10月26日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPVPNLTJOHLGFAN57DA,32,112.74,住家用,鋼筋混凝土造,83年6月23日,十三層,十層 陽台 花台,全筆移轉
RPVPNLTJOHLGFAN57DA,32,7.65,停車空間,鋼筋混凝土造,83年6月23日,十三層,地下層,持分移轉
RPVPNLTJOHLGFAN57DA,32,24.08,停車空間、避難室、梯間,鋼筋混凝土造,83年6月23日,十三層,,持分移轉
RPWNMLMKOHLGFAN76DA,34,30.42,住家用,鋼筋混凝土造,81年9月22日,四層,一層 二層 三層 四層 屋頂突出物 騎樓,持分移轉
RPWNMLMKOHLGFDN07DA,19,171.28,停車空間、住宅,鋼筋混凝土造,96年4月25日,四層,一層 二層 三層 四層 陽台 雨遮,全筆移轉
RPQNMLMKOHLGFEN56DA,26,285.53,住家用,鋼筋混凝土造,89年4月24日,四層,一層 二層 三層 四層,全筆移轉
RPRNMLSJOHLGFFN27DA,31,129.58,住家用,鋼筋混凝土造,84年7月27日,三層,一層 二層 三層 屋頂突出物,全筆移轉
RPWNMLTJOHLGFFN87DA,1,75.10,集合住宅,鋼筋混凝土造,114年9月16日,五層,三層 陽台,全筆移轉
RPQNMLSJOHLGFFN17DA,30,128.16,住家用,鋼筋混凝土造,85年1月30日,三層,一層 二層 三層 陽台,全筆移轉
RPWNMLTJOHLGFFN87DA,1,42.86,本共有部分係依使用執照之建築物概要表記載項目：停車空間、機電設備、垃圾集中貯存空間、梯廳、安全梯、昇降機、入口雨遮、陽台、樓梯間、水箱等１０項。,鋼筋混凝土造,114年9月16日,五層,,持分移轉
RPQNMLOJOHLGFAN88DA,1,163.07,住宅、樓梯間,鋼筋混凝土造,114年3月14日,三層,一層 二層 三層 屋頂突出物,全筆移轉
RPPNMLPKOHLGFFN86DA,7,144.50,騎樓〈人行道〉、住宅,鋼筋混凝土造,108年11月22日,三層,一層 二層 三層 陽台 騎樓,全筆移轉
