編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVNMLMKOHLGFDN96DA,地政段,19.00,都市：其他:第二種住宅區,431,19,持分移轉,02480000
RPQNMLQKOHLGFCN76DA,永安段,156.00,都市：其他:農業區,1,1,全筆移轉,24850005
RPQNMLPKOHLGFCN66DA,東昇段,17.92,非都市：特定農業區 ; 非都市編定：農牧用地,180,3,持分移轉,06980000
RPPNMLPKOHLGFBN56EA,和東段,13.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00290021
RPPNMLPKOHLGFBN56EA,和東段,47.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00300006
RPSNMLOJOHLGFBN56DA,柑竹段,486.40,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02090000
RPSNMLOJOHLGFBN56DA,柑竹段,1591.23,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02100000
RPPNMLPJOHLGFCN09DA,東昇段,111.00,都市：其他:住宅區,6,3,持分移轉,01400001
RPPNMLPJOHLGFCN09DA,東昇段,18.50,都市：其他:住宅區,6,3,持分移轉,01430000
RPRNMLTLNHLGFDN27DA,地政段,5.50,都市：其他:第二種住宅區,270,11,持分移轉,02050004
RPSNMLSJOHLGFDN17DA,福中段,268.27,非都市：鄉村區 ; 非都市編定：乙種建築用地,144,48,持分移轉,04590000
RPRNMLTLNHLGFDN27DA,地政段,32.00,都市：其他:第二種住宅區,2,1,持分移轉,02050005
RPQNMLNJOHLGFDN09DA,東北段,68.97,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00630006
RPQNMLSJOHLGFDN96DA,仁愛段,99.00,都市：其他:第二種住宅區,1,1,全筆移轉,08330000
RPQNMLSJOHLGFEN07DA,廣興段,87.08,都市：其他:住宅區,1,1,全筆移轉,04700003
RPTNMLPLNHLGFHN47DA,北勢段,6.93,非都市：鄉村區 ; 非都市編定：乙種建築用地,15,1,持分移轉,09800000
RPTNMLPLNHLGFHN47DA,北勢段,97.46,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,09800008
RPVNMLLJOHLGFDN76DA,員埔段,72.40,非都市：特定農業區 ; 非都市編定：甲種建築用地,600,15,持分移轉,05550000
RPUNMLMJOHLGFDN76DA,水源段,23.64,都市：其他:商業區,1607718528,23617660,持分移轉,02690000
RPRNMLPKOHLGFDN86DA,大西段,2217.13,非都市：特定農業區 ; 非都市編定：農牧用地,291800,277268,持分移轉,03340000
RPRNMLPKOHLGFDN86DA,大西段,82.75,非都市：特定農業區 ; 非都市編定：甲種建築用地,29180,4844,持分移轉,03350000
RPUNMLPKOHLGFDN17DA,仁愛段,25.13,都市：其他:第二種住宅區,10000,61,持分移轉,11970000
RPTNMLPJOHLGFAN66DA,大埔段,70.20,都市：其他:住宅區,1,1,全筆移轉,06000078
RPTNMLPJOHLGFAN66DA,大埔段,32.00,都市：其他:綠地(兼作溝渠使用),1,1,全筆移轉,06000080
RPTNMLPJOHLGFAN66DA,大埔段,5.80,都市：其他:綠地(兼作溝渠使用),1,1,全筆移轉,06000123
