編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPVNMLMKOHLGFDN96DA,坡道平面,0,,地下一樓
RPUNMLPKOHLGFDN17DA,坡道機械,0,,地下一樓
RPTNMLKKOHLGFDN56DA,坡道平面,0,14.47,地下二樓
RPQNMLTJOHLGFDN17EA,坡道平面,0,,地下一樓
RPQNMLTJOHLGFDN17EA,坡道平面,0,,地下一樓
RPQNMLKKOHLGFDN88DA,坡道平面,0,30.55,地下一樓
RPVPNLTJOHLGFAN57DA,升降機械,0,,地下一樓
RPWNMLTJOHLGFFN87DA,一樓平面,1200000,22.24,一樓
RPRNMLOJNHLGFAN88DA,坡道機械,800000,,地下二樓
RPTNMLPJOHLGFBN76DA,一樓平面,0,26.21,一樓
RPUNMLPJOHLGFBN86DA,一樓平面,0,26.21,一樓
RPVNMLPJOHLGFBN96DA,一樓平面,0,26.21,一樓
RPWNMLPJOHLGFBN07DA,一樓平面,0,26.21,一樓
RPSNMLKKOHLGFDN09DA,坡道平面,0,33.33,地下二樓
RPRNMLSKNHLGFDN07DA,坡道平面,0,,地下一樓
RPTNMLKMMHLGFFN76DA,一樓平面,0,,一樓
RPSNMLTJOHLGFHN67DA,一樓平面,0,,一樓
RPSNMLRLNHLGFAN86DA,坡道平面,0,,地下一樓
RPSOMLMKOHLGFDN76DA,坡道平面,0,29.45,地下一樓
RPVNMLOJOHLGFFN27DA,一樓平面,1200000,22.24,一樓
RPWNMLTJOHLGFHN08DA,升降機械,700000,6.94,地下一樓
RPRNMLTJOHLGFHN57DA,升降機械,0,6.88,一樓
RPWNMLNJOHLGFAN76DA,坡道平面,0,26.57,地下一樓
RPWNMLNJOHLGFAN76DA,坡道平面,0,26.57,地下一樓
RPPNMLTJOHLGFDN96DA,一樓平面,0,,一樓
RPQNMLMKOHLGFFN66DA,一樓平面,0,,一樓
RPQNMLMKOHLGFFN66DA,一樓平面,0,,一樓
RPPNMLMLNHLGFFN56DA,一樓平面,0,13.75,一樓
RPWNMLMLNHLGFDN07DA,升降機械,550000,,一樓
RPOOMLMLNHLGFDN98DA,升降機械,650000,,一樓
RPXNMLMLNHLGFDN17DA,一樓平面,1000000,,一樓
RPPSNLQJNHLGFAN86DA,坡道平面,1750000,31.19,地下二樓
RPWOMLPLNHLGFDN47DA,一樓平面,1000000,,一樓
RPXOMLPLNHLGFDN57DA,一樓平面,1000000,,一樓
RPQNMLMKOHLGFGN76DA,一樓平面,800000,17.85,一樓
RPPNMLMKOHLGFGN66DA,一樓平面,800000,17.85,一樓
RPROMLMLMHLGFEN66DA,升降機械,650000,14.71,一樓
RPSNMLMJOHLGFAN88DA,坡道機械,750000,26.59,地下三樓
RPPUMLQJNHLGFAN96DA,坡道機械,750000,25.69,地下三樓
RPOTMLQJNHLGFAN76DA,坡道平面,1750000,31.19,地下二樓
RPSOMLQJNHLGFAN66DA,坡道平面,1850000,31.19,地下一樓
RPOOMLQJNHLGFAN88DA,坡道平面,1750000,31.19,地下二樓
RPXRNLQJNHLGFAN57DA,坡道平面,1650000,31.19,地下三樓
RPSNMLLLMHLGFEN56DA,升降機械,650000,14.71,一樓
RPSNMLLLMHLGFEN56DA,升降機械,500000,14.71,一樓
RPRNMLPKOHLGFAN56DA,坡道平面,0,,地下一樓
