鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
花壇鄉,房地(土地+建物)+車位,彰化縣花壇鄉忠孝街241號斜對面空地,41.53,住,,,1150511,土地4建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,105.38,2,2,2,有,無,10800000,103023,一樓平面,17.05,1700000,,RPPNMLMKNHLGFAN58CB,陶璽2026,B棟6號,
社頭鄉,房地(土地+建物),彰化縣社頭鄉清興路,97.22,,一般農業區,甲種建築用地,1150515,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,167.39,4,3,3,有,無,10500000,62728,,0.0,0,,RPPNMLPKNHLGFEN66CB,良偉臻藏二期,B棟2號,
社頭鄉,房地(土地+建物),彰化縣社頭鄉社斗路一段19巷,39.08,住,,,1150516,土地3建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,80.28,2,2,1,有,無,5850000,72870,,0.0,0,,RPPNMLQKNHLGFEN76CB,花田拾翠,B棟5號,
花壇鄉,房地(土地+建物)+車位,彰化縣花壇鄉忠孝街241號斜對面空地,43.45,住,,,1150518,土地4建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,110.59,3,2,2,有,無,11560000,102805,一樓平面,14.68,1700000,,RPPNMLSKNHLGFAN56CB,陶璽2026,A棟4號,
福興鄉,房地(土地+建物)+車位,彰化縣福興鄉同安村同安巷,32.35,,鄉村區,乙種建築用地,1150511,土地2建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,82.45,2,1,1,有,無,7796000,92967,一樓平面,11.5,1200000,,RPQNMLSKNHLGFCN86CB,福安富貴,4K號,
埔心鄉,房地(土地+建物),彰化縣埔心鄉五賢路近大溪路三段,87.74,,鄉村區,乙種建築用地,1150517,土地5建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,140.07,4,1,2,有,無,9800000,69965,,0.0,0,,RPRNMLSKNHLGFHN47CB,堡量豐華梧居墅,D棟1號,
埔心鄉,房地(土地+建物)+車位,彰化縣埔心鄉員鹿路一段,26.78,,鄉村區,乙種建築用地,1150517,土地1建物1車位1,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,124.41,3,2,2,有,無,11170000,100852,一樓平面,27.04,1350000,,RPPNMLTKNHLGFHN47DB,賞自在,E棟3F號,
員林市,房地(土地+建物)+車位,彰化縣員林市彰化縣員林市員林大道四段,23.13,住,,,1150520,土地1建物1車位1,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,139.03,2,2,2,有,無,13850000,127278,坡道平面,43.57,1700000,,RPPNMLKLNHLGFDN78CB,坤悅原鄰薈,_棟E07號,
大村鄉,房地(土地+建物)+車位,彰化縣大村鄉加錫二巷,110.53,,特定農業區,甲種建築用地,1150514,土地6建物1車位1,全,4,透天厝,見其他登記事項,鋼筋混凝土造,,164.63,4,2,4,有,無,10500000,63779,其他,0.0,0,該停車位位於法定空地上,RPPNMLLLNHLGFDN98DB,大村A+,A棟6號,
