編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLSKNHLGFAN56CB,一樓平面,1700000,14.68,一樓
RPPNMLMKNHLGFAN58CB,一樓平面,1700000,17.05,一樓
RPPNMLPJOHLGFAN88CB,一樓平面,0,19.70,一樓
RPPNMLKKOHLGFAN48CB,一樓平面,0,,一樓
RPPNMLTKNHLGFHN47DB,一樓平面,1350000,27.04,一樓
RPPNMLKKOHLGFCN68CB,一樓平面,1200000,11.50,一樓
RPPNMLLLNHLGFDN98DB,其他,0,,一樓
RPQNMLSLNHLGFCN96CB,一樓平面,1400000,17.28,一樓
RPPNMLSLNHLGFCN86CB,一樓平面,1400000,17.28,一樓
RPQNMLSKNHLGFCN86CB,一樓平面,1200000,11.50,一樓
RPPNMLKLNHLGFDN78CB,坡道平面,1700000,43.57,地下二樓
