鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
彰化市,租賃房屋,彰化縣彰化市中山路二段９２０巷１０號,0.0,,,,1150511,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0581024,103.52,5,2,4,有,無,有,30000,290,,0.0,0,含增建或未登記建物；,RPQNMLLKNHLGFAN78DC,整棟(戶)出租,無,1150601~1201231,無,冷氣、熱水器、冰箱,
彰化市,租賃房屋,彰化縣彰化市中正路二段１９０巷３６號三樓之一,0.0,,,,1150511,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0701228,69.99,2,2,1,有,無,有,10000,143,,0.0,0,續租案件；,RPQNMLNKNHLGFAN88CC,整棟(戶)出租,無,1150513~1160512,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
彰化市,租賃房屋,彰化縣彰化市民族路３１５巷７１號（５A室）,0.0,,,,1150512,土地0建物0車位0,全,3,透天厝,住家、避難室,鋼筋混凝土造,0710826,19.35,9,0,9,有,無,有,5500,284,,0.0,0,含增建或未登記建物；,RPRNMLNKNHLGFAN98CC,分租套房,無,1150515~1160514,無,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般代管
彰化市,租賃房屋,彰化縣彰化市平順街１２號,0.0,,,,1150511,土地0建物0車位0,全,4,透天厝,住宅、法定停車空間,鋼筋混凝土造,1110323,47.38,5,1,6,有,無,有,18000,380,,0.0,0,多人共同承租2；租金總額含水費；網路費；其他有線電視費；續租案件；,RPSNMLOKNHLGFAN56CC,分租套房,無,1150521~1151120,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、有線電視、網路,一般轉租
彰化市,租賃房屋,彰化縣彰化市平順街１６號,0.0,,,,1150511,土地0建物0車位0,全,4,透天厝,店舖、住宅、法定停車空間,鋼筋混凝土造,1110323,16.3,5,1,6,有,無,有,8500,521,,0.0,0,租金總額含水費；網路費；其他有線電視費；,RPTNMLOKNHLGFAN66CC,分租套房,無,1150511~1160510,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
彰化市,租賃房屋,彰化縣彰化市大埔路６９２號之三樓,0.0,,,,1150514,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740810,109.68,3,2,2,有,無,有,12000,109,,0.0,0,,RPXNMLPKNHLGFAN17CC,整棟(戶)出租,無,1150515~1170309,無,熱水器、瓦斯或天然氣,社會住宅包租轉租
彰化市,租賃房屋,彰化縣彰化市民族路５２２號七樓之七,0.0,,,,1150513,土地0建物1車位0,七層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860226,44.17,1,0,1,有,有,有,8000,181,,0.0,0,續租案件；,RPOOMLPKNHLGFAN98CC,獨立套房,有,1150520~1180519,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
員林市,租賃房屋,彰化縣員林市山腳路六段３７２巷１５０弄５９號,0.0,,,,1150515,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0840606,106.92,3,1,1,有,無,有,8000,75,,0.0,0,,RPRNMLPKNHLGFDN86CC,整棟(戶)出租,無,1150515~1180514,無,熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
員林市,租賃房屋,彰化縣員林市柳橋路二段３７號二樓,0.0,,,,1150515,土地0建物1車位0,二層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800924,153.89,4,2,1,有,無,有,15000,97,,0.0,0,,RPSNMLPKNHLGFDN96CC,整棟(戶)出租,無,1150515~1160514,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
