編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLKLNHLGFAN68CC,44,19.35,住家、避難室,鋼筋混凝土造,71年8月26日,三層,,
RPSNMLOKNHLGFAN56CC,4,47.38,住宅、法定停車空間,鋼筋混凝土造,111年3月23日,四層,,
RPOOMLPKNHLGFAN98CC,29,25.99,住家用,鋼筋混凝土造,86年2月26日,九層,,
RPTNMLOKNHLGFAN66CC,4,16.30,店舖、住宅、法定停車空間,鋼筋混凝土造,111年3月23日,四層,,
RPXNMLPKNHLGFAN17CC,41,103.20,住家用,鋼筋混凝土造,74年8月10日,五層,,
RPOOMLPKNHLGFAN98CC,29,18.18,防空避難室、停車場、梯間、門廳、汽車昇降機走道,鋼筋混凝土造,86年2月26日,九層,,
RPXNMLPKNHLGFAN17CC,41,6.48,樓梯,鋼筋混凝土造,74年8月10日,五層,,
RPRNMLNKNHLGFAN98CC,44,19.35,住家、避難室,鋼筋混凝土造,71年8月26日,三層,,
RPQNMLNKNHLGFAN88CC,44,69.99,住家用,鋼筋混凝土造,70年12月28日,七層,,
RPPNMLKLNHLGFDN88CC,51,68.10,住家用,磚造,64年1月15日,一層,,
RPRNMLPKNHLGFDN86CC,31,106.92,住家用,鋼筋混凝土造,84年6月6日,三層,,
RPQNMLPKNHLGFHN17CC,33,20.11,住家用,鋼筋混凝土造,82年7月2日,八層,,
RPQNMLPKNHLGFHN17CC,33,6.37,共用部份,鋼筋混凝土造,82年7月2日,八層,,
RPQNMLSKNHLGFDN07CC,31,79.56,住家、國民住宅,鋼筋混凝土造,84年1月16日,九層,,
RPRNMLSKNHLGFDN17CC,13,19.79,人行道、店舖、停車空間、住宅,鋼筋混凝土造,102年4月30日,五層,,
RPPOMLPKNHLGFDN76CC,30,130.24,住家用,鋼筋混凝土造,85年6月28日,三層,,
RPQNMLSKNHLGFDN07CC,31,8.27,樓電梯,鋼筋混凝土造,84年1月16日,九層,,
RPPNMLTKNHLGFHN47CC,33,25.97,住家用,鋼筋混凝土造,82年7月2日,八層,,
RPQNMLLKNHLGFAN78DC,57,103.52,住家用,鋼筋混凝土加強磚造,58年10月24日,二層,,
RPPNMLTKNHLGFHN47CC,33,6.37,共用部份,鋼筋混凝土造,82年7月2日,八層,,
RPQNMLSKNHLGFDN07CC,31,13.52,避難室、梯間、停車空間,鋼筋混凝土造,84年1月16日,九層,,
RPQNMLTKNHLGFDN17CC,31,34.81,住家用,鋼筋混凝土造,84年11月3日,十一層,,
RPQNMLTKNHLGFDN17CC,31,15.98,避難室、停車場、走道、梯間等,鋼筋混凝土造,84年11月3日,十一層,,
RPSNMLPKNHLGFDN96CC,35,141.03,住家用,鋼筋混凝土造,80年9月24日,六層,,
RPSNMLPKNHLGFDN96CC,35,12.86,電梯、樓梯,鋼筋混凝土造,80年9月24日,六層,,
RPPNMLSKNHLGFDN96CC,3,78.73,集合住宅,鋼筋混凝土造,112年1月18日,五層,,
RPPNMLSKNHLGFDN96CC,3,34.64,本共有部分係依使用執照之建築概要表記載項目：台電配電室、消防機房、發電機房、電信室、樓梯間、騎樓、停車空間、管理室、機械室、水箱等１０項,鋼筋混凝土造,112年1月18日,五層,,
RPPNMLPKNHLGFFN86CC,3,123.85,住宅,鋼筋混凝土造,112年4月13日,三層,,
RPPNMLLLNHLGFAN68CC,32,98.80,住家用,鋼筋混凝土造,83年10月4日,十三層,,
RPPNMLLLNHLGFAN68CC,32,15.64,避難室、停車空間、梯間,鋼筋混凝土造,83年10月4日,十三層,,
RPPNMLLLNHLGFDN98CC,8,57.43,集合住宅,鋼筋混凝土造,107年5月22日,十一層,,
RPPNMLLLNHLGFDN98CC,8,65.04,本共有部分係依使用執照之建築概要表記載項目有防空避難室兼停車空間、車道、安全梯、梯廳、昇降機間、機電設備、水箱、污水機房、消防機房、停車空間、台電配電室、電信室、發電機室、公共服務空間、戶外安全梯、垃圾處理室、走廊、雨遮、梯間、水錶室、機械室等２１項,鋼筋混凝土造,107年5月22日,十一層,,
RPPNMLMLNHLGFBN88CC,34,165.03,住商用,鋼筋混凝土造,81年7月22日,三層,,
RPQNMLLLNHLGFDN09CC,37,192.48,住家用,鋼筋混凝土造,78年3月10日,三層,,
RPQNMLKLNHLGFDN98CC,31,34.81,住家用,鋼筋混凝土造,84年11月3日,十一層,,
RPQNMLKLNHLGFDN98CC,31,15.98,避難室、停車場、走道、梯間等,鋼筋混凝土造,84年11月3日,十一層,,
RPPNMLPLNHLGFDN76CC,9,91.34,集合住宅,鋼筋混凝土造,106年7月6日,十層,,
RPPNMLPLNHLGFDN76CC,9,48.36,停車空間兼防空避難室、台電配電室、機械室、管委會使用空間、安全梯間、梯廳、車道、水箱等８項,鋼筋混凝土造,106年7月6日,十層,,
RPPNMLPLNHLGFDN76CC,9,14.24,梯廳，安全梯間等２項,鋼筋混凝土造,106年7月6日,十層,,
RPRNMLSLNHLGFDN27CC,38,104.68,住家用,鋼筋混凝土造,77年3月31日,三層,,
RPPNMLKLNHLGFGN56CC,31,185.13,住家用,鋼筋混凝土造,84年7月14日,三層,,
RPPNMLRLNHLGFDN96CC,33,167.84,住商用,鋼筋混凝土造,82年1月7日,七層,,
RPPNMLRLNHLGFDN96CC,33,52.90,共用部份,鋼筋混凝土造,82年1月7日,七層,,
RPVNMLSLNHLGFAN37CC,20,18.43,住家用,鋼筋混凝土造,95年5月22日,五層,,
RPWNMLSLNHLGFAN47CC,20,19.25,住家用,鋼筋混凝土造,95年5月22日,五層,,
RPPNMLMLNHLGFHN86CC,4,58.09,人行道、店舖、集合住宅,鋼筋混凝土造,111年6月13日,七層,,
RPVNMLSLNHLGFAN37CC,20,2.05,機房,鋼筋混凝土造,95年5月22日,五層,,
RPWNMLSLNHLGFAN47CC,20,2.30,機房,鋼筋混凝土造,95年5月22日,五層,,
RPVNMLSLNHLGFAN37CC,20,11.05,走廊、梯廳、停車空間、發電機室,鋼筋混凝土造,95年5月22日,五層,,
RPWNMLSLNHLGFAN47CC,20,11.53,走廊、梯廳、停車空間、發電機室,鋼筋混凝土造,95年5月22日,五層,,
RPUNMLSLNHLGFAN27CC,37,154.91,住家用,鋼筋混凝土造,78年9月20日,三層,,
RPRNMLPLNHLGFAN66CC,30,130.28,店舖、人行道、集合住宅,鋼筋混凝土造,85年3月4日,十二層,,
