編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPOPMLLLNHLGFAO78DA,39,160.84,住家用,鋼筋混凝土造,76年8月22日,四層,一層 二層 三層 四層 屋頂突出物,全筆移轉
RPQPMLRLNHLGFAO96DA,19,83.25,集合住宅,鋼骨鋼筋混凝土造,96年7月3日,二十八層,六層 陽台 雨遮,全筆移轉
RPQPMLRLNHLGFAO96DA,19,10.13,防空避難室兼停車空間、管理室、門廳、公共設施,鋼骨鋼筋混凝土造,96年7月3日,二十八層,,持分移轉
RPQPMLRLNHLGFAO96DA,19,18.93,梯間、機房、水箱,鋼骨鋼筋混凝土造,96年7月3日,二十八層,,持分移轉
RPWNMLTLNHLGFAO57DA,7,.04,辦公室,鋼筋混凝土造,108年4月25日,二十九層,一層 騎樓,持分移轉
RPQPMLRLNHLGFAO96DA,19,.35,Ｘ中繼水箱,鋼骨鋼筋混凝土造,96年7月3日,二十八層,,持分移轉
RPWNMLTLNHLGFAO57DA,7,.03,辦公室,鋼筋混凝土造,108年4月25日,二十九層,一層 騎樓,持分移轉
RPWNMLTLNHLGFAO57DA,7,86.90,集合住宅,鋼筋混凝土造,108年4月25日,二十九層,二十三層 陽台 雨遮,全筆移轉
RPWNMLTLNHLGFAO57DA,7,.00,共有部分,鋼筋混凝土造,108年4月25日,二十九層,,持分移轉
RPWNMLTLNHLGFAO57DA,7,15.32,共有部分,鋼筋混凝土造,108年4月25日,二十九層,,持分移轉
RPWNMLTLNHLGFAO57DA,7,.01,共有部分,鋼筋混凝土造,108年4月25日,二十九層,,持分移轉
RPWNMLTLNHLGFAO57DA,7,33.06,共有部分,鋼筋混凝土造,108年4月25日,二十九層,,持分移轉
RPWNMLTLNHLGFAO57DA,7,5.66,共有部分,鋼筋混凝土造,108年4月25日,二十九層,,持分移轉
RPWNMLTLNHLGFAO57DA,7,23.41,共有部分,鋼筋混凝土造,108年4月25日,二十九層,,持分移轉
RPTOMLNJOHLGFAO66DA,4,76.18,閭鄰商業中心,鋼筋混凝土造,111年11月15日,六層,六層 陽台,全筆移轉
RPOOMLLKNHLGFAO58DA,53,99.90,住家用,加強磚造,62年5月22日,二層,一層 二層,全筆移轉
RPTOMLNJOHLGFAO66DA,4,72.80,共有部分,鋼筋混凝土造,111年11月15日,六層,,持分移轉
RPPNMLLKNHLGFAO58DA,28,53.52,住家用,鋼筋混凝土造,87年6月23日,二十二層,十層 陽台 花台,全筆移轉
RPPNMLLKNHLGFAO58DA,28,.85,社區活動中心,鋼筋混凝土造,87年6月23日,二十一層,一層 陽台 地下一層 地下二層 地下三層,持分移轉
RPPNMLLKNHLGFAO58DA,28,.17,社區活動中心,鋼筋混凝土造,87年6月23日,二十一層,一層 陽台,持分移轉
RPPNMLLKNHLGFAO58DA,28,15.68,共有部分,鋼筋混凝土造,87年6月23日,二十二層,,持分移轉
RPPNMLLKNHLGFAO58DA,28,39.38,停車空間,鋼筋混凝土造,87年6月23日,二十二層,,持分移轉
RPOOMLPKNHLGFAO98DA,,122.37,住家用,鋼筋混凝土造,,五層,四層 陽台,全筆移轉
RPOOMLPKNHLGFAO98DA,37,23.73,共有部分,鋼筋混凝土造,78年3月31日,五層,,持分移轉
RPWNMLOKNHLGFAO96DA,1,68.77,集合住宅,鋼筋混凝土造,114年9月2日,五層,五層 陽台,全筆移轉
RPWNMLOKNHLGFAO96DA,1,20.32,共有部分,鋼筋混凝土造,114年9月2日,五層,,持分移轉
RPPNMLSLNHLGFAO76DA,53,196.08,住家用,加強磚造,62年1月15日,二層,一層 二層,全筆移轉
RPUPMLPLNHLGFAO17DA,11,56.53,集合住宅,鋼筋混凝土造,104年5月20日,十五層,八層 陽台,全筆移轉
RPUPMLPLNHLGFAO17DA,11,13.94,共有部分,鋼筋混凝土造,104年5月20日,十五層,,持分移轉
RPUPMLPLNHLGFAO17DA,11,3.57,共有部分,鋼筋混凝土造,104年5月20日,十五層,,持分移轉
RPUPMLPLNHLGFAO17DA,11,40.96,共有部分,鋼筋混凝土造,104年5月20日,十五層,,持分移轉
RPSPMLNJOHLGFAO66DA,19,24.74,住宅、機電空間,鋼筋混凝土造,96年9月29日,六層,四層 雨遮,全筆移轉
RPSPMLNJOHLGFAO66DA,19,8.48,梯間、機械室、水箱,鋼筋混凝土造,96年9月29日,六層,,持分移轉
RPSPMLNJOHLGFAO66DA,19,4.10,防空避難室兼停車空間,鋼筋混凝土造,96年9月29日,六層,,持分移轉
RPVNMLKMMHLGFAO56DA,19,25.50,機電空間、辦公室,鋼筋混凝土造,96年6月6日,十層,八層 雨遮,全筆移轉
RPVNMLKMMHLGFAO56DA,19,.03,警衛室,鋼筋混凝土造,96年6月6日,十層,一層,持分移轉
RPVNMLKMMHLGFAO56DA,19,12.28,防空避難室兼停車空間、車道、梯間、機械室、水箱,鋼筋混凝土造,96年6月6日,十層,,持分移轉
RPVNMLKMMHLGFAO56DA,19,.00,防空避難室兼停車空間、車道、梯間、機械室、水箱,鋼筋混凝土造,96年6月6日,十層,,持分移轉
RPTNMLRLNHLGFAO07DA,31,115.33,住家用,鋼筋混凝土造,84年8月26日,八層,四層 陽台 花台,全筆移轉
RPTNMLRLNHLGFAO07DA,31,22.08,共有部分,鋼筋混凝土造,84年8月26日,八層,,持分移轉
RPTNMLRLNHLGFAO07DA,31,10.85,共有部分,鋼筋混凝土造,84年8月26日,八層,,持分移轉
RPWOMLTJOHLGFAO57DA,51,13.04,住家用,加強磚造,64年1月5日,二層,一層 二層 騎樓,持分移轉
RPUOMLSJOHLGFAO27DA,4,87.33,集合住宅,鋼筋混凝土造,111年10月21日,十五層,十五層 陽台,全筆移轉
RPRNMLRJOHLGFAO76DA,26,89.33,住宅,鋼筋混凝土造,89年9月30日,十二層,十二層 陽台,全筆移轉
RPUOMLSJOHLGFAO27DA,4,78.30,共有部分,鋼筋混凝土造,111年10月21日,十五層,,持分移轉
RPRNMLRJOHLGFAO76DA,26,.30,店舖,鋼筋混凝土造,89年9月30日,十二層,一層 陽台,持分移轉
RPRNMLRJOHLGFAO76DA,26,17.69,梯間、機械室、住家用,鋼筋混凝土造,89年9月30日,十二層,,持分移轉
RPRNMLRJOHLGFAO76DA,26,.07,梯間、機械室、住家用,鋼筋混凝土造,89年9月30日,十二層,,持分移轉
RPWNMLLKOHLGFAO76DA,29,18.36,辦公室,鋼筋混凝土造,86年7月15日,十二層,六層,全筆移轉
RPRNMLRJOHLGFAO76DA,26,21.93,防空避難室、停車場,鋼筋混凝土造,89年9月30日,十二層,,持分移轉
RPXNMLOJOHLGFAO07DA,1,87.69,集合住宅,鋼筋混凝土造,114年8月8日,七層,二層 陽台,全筆移轉
RPXNMLOJOHLGFAO07DA,1,15.81,共有部分,鋼筋混凝土造,114年8月8日,七層,,持分移轉
RPXNMLOJOHLGFAO07DA,1,79.71,共有部分,鋼筋混凝土造,114年8月8日,七層,,持分移轉
RPSNMLRJOHLGFAO86DA,28,25.02,住家用,鋼筋混凝土造,87年3月18日,四層,四層 陽台,全筆移轉
RPSNMLRJOHLGFAO86DA,28,6.45,共有部分,鋼筋混凝土造,87年3月18日,四層,,持分移轉
RPWNMLLKOHLGFAO76DA,29,3.36,共有部分,鋼筋混凝土造,86年7月15日,十二層,,持分移轉
RPWNMLLKOHLGFAO76DA,29,.08,共有部分,鋼筋混凝土造,86年7月15日,十二層,,持分移轉
RPRNMLRJOHLGFAO76DA,26,.08,防空避難室、停車場,鋼筋混凝土造,89年9月30日,十二層,,持分移轉
RPWNMLLKOHLGFAO76DA,29,6.80,共有部分,鋼筋混凝土造,86年7月15日,十二層,,持分移轉
RPPNMLTJOHLGFAO76DA,29,3.06,共有部分,鋼筋混凝土造,86年5月15日,五層,,持分移轉
RPTNMLPJOHLGFAO76DA,17,.03,辦公室,鋼筋混凝土造,98年3月19日,十層,地下二層,持分移轉
RPPNMLTJOHLGFAO76DA,28,68.43,住家用,鋼筋混凝土造,87年8月26日,五層,五層 陽台,全筆移轉
RPPNMLTJOHLGFAO76DA,28,9.40,共有部分,鋼筋混凝土造,87年8月26日,五層,,持分移轉
RPPOMLLKOHLGFAO78DA,17,24.20,辦公室,鋼筋混凝土造,97年12月30日,十層,七層 陽台 雨遮,全筆移轉
