鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
新竹市,房地(土地+建物)+車位,新竹市新竹市埔頂路,13.64,住,,,1150511,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.83,2,2,1,有,無,25190000,244806,坡道平面,34.94,2450000,,RPRNMLNKNHLGFAO98CB,鉑翡,D棟7F號,
新竹市,房地(土地+建物)+車位,新竹市新竹市竹香南路,21.2,,特定農業區,甲種建築用地,1150511,土地3建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.37,2,2,2,有,無,14780000,136227,坡道平面,28.29,2100000,,RPSNMLSKNHLGFAO96CB,元幸福,A3棟5號,
新竹市,房地(土地+建物)+車位,新竹市新竹市中華路一段,17.89,其他,,,1150515,土地7建物1車位1,二層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,153.8,0,0,0,無,無,23030000,168156,坡道平面,32.9,2700000,,RPPNMLSKNHLGFAO76DB,鴻序,D棟2號,
新竹市,房地(土地+建物)+車位,新竹市新竹市埔頂路,12.93,住,,,1150514,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,123.02,2,2,1,有,無,23210000,232289,坡道平面,34.94,2750000,,RPPNMLKLNHLGFAO58CB,鉑翡,E棟5F號,
新竹市,房地(土地+建物)+車位,新竹市新竹市埔頂路,13.83,住,,,1150515,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.91,2,2,1,有,無,26830000,250931,坡道平面,34.94,3250000,,RPQNMLKLNHLGFAO68CB,鉑翡,J棟9F號,
新竹市,房地(土地+建物)+車位,新竹市新竹市北區民富街,14.24,商,,,1150517,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,173.67,4,1,2,有,無,31500000,192575,坡道平面,22.56,2400000,,RPRNMLLLNHLGFAO88CB,甲子園,A棟11號,
新竹市,房地(土地+建物)+車位,新竹市新竹市香山區育德街139巷,19.03,住,,,1150511,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,115.42,2,2,2,有,無,15600000,160556,坡道平面,29.78,1850000,,RPSNMLLLNHLGFAO98CB,富源織璽,E棟13號,
新竹市,房地(土地+建物)+車位,新竹市新竹市香山區育德街139巷,19.36,住,,,1150513,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.95,2,2,2,有,無,15200000,150855,坡道平面,29.78,2050000,,RPTNMLLLNHLGFAO09CB,富源織璽,D棟5號,
新竹市,房地(土地+建物)+車位,新竹市新竹市香山區育德街139巷,19.36,住,,,1150511,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.95,2,2,2,有,無,14320000,143054,坡道平面,29.78,1850000,,RPUNMLLLNHLGFAO56CB,富源織璽,D棟3號,
新竹市,房地(土地+建物)+車位,新竹市新竹市北門街,17.39,商,,,1150515,土地3建物1車位1,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.4,3,2,2,有,無,18160000,151139,升降平面,39.17,1500000,含露臺使用7.37坪,RPRNMLMLNHLGFAO98CB,北門峰閣,10A號,
新竹市,房地(土地+建物)+車位,新竹市新竹市中華路二段,9.72,商,,,1150514,土地1建物1車位1,二十一層,24,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,127.31,2,2,1,有,無,21820000,212992,坡道平面,34.02,1950000,,RPPNMLQLNHLGFAO56CB,益展心築湛,A5棟21F號,
