鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
新竹市,租賃房屋,新竹市新竹市武陵路７０巷１０號十樓,0.0,,,,1150511,土地0建物1車位0,十層,11,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0930215,176.34,3,2,2,有,有,無,14400,82,,0.0,0,未租賃車位，建物登記含有車位面積；續租案件；,RPXNMLMKNHLGFAO96CC,整棟(戶)出租,有,1150602~1160601,有,冷氣、熱水器、瓦斯或天然氣,社會住宅包租轉租
新竹市,租賃房屋,新竹市新竹市金海福路６７號,0.0,,,,1150512,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0700625,111.24,4,2,2,有,無,無,15000,135,,0.0,0,整編後:新竹市內湖路88巷24號,RPPNMLPKNHLGFAO09CC,整棟(戶)出租,無,1150520~1170531,無,熱水器、瓦斯或天然氣,
新竹市,租賃房屋,新竹市新竹市長春街４０巷２２號,0.0,,,,1150511,土地0建物0車位0,全,2,透天厝,住家用,加強磚造,0740424,13.23,14,0,14,有,無,有,5200,393,,0.0,0,租金總額含水費；網路費；其他有線電視費；含增建或未登記建物；續租案件；,RPQNMLPKNHLGFAO56CC,分租套房,無,1150529~1160528,無,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般轉租
新竹市,租賃房屋,新竹市新竹市科學園路１２５號,0.0,,,,1150512,土地0建物0車位0,全,2,透天厝,住家用,鋼筋混凝土造,0770720,47.0,5,0,5,有,無,有,7300,155,,0.0,0,租金總額含水費；網路費；其他有線電視費；續租案件；,RPRNMLPKNHLGFAO66CC,分租套房,無,1150515~1160514,無,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般轉租
新竹市,租賃房屋,新竹市新竹市科學園路１２５號,0.0,,,,1150514,土地0建物0車位0,全,2,透天厝,住家用,鋼筋混凝土造,0770720,47.0,5,0,5,有,無,有,6100,130,,0.0,0,租金總額含水費；網路費；其他有線電視費；,RPSNMLPKNHLGFAO76CC,分租套房,無,1150525~1160524,無,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般轉租
新竹市,租賃房屋,新竹市新竹市經國路二段１１１號１２樓之４,0.0,,,,1150512,土地0建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),辦公室,鋼筋混凝土造,0860715,69.33,2,1,1,有,有,有,14000,202,,0.0,0,續租案件；,RPTNMLPKNHLGFAO86CC,整棟(戶)出租,有,1150525~1160524,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路,社會住宅代管
新竹市,租賃房屋,新竹市新竹市振興一街５０號５樓,0.0,,,,1150513,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840718,93.89,3,2,1,有,有,有,22000,234,,0.0,0,租金總額含管理費；續租案件；,RPUNMLPKNHLGFAO96CC,整棟(戶)出租,有,1150525~1160524,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
新竹市,租賃房屋,新竹市新竹市關東路２１３號８樓,0.0,,,,1150513,土地0建物1車位0,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870615,120.38,3,2,2,有,有,有,22000,183,,0.0,0,續租案件；,RPXNMLPKNHLGFAO27CC,整棟(戶)出租,有,1150604~1160603,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅包租轉租
新竹市,租賃房屋,新竹市新竹市東區光復路一段１０６號３樓,0.0,,,,1150516,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0821228,89.02,3,2,2,有,無,無,22000,247,,0.0,0,租金總額含管理費；,RPPNMLRKNHLGFAO66CC,整棟(戶)出租,無,1150517~1160516,無,熱水器、瓦斯或天然氣,
新竹市,租賃房屋,新竹市新竹市城北街８號４樓之２,0.0,,,,1150512,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790705,36.46,1,0,1,有,無,有,9500,261,,0.0,0,續租案件；,RPPNMLTKNHLGFAO86CC,獨立套房,無,1150515~1160514,無,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
新竹市,租賃房屋+車位,新竹市新竹市經國路一段３２９號２樓,0.0,,,,1150512,土地0建物1車位1,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841016,122.27,3,2,2,有,有,有,19600,160,坡道平面,0.0,2900,續租案件；,RPQNMLTKNHLGFAO96CC,整棟(戶)出租,有,1150526~1160525,有,冷氣、熱水器,社會住宅代管
新竹市,租賃房屋+車位,新竹市新竹市金竹路１２２號５樓之３,0.0,,,,1150513,土地0建物1車位1,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0871015,92.37,3,2,2,有,有,有,23900,259,坡道平面,0.0,3000,續租案件；,RPRNMLTKNHLGFAO07CC,整棟(戶)出租,有,1150601~1160531,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
新竹市,租賃房屋,新竹市新竹市經國路二段１１１號１２樓之２,0.0,,,,1150511,土地0建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),辦公室,鋼筋混凝土造,0860715,35.72,1,0,1,有,有,有,7000,196,,0.0,0,,RPSNMLTKNHLGFAO17CC,獨立套房,有,1150512~1160511,有,冷氣、熱水器、冰箱,社會住宅代管
新竹市,租賃房屋,新竹市新竹市武陵路２４７巷７號５樓,0.0,,,,1150511,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760702,100.17,3,2,1,有,有,有,18000,180,,0.0,0,,RPUNMLTKNHLGFAO37CC,整棟(戶)出租,無,1150515~1160514,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
新竹市,租賃房屋,新竹市新竹市光華南街１５號２樓,0.0,,,,1150512,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690304,83.44999999999999,3,2,1,有,無,有,10000,120,,0.0,0,續租案件；,RPWNMLTKNHLGFAO57CC,整棟(戶)出租,無,1150516~1160515,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
新竹市,租賃房屋+車位,新竹市新竹市天府路一段４５２號４樓之１,0.0,,,,1150513,土地0建物1車位1,四層,6,華廈(10層含以下有電梯),住宅、機械室,鋼筋混凝土造,0930610,90.22,1,2,1,有,有,有,19500,216,一樓平面,0.0,3000,,RPXNMLTKNHLGFAO67CC,整棟(戶)出租,無,1150513~1160512,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
新竹市,租賃房屋,新竹市新竹市東區忠孝路４３４巷２０號,0.0,,,,1150511,土地0建物0車位0,全,4,透天厝,工廠、車庫、辦公室、梯間,鋼骨造,0930426,16.53,30,0,30,有,無,有,9500,575,,0.0,0,租金總額含管理費；水費；網路費；,RPQOMLTKNHLGFAO07CC,分租套房,無,1150701~1160630,有,冷氣、熱水器、冰箱、有線電視、網路,
新竹市,租賃房屋,新竹市新竹市東區忠孝路４３４巷２０號,0.0,,,,1150511,土地0建物0車位0,全,4,透天厝,工廠、車庫、辦公室、梯間,鋼骨造,0930426,16.53,30,0,30,有,無,有,9500,575,,0.0,0,租金總額含管理費；水費；網路費；,RPROMLTKNHLGFAO17CC,分租套房,無,1150701~1160630,有,冷氣、熱水器、冰箱、有線電視、網路,
新竹市,租賃房屋,新竹市新竹市中南街２０號３樓之４,0.0,,,,1150511,土地0建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840331,28.189999999999998,1,0,1,有,有,有,6500,231,,0.0,0,續租案件；,RPSOMLTKNHLGFAO27CC,獨立套房,有,1150531~1160530,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
新竹市,租賃房屋,新竹市新竹市自由路７１號三樓之２,0.0,,,,1150511,土地0建物1車位0,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920110,52.599999999999994,1,1,1,有,有,有,11000,209,,0.0,0,續租案件；,RPTOMLTKNHLGFAO37CC,獨立套房,有,1150524~1160523,有,冷氣、熱水器、洗衣機、冰箱,社會住宅包租轉租
新竹市,租賃房屋,新竹市新竹市中山路４０巷３３號,0.0,,,,1150514,土地0建物0車位0,全,3,透天厝,住商用,加強磚造,,19.69,6,0,6,有,無,有,9000,457,,0.0,0,,RPUOMLTKNHLGFAO47CC,分租套房,無,1150514~1160513,無,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般轉租
新竹市,租賃房屋,新竹市新竹市武陵路２６６號８樓之２,0.0,,,,1150518,土地0建物1車位0,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850813,119.87,3,2,2,有,有,有,18000,150,,0.0,0,續租案件；,RPPNMLKLNHLGFAO68CC,整棟(戶)出租,有,1150601~1160531,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
新竹市,租賃房屋,新竹市新竹市經國路二段１１１號１１樓之１０,0.0,,,,1150514,土地0建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),辦公室,鋼筋混凝土造,0860715,28.349999999999998,1,0,1,有,有,有,8000,282,,0.0,0,續租案件；,RPQNMLKLNHLGFAO78CC,獨立套房,有,1150611~1160610,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
新竹市,租賃房屋,新竹市新竹市香北路１７６號８樓,0.0,,,,1150514,土地0建物1車位0,八層,8,華廈(10層含以下有電梯),國民住宅,鋼筋混凝土造,0861210,117.44,3,2,2,有,有,有,18000,153,,0.0,0,續租案件；,RPRNMLKLNHLGFAO88CC,整棟(戶)出租,有,1150618~1160617,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
新竹市,租賃房屋,新竹市新竹市光復路二段１５５巷１０弄２５號七樓之８,0.0,,,,1150517,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0960412,39.05,1,1,1,有,有,有,16500,423,,0.0,0,多人共同承租2；租金總額含管理費；,RPSNMLKLNHLGFAO98CC,獨立套房,有,1150601~1160531,有,冷氣、熱水器、洗衣機、冰箱,一般代管
