編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPRNMLTKNHLGFAO07CC,28,72.62,住家用,鋼筋混凝土造,87年10月15日,八層,,
RPQNMLTKNHLGFAO96CC,31,87.52,住家用,鋼筋混凝土造,84年10月16日,十三層,,
RPPNMLPKNHLGFAO09CC,45,111.24,住家用,加強磚造,70年6月25日,二層,,
RPPNMLRKNHLGFAO66CC,32,75.36,住家用,鋼筋混凝土造,82年12月28日,五層,,
RPRNMLTKNHLGFAO07CC,28,7.24,共有部分,鋼筋混凝土造,87年10月15日,八層,,
RPXNMLPKNHLGFAO27CC,28,97.73,住家用,鋼筋混凝土造,87年6月15日,八層,,
RPTOMLTKNHLGFAO37CC,23,33.41,住家用,鋼筋混凝土造,92年1月10日,十三層,,
RPQNMLTKNHLGFAO96CC,31,18.55,共有部分,鋼筋混凝土造,84年10月16日,十三層,,
RPPNMLRKNHLGFAO66CC,32,13.66,共有部分,鋼筋混凝土造,82年12月28日,五層,,
RPRNMLTKNHLGFAO07CC,28,12.51,共有部分,鋼筋混凝土造,87年10月15日,八層,,
RPRNMLPKNHLGFAO66CC,38,47.00,住家用,鋼筋混凝土造,77年7月20日,二層,,
RPXNMLPKNHLGFAO27CC,28,12.95,共有部分,鋼筋混凝土造,87年6月15日,八層,,
RPQNMLTKNHLGFAO96CC,31,16.20,共有部分,鋼筋混凝土造,84年10月16日,十三層,,
RPTOMLTKNHLGFAO37CC,23,8.70,停車空間、機械室、騎樓、梯間、車道、防空避難室,鋼筋混凝土造,92年1月10日,十三層,,
RPXNMLPKNHLGFAO27CC,28,9.70,共有部分,鋼筋混凝土造,87年6月15日,八層,,
RPTOMLTKNHLGFAO37CC,23,3.22,梯間,鋼筋混凝土造,92年1月10日,十三層,,
RPTOMLTKNHLGFAO37CC,23,7.27,走道,鋼筋混凝土造,92年1月10日,十三層,,
RPPNMLTKNHLGFAO86CC,36,30.24,住家用,鋼筋混凝土造,79年7月5日,五層,,
RPPNMLTKNHLGFAO86CC,,6.22,共有部分,鋼筋混凝土造,,五層,,
RPSOMLTKNHLGFAO27CC,31,23.74,住家用,鋼筋混凝土造,84年3月31日,五層,,
RPUNMLTKNHLGFAO37CC,39,84.05,住家用,鋼筋混凝土造,76年7月2日,五層,,
RPTNMLPKNHLGFAO86CC,29,48.02,辦公室,鋼筋混凝土造,86年7月15日,十二層,,
RPSOMLTKNHLGFAO27CC,31,4.45,共有部分,鋼筋混凝土造,84年3月31日,五層,,
RPXNMLTKNHLGFAO67CC,22,62.52,住宅、機械室,鋼筋混凝土造,93年6月10日,六層,,
RPUNMLTKNHLGFAO37CC,39,16.12,共有部分,鋼筋混凝土造,76年7月2日,五層,,
RPTNMLPKNHLGFAO86CC,29,6.98,共有部分,鋼筋混凝土造,86年7月15日,十二層,,
RPQOMLTKNHLGFAO07CC,22,16.53,工廠、車庫、辦公室、梯間,鋼骨造,93年4月26日,四層,,
RPTNMLPKNHLGFAO86CC,29,.17,共有部分,鋼筋混凝土造,86年7月15日,十二層,,
RPXNMLTKNHLGFAO67CC,22,27.70,停車空間、梯間、水箱、、機械室,鋼筋混凝土造,93年6月10日,六層,,
RPTNMLPKNHLGFAO86CC,29,14.16,共有部分,鋼筋混凝土造,86年7月15日,十二層,,
RPUNMLPKNHLGFAO96CC,31,80.88,住家用,鋼筋混凝土造,84年7月18日,五層,,
RPWNMLTKNHLGFAO57CC,46,78.13,住家用,鋼筋混凝土造,69年3月4日,四層,,
RPUNMLPKNHLGFAO96CC,31,13.01,共有部分,鋼筋混凝土造,84年7月18日,五層,,
RPWNMLTKNHLGFAO57CC,46,5.32,共有部分,鋼筋混凝土造,69年3月4日,四層,,
RPXNMLMKNHLGFAO96CC,22,113.73,集合住宅,鋼筋混凝土造,93年2月15日,十一層,,
RPXNMLMKNHLGFAO96CC,22,62.61,防空避難室兼停車空間、社區辦公室、台電配電室,鋼筋混凝土造,93年2月15日,十一層,,
RPSNMLTKNHLGFAO17CC,29,24.89,辦公室,鋼筋混凝土造,86年7月15日,十二層,,
RPSNMLTKNHLGFAO17CC,29,3.57,共有部分,鋼筋混凝土造,86年7月15日,十二層,,
RPSNMLTKNHLGFAO17CC,29,.09,共有部分,鋼筋混凝土造,86年7月15日,十二層,,
RPSNMLTKNHLGFAO17CC,29,7.17,共有部分,鋼筋混凝土造,86年7月15日,十二層,,
RPSNMLPKNHLGFAO76CC,38,47.00,住家用,鋼筋混凝土造,77年7月20日,二層,,
RPROMLTKNHLGFAO17CC,22,16.53,工廠、車庫、辦公室、梯間,鋼骨造,93年4月26日,四層,,
RPQNMLPKNHLGFAO56CC,41,13.23,住家用,加強磚造,74年4月24日,二層,,
RPRNMLKLNHLGFAO88CC,28,93.96,國民住宅,鋼筋混凝土造,86年12月10日,八層,,
RPRNMLKLNHLGFAO88CC,28,12.27,共有部分,鋼筋混凝土造,86年12月10日,八層,,
RPRNMLKLNHLGFAO88CC,28,11.21,共有部分,鋼筋混凝土造,86年12月10日,八層,,
RPQNMLKLNHLGFAO78CC,29,18.15,辦公室,鋼筋混凝土造,86年7月15日,十二層,,
RPQNMLKLNHLGFAO78CC,29,3.32,共有部分,鋼筋混凝土造,86年7月15日,十二層,,
RPQNMLKLNHLGFAO78CC,29,.08,共有部分,鋼筋混凝土造,86年7月15日,十二層,,
RPQNMLKLNHLGFAO78CC,29,6.80,共有部分,鋼筋混凝土造,86年7月15日,十二層,,
RPUOMLTKNHLGFAO47CC,,19.69,住商用,加強磚造,,三層,,
RPPNMLKLNHLGFAO68CC,30,96.69,住家用,鋼筋混凝土造,85年8月13日,十四層,,
RPPNMLKLNHLGFAO68CC,30,16.39,共有部分,鋼筋混凝土造,85年8月13日,十四層,,
RPPNMLKLNHLGFAO68CC,30,3.47,共有部分,鋼筋混凝土造,85年8月13日,十四層,,
RPPNMLKLNHLGFAO68CC,30,3.32,共有部分,鋼筋混凝土造,85年8月13日,十四層,,
RPUNMLPLNHLGFAO07CC,34,32.80,住家用,鋼筋混凝土造,81年1月29日,十二層,,
RPUNMLPLNHLGFAO07CC,34,3.62,共有部分,鋼筋混凝土造,81年1月29日,000,,
RPUNMLPLNHLGFAO07CC,34,8.78,共有部分,鋼筋混凝土造,81年1月29日,十二層,,
RPSNMLKLNHLGFAO98CC,19,24.50,辦公室,鋼筋混凝土造,96年4月12日,七層,,
RPPNMLOLNHLGFAO09CC,43,74.38,住家用,鋼筋混凝土造,72年4月21日,四層,,
