編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLTKNHLGFAO07CC,坡道平面,3000,,地下一樓
RPQNMLTKNHLGFAO96CC,坡道平面,2900,,地下一樓
RPXNMLTKNHLGFAO67CC,一樓平面,3000,,一樓
RPWNMLLJOHLGFAO76CC,坡道機械,0,11.36,一樓
RPRNMLKMNHLGFAO98CC,坡道平面,0,24.67,地下二樓
RPQNMLKMNHLGFAO88CC,坡道平面,0,,地下三樓
RPQNMLKMNHLGFAO88CC,坡道平面,0,,地下三樓
RPQOMLLJOHLGFAO88CC,坡道平面,0,30.50,地下一樓
RPTOMLLJOHLGFAO56CC,升降機械,0,,地下二樓
RPQOMLLJOHLGFAO88CC,坡道平面,0,31.61,地下一樓
RPSNMLNJOHLGFAO56CC,坡道平面,0,,地下二樓
RPQNMLLJOHLGFAO78CC,坡道平面,0,,地下二樓
RPRNMLRLNHLGFAO96CC,坡道平面,0,,地下三樓
RPQOMLMKOHLGFAO09CC,坡道平面,0,27.54,地下三樓
