編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPRNMLKKOHLGFBP98DA,1,116.92,住宅,鋼筋混凝土造,114年7月3日,三層,一層 二層 三層,全筆移轉
RPUNMLPJOHLGFEP37DA,31,86.93,農宅,加強磚造,84年10月13日,二層,一層 二層 陽台 電梯樓梯間,持分移轉
RPPNMLQJOHLGFBP66DA,44,190.51,住商用,鋼筋混凝土造,70年11月25日,三層,一層 二層 三層 騎樓 電梯樓梯間,全筆移轉
RPWNMLKLNHLGFAP76DA,46,113.57,住家用,加強磚造,69年11月8日,二層,一層 二層 騎樓 電梯樓梯間,全筆移轉
SPWNMLKLNHLGFAP86DA,45,59.41,住家用,加強磚造,69年12月8日,二層,一層 二層 騎樓 電梯樓梯間,持分移轉
RPSNMLLKOHLGFEP86DA,32,423.25,工業用,ＲＣ鋼架有壁體造,83年8月4日,一層,一層 騎樓,持分移轉
RPTNMLLKOHLGFEP96DA,32,282.17,工業用,ＲＣ鋼架有壁體造,83年8月4日,一層,一層 騎樓,持分移轉
RPSNMLMJOHLGFBP56DA,47,99.75,住商用,加強磚造,68年3月8日,二層,一層 二層 騎樓 電梯樓梯間,全筆移轉
RPQNMLSJOHLGFFP37DA,2,61.54,集合住宅,鋼筋混凝土造,113年1月17日,七層,陽台 見其他登記事項,全筆移轉
RPQNMLSJOHLGFFP37DA,2,25.76,本共有部分之項目有停車空間、管委會空間、電梯間、電梯機房、水箱等５項,鋼筋混凝土造,113年1月17日,七層,,持分移轉
RPSNMLPJOHLGFAP86EA,,196.90,住宅,鋼筋混凝土造,114年11月27日,三層,一層 二層 三層 陽台,全筆移轉
RPPNMLKKOHLGFBP78DA,1,180.76,住宅、停車空間,鋼筋混凝土造,114年5月21日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPQNMLKKOHLGFBP88DA,1,179.23,住宅、停車空間,鋼筋混凝土造,114年5月21日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPPNMLRJOHLGFEP07DA,31,179.45,住家用,鋼筋混凝土造,84年10月16日,三層,一層 二層 三層 陽台,全筆移轉
RPQNMLLKOHLGFAP98EA,1,138.90,門廊、住宅、樓梯間,鋼筋混凝土造,114年9月22日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPQNMLMKOHLGFAP98DA,33,263.72,住家用,鋼筋混凝土造,82年1月13日,三層,一層 二層 三層 陽台 平台 水箱 電梯樓梯間,全筆移轉
RPPNMLPKOHLGFAP56DA,41,149.34,住商用,ＲＣ構造,74年9月20日,三層,一層 二層 三層 騎樓 電梯樓梯間,全筆移轉
RPSNMLMKOHLGFAP56DA,2,73.63,集合住宅,鋼筋混凝土造,113年5月28日,十層,八層 陽台,全筆移轉
RPSNMLMKOHLGFAP56DA,2,71.09,停車空間、機械設備空間、停車空間兼防空避難室、機電空間、管委會空間、樓梯間、梯廳、水箱、機械室,鋼筋混凝土造,113年5月28日,十層,,持分移轉
RPSNMLPJOHLGFDP07DA,32,95.62,住家用,鋼筋混凝土造,83年11月28日,十層,三層 陽台 露台,全筆移轉
RPSNMLPJOHLGFDP07DA,32,15.95,共有部份,鋼筋混凝土造,83年11月28日,十層,,持分移轉
RPSNMLPJOHLGFDP07DA,32,8.12,共有部份,鋼筋混凝土造,83年11月28日,十層,,持分移轉
