編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLMKOHLGFBP98DA,田子林段,337.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04940003
RPPNMLMKOHLGFBP98DA,田子林段,337.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04940004
RPPNMLMKOHLGFBP98DA,田子林段,337.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04940005
RPRNMLKKOHLGFBP98DA,大東段新崙小段,43.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01390024
RPRNMLKKOHLGFBP98DA,大東段新崙小段,10.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01390029
RPRNMLKKOHLGFBP98DA,大東段新崙小段,21.64,非都市：鄉村區 ; 非都市編定：乙種建築用地,1100,100,持分移轉,01390031
RPTNMLTJOHLGFFP77DA,崙中段,3869.79,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07550000
RPQNMLKKOHLGFFP66DA,成功段,1553.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07570000
RPQNMLPKOHLGFFP17DA,同北段,1573.20,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02780000
RPPNMLPKOHLGFEP07EA,豐德段,2847.02,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00050000
RPTNMLRLNHLGFDP47DA,忠孝段,96.12,都市：其他:住宅區,1,1,全筆移轉,03170000
RPTNMLTJOHLGFEP67DA,天保段,34.83,非都市：鄉村區 ; 非都市編定：乙種建築用地,792,10,持分移轉,11300000
RPPNMLKKOHLGFEP09DA,福安段,1667.63,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉,02560000
RPWNMLSJOHLGFDP77DA,馬鳴段,1988.75,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,18430000
RPVNMLSJOHLGFEP77DA,五塊寮段,2644.00,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,04100000
RPUNMLPJOHLGFEP37DA,三和段,63.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,2,1,持分移轉,01720000
RPTNMLSJOHLGFEP57DA,洋北段,1993.23,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05010000
RPRNMLLKOHLGFEP76DA,下崙段,4762.00,非都市：一般農業區 ; 非都市編定：養殖用地,4927,4762,持分移轉,27510000
RPSNMLMKOHLGFFP07DA,雷厝段,1890.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11940000
RPSNMLMKOHLGFFP07DA,雷厝段,1890.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11950000
RPRNMLQKOHLGFFP37DA,昌南段,1112.86,非都市：特定農業區 ; 非都市編定：特定目的事業用地,1,1,全筆移轉,11720000
RPQNMLQKOHLGFFP27DA,昌南段,218.41,非都市：特定農業區 ; 非都市編定：特定目的事業用地,1,1,全筆移轉,11710000
