鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
斗六市,房地(土地+建物),雲林縣斗六市深圳路,97.85,,鄉村區,乙種建築用地,1150511,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,144.66,4,2,4,有,無,9980000,68989,,0.0,0,,RPPNMLMKNHLGFAP78CB,雲科森活美墅ll,A棟A13號,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮虎興南路,164.74,住,,,1150511,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,249.04,4,2,5,有,無,29880000,119981,,0.0,0,,RPPNMLMKNHLGFDP09CB,庭宇建設-峰雲座,A棟9號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市鎮北路,13.48,住,,,1150514,土地7建物1車位1,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,105.99,2,2,1,有,無,8360000,87503,坡道平面,26.45,1400000,該戶契約書簽約土地面積持分13.49平方公尺,RPPNMLOKNHLGFAP98CB,東德一品苑,D7號,
斗六市,房地(土地+建物),雲林縣斗六市深圳路,100.44,,鄉村區,乙種建築用地,1150516,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,144.66,4,2,4,有,無,10000000,69128,,0.0,0,,RPPNMLSKNHLGFAP76CB,雲科森活美墅ll,A棟A11號,
斗六市,房地(土地+建物),雲林縣斗六市鎮北路,11.88,住,,,1150520,土地7建物1車位0,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,70.36,2,2,1,有,無,5980000,84991,,0.0,0,該戶契約書簽約土地面積持分11.93平方公尺,RPPNMLLLNHLGFAP78CB,東德一品苑,A3號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市鎮北路,19.22,住,,,1150520,土地7建物1車位1,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,139.7,3,2,2,有,無,10820000,83179,坡道平面,26.45,1400000,該戶契約書簽約土地面積持分19.21平方公尺,RPQNMLLLNHLGFAP88CB,東德一品苑,G5號,
古坑鄉,房地(土地+建物),雲林縣古坑鄉水碓路,97.5,,鄉村區,乙種建築用地,1150520,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,180.84,5,2,4,有,無,12950000,71610,,0.0,0,,RPPNMLPLNHLGFAP56CB,幸福愛悅2,A2號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市民主街,33.83,住,,,1150515,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,179.97,3,2,2,有,無,18700000,105466,坡道平面,18.78,1700000,,RPPNMLQLNHLGFAP66CB,聖德淳風八期(NO.57),A3號,1150530全部解約
斗六市,房地(土地+建物)+車位,雲林縣斗六市民主街,28.27,住,,,1150518,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.29,3,2,2,有,無,15430000,102818,坡道平面,18.78,1600000,,RPQNMLQLNHLGFAP76CB,聖德淳風八期(NO.57),A2號,
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮虎興南路,109.31,住,,,1150517,土地4建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,183.07,4,2,5,有,無,16000000,87398,一樓平面,22.13,0,,RPPNMLQLNHLGFDP96CB,庭宇建設-峰雲座,B棟14號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市文治街,27.54,住,,,1150515,土地1建物1車位2,九層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,221.28,3,2,2,有,無,16700000,103053,坡道平面,92.22,3400000,該戶合約書簽約土地持分面積27.53平方公尺,RPPNMLTLNHLGFAP96CB,鄉林?雲峰,B2棟9F號,
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮廉使,36.01,,鄉村區,乙種建築用地,1150516,土地2建物1車位1,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,136.76,3,1,2,有,無,8910000,67128,坡道平面,18.18,950000,,RPPNMLLJOHLGFDP98CB,禾楓君悅-菁英會館3期,A棟A1號,
麥寮鄉,房地(土地+建物),雲林縣麥寮鄉許厝寮段許厝寮小段0252-0010地號,208.0,,鄉村區,乙種建築用地,1150519,土地1建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼骨鋼筋混凝土造,,73.78,2,1,2,有,無,5860000,79425,,0.0,0,,RPQNMLLJOHLGFFP66CB,新天鑫,A棟3號,
西螺鎮,房地(土地+建物),雲林縣西螺鎮茄苳路,100.61,住,,,1150514,土地1建物1車位0,全,3,透天厝,住家用,鋼骨鋼筋混凝土造,,184.05,4,2,4,有,無,15880000,86281,,0.0,0,,RPPNMLOJOHLGFCP56CB,品味居NO6,F3棟-號,
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮廉使南段442-1地號,28.92,,鄉村區,乙種建築用地,1150520,土地1建物1車位1,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,134.6,2,2,1,有,無,8190000,69528,坡道平面,29.75,900000,,RPQNMLLKOHLGFDP56CB,富域,A棟2號,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮大屯,108.43,,鄉村區,乙種建築用地,1150519,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,186.76,4,2,4,有,無,10880000,58257,,0.0,0,,RPPNMLMKOHLGFDP56CB,廣瓏建設-大屯綻,B棟6號,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮大屯,109.75,,鄉村區,乙種建築用地,1150517,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,185.9,4,2,4,有,無,10980000,59064,,0.0,0,,RPRNMLMKOHLGFDP76CB,廣瓏建設-大屯綻,B棟7號,
